hr,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
01,1007.9,...,25.9,...,99,0.2,0,...,...,0.0,...,...,...,...,...,...
02,1007.9,...,25.6,...,99,0.4,3,...,...,X,...,...,...,...,...,...
03,1008.2,...,25.7,...,99,0.9,27,...,...,0.0,...,...,...,...,...,...
04,/,...,/,...,/,/,/,...,...,0.0,...,...,...,...,...,...
05,1008.3,...,25.5,...,99,1.1,120,...,...,0.0,...,...,...,...,...,...
06,1008.5,...,25.6,...,99,0.9,144,...,...,0.0,...,...,...,...,...,...
07,1009.0,...,28.9,...,89,0.4,130,...,...,0.0,...,...,...,...,...,...
08,1008.8,...,29.5,...,83,2.0,126,...,...,0.0,...,...,...,...,...,...
09,1009.1,...,31.4,...,73,3.0,216,...,...,0.0,...,...,...,...,...,...
10,1008.9,...,32.5,...,66,2.8,218,...,...,0.0,...,...,...,...,...,...
11,1008.7,...,33.1,...,65,3.0,154,...,...,X,...,...,...,...,...,...
12,/,...,/,...,/,/,/,...,...,0.0,...,...,...,...,...,...
13,1008.3,...,31.9,...,72,2.4,254,...,...,0.0,...,...,...,...,...,...
14,1008.0,...,30.2,...,83,2.1,13,...,...,0.0,...,...,...,...,...,...
15,1008.1,...,30.2,...,83,1.1,39,...,...,0.0,...,...,...,...,...,...
16,1007.8,...,30.0,...,86,1.2,45,...,...,0.0,...,...,...,...,...,...
17,1008.5,...,29.0,...,91,0.9,57,...,...,0.0,...,...,...,...,...,...
18,1008.9,...,29.3,...,91,1.1,48,...,...,0.0,...,...,...,...,...,...
19,1009.3,...,29.2,...,93,0.7,76,...,...,0.0,...,...,...,...,...,...
20,1009.7,...,28.8,...,94,0.4,100,...,...,0.0,...,...,...,...,...,...
21,1010.2,...,28.4,...,99,0.7,11,...,...,0.0,...,...,...,...,...,...
22,1011.0,...,28.2,...,99,0.2,0,...,...,0.0,...,...,...,...,...,...
23,1011.2,...,27.9,...,99,0.6,87,...,...,0.0,...,...,...,...,...,...
24,1010.3,...,27.5,...,99,1.2,158,...,...,0.0,...,...,...,...,...,...
