hr,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
01,1005.6,1006.7,28.9,25.0,80,2.7,210,3.7,200,0.0,0.0,...,0.00,...,...,...
02,1005.4,1006.5,28.8,24.8,79,2.1,200,3.6,210,0.0,0.0,...,0.00,...,...,...
03,1005.6,1006.7,28.7,24.8,80,1.8,190,3.5,190,0.0,0.0,...,0.00,...,...,...
04,1006.0,1007.1,27.9,25.1,85,1.9,140,3.0,170,0.0,0.0,...,0.00,...,...,...
05,1006.3,1007.4,27.6,24.9,85,2.3,140,3.3,140,0.0,0.0,...,0.00,...,...,...
06,1006.6,1007.7,27.4,24.8,86,1.3,90,3.1,110,0.0,0.0,0.0,0.00,...,...,...
07,1006.8,1007.9,28.4,24.8,81,2.7,120,3.8,110,0.0,0.0,0.3,0.71,...,...,...
08,1006.6,1007.7,30.4,26.5,80,2.0,120,4.1,110,0.0,0.0,1.0,1.43,...,...,...
09,1006.6,1007.7,31.2,25.9,74,3.2,240,5.3,220,0.0,0.0,0.4,1.46,...,...,...
10,1006.5,1007.6,32.4,26.0,69,4.5,260,7.3,270,0.0,0.0,0.4,2.10,...,...,...
11,1006.2,1007.3,32.8,26.3,69,3.7,240,8.4,240,0.0,0.0,1.0,2.45,...,...,...
12,1005.8,1006.9,33.8,25.6,62,4.0,240,6.5,230,0.0,0.0,1.0,3.50,...,...,...
13,1005.6,1006.7,33.7,26.1,65,4.8,240,8.2,260,0.0,0.0,1.0,3.58,...,...,...
14,1005.4,1006.5,32.8,25.8,67,4.8,240,7.8,230,0.0,0.0,0.7,2.64,...,...,...
15,1004.9,1006.0,32.9,25.5,65,3.6,260,7.5,220,0.0,0.0,1.0,2.88,...,...,...
16,1004.5,1005.6,32.5,26.1,69,3.9,240,7.7,250,0.0,0.0,1.0,2.09,...,...,...
17,1004.7,1005.8,31.3,25.2,70,3.8,250,7.0,240,0.0,0.0,1.0,1.14,...,...,...
18,1004.9,1006.0,30.7,24.7,70,3.8,250,6.2,240,0.0,0.0,0.8,0.49,...,...,...
19,1005.0,1006.1,30.1,25.4,76,1.3,220,5.3,220,0.0,0.0,0.3,0.08,...,...,...
20,1005.2,1006.3,29.8,25.5,78,1.9,240,4.7,230,0.0,0.0,...,0.00,...,...,...
21,1005.3,1006.4,29.9,24.8,74,1.5,200,3.8,200,0.0,0.0,...,0.00,...,...,...
22,1005.6,1006.7,29.7,25.4,78,2.0,190,4.1,190,0.0,0.0,...,0.00,...,...,...
23,1005.8,1006.9,29.6,25.5,79,2.5,200,4.6,200,0.0,0.0,...,0.00,...,...,...
24,1005.5,1006.6,29.3,25.6,81,2.3,170,3.8,200,0.0,0.0,...,0.00,...,...,...
