M_Time,PolNo,ItemDesc,M_Val,Code2Desc
2019-07-31T00:00:00,P011,て哺菏代砞琁计沮キА,31.00,タ盽逼秖代
2019-07-31T00:00:00,P021,て哺菏代砞琁计沮キА,24.00,タ盽逼秖代
2019-07-31T00:00:00,P101,て哺菏代砞琁计沮キА,22.00,タ盽逼秖代
2019-07-31T00:00:00,P201,て哺菏代砞琁计沮キА,16.00,タ盽逼秖代
2019-07-31T00:00:00,P301,て哺菏代砞琁计沮キА,9.00,タ盽逼秖代
2019-07-31T00:00:00,P401,て哺菏代砞琁计沮キА,2.00,㏕﹚γ琕方既氨笲锣菏代砞琁ぇ秖代
2019-07-31T00:00:00,P501,て哺菏代砞琁计沮キА,36.00,タ盽逼秖代
2019-07-31T00:00:00,P601,て哺菏代砞琁计沮キА,34.00,タ盽逼秖代
2019-07-31T00:00:00,P701,て哺菏代砞琁计沮キА,35.00,タ盽逼秖代
2019-07-31T00:00:00,P801,て哺菏代砞琁计沮キА,35.00,タ盽逼秖代
2019-07-31T00:00:00,P011,菏代砞琁计沮キА,4.70,タ盽逼秖代
2019-07-31T00:00:00,P021,菏代砞琁计沮キА,4.80,タ盽逼秖代
2019-07-31T00:00:00,P101,菏代砞琁计沮キА,5.30,タ盽逼秖代
2019-07-31T00:00:00,P201,菏代砞琁计沮キА,5.80,タ盽逼秖代
2019-07-31T00:00:00,P301,菏代砞琁计沮キА,4.30,タ盽逼秖代
2019-07-31T00:00:00,P401,菏代砞琁计沮キА,22.60,㏕﹚γ琕方既氨笲锣菏代砞琁ぇ秖代
2019-07-31T00:00:00,P501,菏代砞琁计沮キА,4.90,タ盽逼秖代
2019-07-31T00:00:00,P601,菏代砞琁计沮キА,3.90,タ盽逼秖代
2019-07-31T00:00:00,P701,菏代砞琁计沮キА,3.70,タ盽逼秖代
2019-07-31T00:00:00,P801,菏代砞琁计沮キА,4.60,タ盽逼秖代
2019-07-31T00:00:00,P011,逼瑈瞯菏代砞琁计沮キА,1859616.00,タ盽逼秖代
2019-07-31T00:00:00,P021,逼瑈瞯菏代砞琁计沮キА,1867834.00,タ盽逼秖代
2019-07-31T00:00:00,P101,逼瑈瞯菏代砞琁计沮キА,1965346.00,タ盽逼秖代
2019-07-31T00:00:00,P201,逼瑈瞯菏代砞琁计沮キА,1899576.00,タ盽逼秖代
2019-07-31T00:00:00,P301,逼瑈瞯菏代砞琁计沮キА,1698282.00,タ盽逼秖代
2019-07-31T00:00:00,P401,逼瑈瞯菏代砞琁计沮キА,134037.00,㏕﹚γ琕方既氨笲锣菏代砞琁ぇ秖代
2019-07-31T00:00:00,P501,逼瑈瞯菏代砞琁计沮キА,1778000.00,タ盽逼秖代
2019-07-31T00:00:00,P601,逼瑈瞯菏代砞琁计沮キА,1712805.00,タ盽逼秖代
2019-07-31T00:00:00,P701,逼瑈瞯菏代砞琁计沮キА,1813294.00,タ盽逼秖代
2019-07-31T00:00:00,P801,逼瑈瞯菏代砞琁计沮キА,1993629.00,タ盽逼秖代
2019-07-31T00:00:00,P011,瘁て菏代砞琁计沮キА,40.00,タ盽逼秖代
2019-07-31T00:00:00,P021,瘁て菏代砞琁计沮キА,38.00,タ盽逼秖代
2019-07-31T00:00:00,P101,瘁て菏代砞琁计沮キА,27.00,タ盽逼秖代
2019-07-31T00:00:00,P201,瘁て菏代砞琁计沮キА,31.00,タ盽逼秖代
2019-07-31T00:00:00,P301,瘁て菏代砞琁计沮キА,42.00,タ盽逼秖代
2019-07-31T00:00:00,P401,瘁て菏代砞琁计沮キА,1.00,㏕﹚γ琕方既氨笲锣菏代砞琁ぇ秖代
2019-07-31T00:00:00,P501,瘁て菏代砞琁计沮キА,43.00,タ盽逼秖代
2019-07-31T00:00:00,P601,瘁て菏代砞琁计沮キА,54.00,タ盽逼秖代
2019-07-31T00:00:00,P701,瘁て菏代砞琁计沮キА,42.00,タ盽逼秖代
2019-07-31T00:00:00,P801,瘁て菏代砞琁计沮キА,44.00,タ盽逼秖代
2019-07-31T00:00:00,P011,放菏代砞琁计沮キА,104.00,タ盽逼秖代
2019-07-31T00:00:00,P021,放菏代砞琁计沮キА,111.00,タ盽逼秖代
