M_Time,PolNo,ItemDesc,M_Val,Code2Desc
2019-03-01T00:00:00,P011,二氧化硫監測設施一小時數據平均值,30.00,正常排放量測值
2019-03-01T00:00:00,P021,二氧化硫監測設施一小時數據平均值,26.00,正常排放量測值
2019-03-01T00:00:00,P101,二氧化硫監測設施一小時數據平均值,13.00,正常排放量測值
2019-03-01T00:00:00,P201,二氧化硫監測設施一小時數據平均值,0.00,固定污染源暫停運轉時監測設施之量測值
2019-03-01T00:00:00,P301,二氧化硫監測設施一小時數據平均值,2.00,固定污染源暫停運轉時監測設施之量測值
2019-03-01T00:00:00,P401,二氧化硫監測設施一小時數據平均值,12.00,正常排放量測值
2019-03-01T00:00:00,P501,二氧化硫監測設施一小時數據平均值,49.00,正常排放量測值
2019-03-01T00:00:00,P601,二氧化硫監測設施一小時數據平均值,0.00,固定污染源暫停運轉時監測設施之量測值
2019-03-01T00:00:00,P701,二氧化硫監測設施一小時數據平均值,41.00,正常排放量測值
2019-03-01T00:00:00,P801,二氧化硫監測設施一小時數據平均值,43.00,正常排放量測值
2019-03-01T00:00:00,P011,氧氣監測設施一小時數據平均值,4.90,正常排放量測值
2019-03-01T00:00:00,P021,氧氣監測設施一小時數據平均值,5.10,正常排放量測值
2019-03-01T00:00:00,P101,氧氣監測設施一小時數據平均值,6.00,正常排放量測值
2019-03-01T00:00:00,P201,氧氣監測設施一小時數據平均值,22.30,固定污染源暫停運轉時監測設施之量測值
2019-03-01T00:00:00,P301,氧氣監測設施一小時數據平均值,22.60,固定污染源暫停運轉時監測設施之量測值
2019-03-01T00:00:00,P401,氧氣監測設施一小時數據平均值,4.70,正常排放量測值
2019-03-01T00:00:00,P501,氧氣監測設施一小時數據平均值,5.10,正常排放量測值
2019-03-01T00:00:00,P601,氧氣監測設施一小時數據平均值,22.20,固定污染源暫停運轉時監測設施之量測值
2019-03-01T00:00:00,P701,氧氣監測設施一小時數據平均值,5.20,正常排放量測值
2019-03-01T00:00:00,P801,氧氣監測設施一小時數據平均值,5.80,正常排放量測值
2019-03-01T00:00:00,P011,排放流率監測設施一小時數據平均值,1857625.00,正常排放量測值
2019-03-01T00:00:00,P021,排放流率監測設施一小時數據平均值,1864945.00,正常排放量測值
2019-03-01T00:00:00,P101,排放流率監測設施一小時數據平均值,1917380.00,正常排放量測值
2019-03-01T00:00:00,P201,排放流率監測設施一小時數據平均值,16978.00,固定污染源暫停運轉時監測設施之量測值
2019-03-01T00:00:00,P301,排放流率監測設施一小時數據平均值,116600.00,固定污染源暫停運轉時監測設施之量測值
2019-03-01T00:00:00,P401,排放流率監測設施一小時數據平均值,1887530.00,正常排放量測值
2019-03-01T00:00:00,P501,排放流率監測設施一小時數據平均值,1572078.00,正常排放量測值
2019-03-01T00:00:00,P601,排放流率監測設施一小時數據平均值,143773.00,固定污染源暫停運轉時監測設施之量測值
2019-03-01T00:00:00,P701,排放流率監測設施一小時數據平均值,1673316.00,正常排放量測值
2019-03-01T00:00:00,P801,排放流率監測設施一小時數據平均值,1873219.00,正常排放量測值
2019-03-01T00:00:00,P011,氮氧化物監測設施一小時數據平均值,43.00,正常排放量測值
2019-03-01T00:00:00,P021,氮氧化物監測設施一小時數據平均值,43.00,正常排放量測值
2019-03-01T00:00:00,P101,氮氧化物監測設施一小時數據平均值,42.00,正常排放量測值
2019-03-01T00:00:00,P201,氮氧化物監測設施一小時數據平均值,3.00,固定污染源暫停運轉時監測設施之量測值
2019-03-01T00:00:00,P301,氮氧化物監測設施一小時數據平均值,1.00,固定污染源暫停運轉時監測設施之量測值
2019-03-01T00:00:00,P401,氮氧化物監測設施一小時數據平均值,76.00,正常排放量測值
2019-03-01T00:00:00,P501,氮氧化物監測設施一小時數據平均值,68.00,正常排放量測值
2019-03-01T00:00:00,P601,氮氧化物監測設施一小時數據平均值,1.00,固定污染源暫停運轉時監測設施之量測值
2019-03-01T00:00:00,P701,氮氧化物監測設施一小時數據平均值,69.00,正常排放量測值
2019-03-01T00:00:00,P801,氮氧化物監測設施一小時數據平均值,66.00,正常排放量測值
2019-03-01T00:00:00,P011,溫度監測設施一小時數據平均值,98.00,正常排放量測值
2019-03-01T00:00:00,P021,溫度監測設施一小時數據平均值,98.00,正常排放量測值
2019-03-01T00:00:00,P101,溫度監測設施一小時數據平均值,97.00,正常排放量測值
2019-03-01T00:00:00,P201,溫度監測設施一小時數據平均值,19.00,固定污染源暫停運轉時監測設施之量測值
2019-03-01T00:00:00,P301,溫度監測設施一小時數據平均值,20.00,固定污染源暫停運轉時監測設施之量測值
2019-03-01T00:00:00,P401,溫度監測設施一小時數據平均值,96.00,正常排放量測值
2019-03-01T00:00:00,P501,溫度監測設施一小時數據平均值,100.00,正常排放量測值
2019-03-01T00:00:00,P601,溫度監測設施一小時數據平均值,30.00,固定污染源暫停運轉時監測設施之量測值
2019-03-01T00:00:00,P701,溫度監測設施一小時數據平均值,101.00,正常排放量測值
2019-03-01T00:00:00,P801,溫度監測設施一小時數據平均值,98.00,正常排放量測值
2019-03-01T01:00:00,P011,二氧化硫監測設施一小時數據平均值,31.00,正常排放量測值
2019-03-01T01:00:00,P021,二氧化硫監測設施一小時數據平均值,25.00,正常排放量測值
2019-03-01T01:00:00,P101,二氧化硫監測設施一小時數據平均值,13.00,正常排放量測值
2019-03-01T01:00:00,P201,二氧化硫監測設施一小時數據平均值,0.00,固定污染源暫停運轉時監測設施之量測值
2019-03-01T01:00:00,P301,二氧化硫監測設施一小時數據平均值,2.00,固定污染源暫停運轉時監測設施之量測值
2019-03-01T01:00:00,P401,二氧化硫監測設施一小時數據平均值,10.00,正常排放量測值
2019-03-01T01:00:00,P501,二氧化硫監測設施一小時數據平均值,49.00,正常排放量測值
2019-03-01T01:00:00,P601,二氧化硫監測設施一小時數據平均值,0.00,固定污染源暫停運轉時監測設施之量測值
2019-03-01T01:00:00,P701,二氧化硫監測設施一小時數據平均值,42.00,正常排放量測值
2019-03-01T01:00:00,P801,二氧化硫監測設施一小時數據平均值,43.00,正常排放量測值
2019-03-01T01:00:00,P011,氧氣監測設施一小時數據平均值,4.90,正常排放量測值
2019-03-01T01:00:00,P021,氧氣監測設施一小時數據平均值,5.10,正常排放量測值
2019-03-01T01:00:00,P101,氧氣監測設施一小時數據平均值,5.90,正常排放量測值
2019-03-01T01:00:00,P201,氧氣監測設施一小時數據平均值,22.30,固定污染源暫停運轉時監測設施之量測值
2019-03-01T01:00:00,P301,氧氣監測設施一小時數據平均值,22.60,固定污染源暫停運轉時監測設施之量測值
2019-03-01T01:00:00,P401,氧氣監測設施一小時數據平均值,4.70,正常排放量測值
2019-03-01T01:00:00,P501,氧氣監測設施一小時數據平均值,5.10,正常排放量測值
2019-03-01T01:00:00,P601,氧氣監測設施一小時數據平均值,22.20,固定污染源暫停運轉時監測設施之量測值
2019-03-01T01:00:00,P701,氧氣監測設施一小時數據平均值,5.10,正常排放量測值
2019-03-01T01:00:00,P801,氧氣監測設施一小時數據平均值,5.70,正常排放量測值
2019-03-01T01:00:00,P011,排放流率監測設施一小時數據平均值,1857449.00,正常排放量測值
2019-03-01T01:00:00,P021,排放流率監測設施一小時數據平均值,1867741.00,正常排放量測值
2019-03-01T01:00:00,P101,排放流率監測設施一小時數據平均值,1930230.00,正常排放量測值
2019-03-01T01:00:00,P201,排放流率監測設施一小時數據平均值,19312.00,固定污染源暫停運轉時監測設施之量測值
2019-03-01T01:00:00,P301,排放流率監測設施一小時數據平均值,122904.00,固定污染源暫停運轉時監測設施之量測值
2019-03-01T01:00:00,P401,排放流率監測設施一小時數據平均值,1900393.00,正常排放量測值
2019-03-01T01:00:00,P501,排放流率監測設施一小時數據平均值,1569511.00,正常排放量測值
2019-03-01T01:00:00,P601,排放流率監測設施一小時數據平均值,146542.00,固定污染源暫停運轉時監測設施之量測值
2019-03-01T01:00:00,P701,排放流率監測設施一小時數據平均值,1675416.00,正常排放量測值
2019-03-01T01:00:00,P801,排放流率監測設施一小時數據平均值,1867511.00,正常排放量測值
2019-03-01T01:00:00,P011,氮氧化物監測設施一小時數據平均值,43.00,正常排放量測值
2019-03-01T01:00:00,P021,氮氧化物監測設施一小時數據平均值,42.00,正常排放量測值
2019-03-01T01:00:00,P101,氮氧化物監測設施一小時數據平均值,44.00,正常排放量測值
2019-03-01T01:00:00,P201,氮氧化物監測設施一小時數據平均值,3.00,固定污染源暫停運轉時監測設施之量測值
2019-03-01T01:00:00,P301,氮氧化物監測設施一小時數據平均值,1.00,固定污染源暫停運轉時監測設施之量測值
2019-03-01T01:00:00,P401,氮氧化物監測設施一小時數據平均值,75.00,正常排放量測值
2019-03-01T01:00:00,P501,氮氧化物監測設施一小時數據平均值,67.00,正常排放量測值
2019-03-01T01:00:00,P601,氮氧化物監測設施一小時數據平均值,1.00,固定污染源暫停運轉時監測設施之量測值
2019-03-01T01:00:00,P701,氮氧化物監測設施一小時數據平均值,69.00,正常排放量測值
2019-03-01T01:00:00,P801,氮氧化物監測設施一小時數據平均值,66.00,正常排放量測值
2019-03-01T01:00:00,P011,溫度監測設施一小時數據平均值,97.00,正常排放量測值
2019-03-01T01:00:00,P021,溫度監測設施一小時數據平均值,98.00,正常排放量測值
2019-03-01T01:00:00,P101,溫度監測設施一小時數據平均值,97.00,正常排放量測值
2019-03-01T01:00:00,P201,溫度監測設施一小時數據平均值,19.00,固定污染源暫停運轉時監測設施之量測值
2019-03-01T01:00:00,P301,溫度監測設施一小時數據平均值,20.00,固定污染源暫停運轉時監測設施之量測值
2019-03-01T01:00:00,P401,溫度監測設施一小時數據平均值,96.00,正常排放量測值
2019-03-01T01:00:00,P501,溫度監測設施一小時數據平均值,100.00,正常排放量測值
2019-03-01T01:00:00,P601,溫度監測設施一小時數據平均值,30.00,固定污染源暫停運轉時監測設施之量測值
2019-03-01T01:00:00,P701,溫度監測設施一小時數據平均值,100.00,正常排放量測值
2019-03-01T01:00:00,P801,溫度監測設施一小時數據平均值,98.00,正常排放量測值
2019-03-01T02:00:00,P011,二氧化硫監測設施一小時數據平均值,27.00,正常排放量測值
2019-03-01T02:00:00,P021,二氧化硫監測設施一小時數據平均值,19.00,正常排放量測值
2019-03-01T02:00:00,P101,二氧化硫監測設施一小時數據平均值,11.00,正常排放量測值
2019-03-01T02:00:00,P201,二氧化硫監測設施一小時數據平均值,0.00,固定污染源暫停運轉時監測設施之量測值
2019-03-01T02:00:00,P301,二氧化硫監測設施一小時數據平均值,2.00,固定污染源暫停運轉時監測設施之量測值
2019-03-01T02:00:00,P401,二氧化硫監測設施一小時數據平均值,8.00,正常排放量測值
2019-03-01T02:00:00,P501,二氧化硫監測設施一小時數據平均值,46.00,正常排放量測值
2019-03-01T02:00:00,P601,二氧化硫監測設施一小時數據平均值,0.00,固定污染源暫停運轉時監測設施之量測值
2019-03-01T02:00:00,P701,二氧化硫監測設施一小時數據平均值,43.00,正常排放量測值
2019-03-01T02:00:00,P801,二氧化硫監測設施一小時數據平均值,43.00,正常排放量測值
2019-03-01T02:00:00,P011,氧氣監測設施一小時數據平均值,4.90,正常排放量測值
2019-03-01T02:00:00,P021,氧氣監測設施一小時數據平均值,5.10,正常排放量測值
2019-03-01T02:00:00,P101,氧氣監測設施一小時數據平均值,5.80,正常排放量測值
2019-03-01T02:00:00,P201,氧氣監測設施一小時數據平均值,22.30,固定污染源暫停運轉時監測設施之量測值
2019-03-01T02:00:00,P301,氧氣監測設施一小時數據平均值,22.60,固定污染源暫停運轉時監測設施之量測值
2019-03-01T02:00:00,P401,氧氣監測設施一小時數據平均值,4.60,正常排放量測值
2019-03-01T02:00:00,P501,氧氣監測設施一小時數據平均值,5.00,正常排放量測值
2019-03-01T02:00:00,P601,氧氣監測設施一小時數據平均值,22.20,固定污染源暫停運轉時監測設施之量測值
2019-03-01T02:00:00,P701,氧氣監測設施一小時數據平均值,5.10,正常排放量測值
2019-03-01T02:00:00,P801,氧氣監測設施一小時數據平均值,5.70,正常排放量測值
2019-03-01T02:00:00,P011,排放流率監測設施一小時數據平均值,1849688.00,正常排放量測值
2019-03-01T02:00:00,P021,排放流率監測設施一小時數據平均值,1866881.00,正常排放量測值
2019-03-01T02:00:00,P101,排放流率監測設施一小時數據平均值,1936191.00,正常排放量測值
2019-03-01T02:00:00,P201,排放流率監測設施一小時數據平均值,23349.00,固定污染源暫停運轉時監測設施之量測值
2019-03-01T02:00:00,P301,排放流率監測設施一小時數據平均值,131540.00,固定污染源暫停運轉時監測設施之量測值
2019-03-01T02:00:00,P401,排放流率監測設施一小時數據平均值,1893033.00,正常排放量測值
2019-03-01T02:00:00,P501,排放流率監測設施一小時數據平均值,1568602.00,正常排放量測值
2019-03-01T02:00:00,P601,排放流率監測設施一小時數據平均值,151332.00,固定污染源暫停運轉時監測設施之量測值
2019-03-01T02:00:00,P701,排放流率監測設施一小時數據平均值,1674504.00,正常排放量測值
2019-03-01T02:00:00,P801,排放流率監測設施一小時數據平均值,1873200.00,正常排放量測值
2019-03-01T02:00:00,P011,氮氧化物監測設施一小時數據平均值,42.00,正常排放量測值
2019-03-01T02:00:00,P021,氮氧化物監測設施一小時數據平均值,42.00,正常排放量測值
2019-03-01T02:00:00,P101,氮氧化物監測設施一小時數據平均值,44.00,正常排放量測值
2019-03-01T02:00:00,P201,氮氧化物監測設施一小時數據平均值,4.00,固定污染源暫停運轉時監測設施之量測值
2019-03-01T02:00:00,P301,氮氧化物監測設施一小時數據平均值,1.00,固定污染源暫停運轉時監測設施之量測值
2019-03-01T02:00:00,P401,氮氧化物監測設施一小時數據平均值,75.00,正常排放量測值
2019-03-01T02:00:00,P501,氮氧化物監測設施一小時數據平均值,68.00,正常排放量測值
2019-03-01T02:00:00,P601,氮氧化物監測設施一小時數據平均值,1.00,固定污染源暫停運轉時監測設施之量測值
2019-03-01T02:00:00,P701,氮氧化物監測設施一小時數據平均值,69.00,正常排放量測值
2019-03-01T02:00:00,P801,氮氧化物監測設施一小時數據平均值,66.00,正常排放量測值
2019-03-01T02:00:00,P011,溫度監測設施一小時數據平均值,97.00,正常排放量測值
2019-03-01T02:00:00,P021,溫度監測設施一小時數據平均值,98.00,正常排放量測值
2019-03-01T02:00:00,P101,溫度監測設施一小時數據平均值,97.00,正常排放量測值
2019-03-01T02:00:00,P201,溫度監測設施一小時數據平均值,19.00,固定污染源暫停運轉時監測設施之量測值
2019-03-01T02:00:00,P301,溫度監測設施一小時數據平均值,20.00,固定污染源暫停運轉時監測設施之量測值
2019-03-01T02:00:00,P401,溫度監測設施一小時數據平均值,96.00,正常排放量測值
2019-03-01T02:00:00,P501,溫度監測設施一小時數據平均值,100.00,正常排放量測值
2019-03-01T02:00:00,P601,溫度監測設施一小時數據平均值,30.00,固定污染源暫停運轉時監測設施之量測值
2019-03-01T02:00:00,P701,溫度監測設施一小時數據平均值,100.00,正常排放量測值
2019-03-01T02:00:00,P801,溫度監測設施一小時數據平均值,98.00,正常排放量測值
2019-03-01T03:00:00,P011,二氧化硫監測設施一小時數據平均值,24.00,正常排放量測值
2019-03-01T03:00:00,P021,二氧化硫監測設施一小時數據平均值,17.00,正常排放量測值
2019-03-01T03:00:00,P101,二氧化硫監測設施一小時數據平均值,11.00,正常排放量測值
2019-03-01T03:00:00,P201,二氧化硫監測設施一小時數據平均值,0.00,固定污染源暫停運轉時監測設施之量測值
2019-03-01T03:00:00,P301,二氧化硫監測設施一小時數據平均值,2.00,固定污染源暫停運轉時監測設施之量測值
2019-03-01T03:00:00,P401,二氧化硫監測設施一小時數據平均值,8.00,正常排放量測值
2019-03-01T03:00:00,P501,二氧化硫監測設施一小時數據平均值,46.00,正常排放量測值
2019-03-01T03:00:00,P601,二氧化硫監測設施一小時數據平均值,0.00,固定污染源暫停運轉時監測設施之量測值
2019-03-01T03:00:00,P701,二氧化硫監測設施一小時數據平均值,41.00,正常排放量測值
2019-03-01T03:00:00,P801,二氧化硫監測設施一小時數據平均值,41.00,正常排放量測值
2019-03-01T03:00:00,P011,氧氣監測設施一小時數據平均值,4.90,正常排放量測值
