SiteID,sampledate,AT,PM25,SO2,O3,NO2,NOx,NO,TEMP,RH,RF,WS,WD
C0,2019-07-31T00:00:00,25.10,15.85,2.20,9999,2.40,6.70,4.30,9999,9999,9999,0.40,237.00
C1,2019-07-31T00:00:00,29.80,25.62,2.20,9999,12.90,13.90,1.00,9999,9999,9999,2.00,173.80
C10,2019-07-31T00:00:00,24.80,24.53,0.50,9999,11.20,12.30,1.10,9999,9999,0.00,0.70,276.30
C12,2019-07-31T00:00:00,26.90,10.59,1.00,0.41,5.10,6.90,1.80,9999,86.00,0.00,1.60,278.70
C13,2019-07-31T00:00:00,27.00,12.05,9999,9999,9999,9999,9999,9999,9999,9999,0.30,41.70
C2,2019-07-31T00:00:00,25.30,9.13,3.50,9999,3.90,4.20,0.20,9999,9999,9999,0.10,284.80
C3,2019-07-31T00:00:00,24.30,12.01,3.30,9999,9.00,12.80,3.70,9999,9999,9999,0.70,180.20
C4,2019-07-31T00:00:00,25.00,10.09,2.00,9999,3.10,4.70,1.60,9999,9999,9999,0.60,225.90
C5,2019-07-31T00:00:00,28.50,8.69,3.60,9999,4.90,7.60,2.60,9999,9999,9999,0.60,257.00
C6,2019-07-31T00:00:00,29.90,13.44,3.30,9999,8.20,12.90,4.60,9999,9999,9999,0.80,197.30
C7,2019-07-31T00:00:00,27.60,16.02,2.40,9999,14.80,17.60,2.80,9999,9999,9999,0.70,182.20
C8,2019-07-31T00:00:00,27.80,23.01,2.70,9999,7.30,7.90,0.60,9999,80.60,9999,0.00,86.90
C9,2019-07-31T00:00:00,25.50,14.39,2.10,9999,11.20,13.40,2.20,9999,9999,0.00,0.20,71.50
C0,2019-07-31T01:00:00,25.80,12.97,1.50,9999,6.10,9.80,3.70,9999,9999,9999,1.10,199.00
C1,2019-07-31T01:00:00,29.90,28.56,1.80,9999,10.10,10.90,0.80,9999,9999,9999,1.90,184.30
C10,2019-07-31T01:00:00,24.20,24.53,0.10,9999,10.50,11.40,1.00,9999,9999,0.00,0.70,245.10
