日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2017/01/01,北站,O3,3.6,1.9,1.9,1.8,1.8,2.0,1.8,2.7,5.2,21.6,46.6,62.3,70.9,73.5,76.4,74.5,62.8,41.4,37.9,29.9,26.1,25.7,20.6,20.6
2017/01/02,北站,O3,22.9,16.0,11.6,10.6,11.4,14.1,20.6,14.2,14.1,22.9,41.0,58.7,69.5,66.8,54.3,46.8,43.8,35.8,30.6,26.7,25.3,21.1,17.0,12.5
2017/01/03,北站,O3,9.0,5.7,11.5,22.9,18.9,14.9,18.4,7.4,6.6,10.7,20.0,38.4,61.8,M65.7,M69.1,66.5,50.0,43.0,33.2,24.4,16.8,13.1,10.8,7.4
2017/01/04,北站,O3,6.0,4.2,3.6,2.2,1.8,3.8,2.7,3.1,5.8,12.2,35.1,54.3,63.7,67.7,67.6,65.0,61.0,51.0,35.7,24.9,25.6,23.7,25.4,27.8
2017/01/05,北站,O3,24.4,23.6,19.6,25.1,24.7,15.5,7.4,6.3,6.1,24.7,41.3,45.0,47.8,47.0,48.4,47.2,44.3,45.6,37.8,27.2,21.8,20.5,19.3,17.5
2017/01/06,北站,O3,12.8,9.1,5.8,2.1,2.1,2.2,2.2,4.4,5.1,7.3,15.7,24.2,34.8,45.6,54.7,58.5,50.0,42.3,38.4,35.9,28.5,33.4,24.9,16.6
2017/01/07,北站,O3,20.5,17.5,10.6,8.0,7.4,5.5,3.6,4.4,8.7,16.9,29.0,41.4,59.5,57.3,54.8,51.7,50.9,50.0,42.4,35.1,19.2,12.9,10.9,4.0
2017/01/08,北站,O3,3.7,2.1,1.8,1.9,1.6,2.2,2.9,4.5,11.3,28.2,38.5,45.0,52.8,57.2,57.6,58.3,53.7,48.8,46.6,35.1,21.0,13.3,7.7,3.9
2017/01/09,北站,O3,2.8,1.8,2.1,2.1,2.9,3.9,4.2,4.7,10.7,17.7,26.7,35.0,34.4,48.0,58.9,62.1,54.6,42.3,33.6,27.5,20.8,13.3,8.6,3.4
2017/01/10,北站,O3,4.1,8.0,8.7,6.2,6.2,6.9,5.4,5.6,11.0,18.2,26.7,38.5,49.0,58.7,56.5,60.1,53.4,43.6,36.5,40.0,32.8,31.3,25.2,18.0
2017/01/11,北站,O3,11.9,6.8,4.2,2.4,4.2,4.1,2.1,3.2,6.8,15.8,29.1,42.0,62.0,73.3,72.8,70.0,60.2,51.8,42.7,38.6,33.4,30.4,32.5,28.9
2017/01/12,北站,O3,26.4,23.5,21.4,17.7,14.4,11.7,6.5,5.6,9.6,19.4,33.6,52.9,51.2,55.0,61.1,50.7,43.5,40.4,32.6,29.2,26.3,22.2,19.5,17.3
2017/01/13,北站,O3,15.1,13.0,16.8,16.6,14.5,12.4,11.7,11.1,12.7,16.3,23.4,32.5,45.8,57.4,43.5,34.3,23.1,13.3,8.7,12.3,9.7,13.4,15.1,12.1
2017/01/14,北站,O3,12.3,10.3,10.3,13.4,14.8,18.6,22.0,26.3,25.6,24.2,23.8,22.7,25.0,28.8,28.7,29.9,29.9,26.7,30.6,27.3,20.6,18.0,14.3,17.3
2017/01/15,北站,O3,17.8,16.0,12.8,13.1,17.9,15.2,12.5,10.6,13.4,15.0,21.0,30.4,37.6,42.1,51.3,48.1,48.1,37.2,25.2,18.5,13.4,11.2,13.0,11.9
2017/01/16,北站,O3,13.9,14.8,14.6,11.7,11.9,15.4,13.6,9.3,12.4,18.7,24.2,25.0,33.0,38.0,37.1,37.2,34.6,29.8,26.3,21.1,14.7,10.2,7.2,3.0
2017/01/17,北站,O3,3.9,2.5,2.2,3.3,2.4,1.6,2.0,3.2,6.7,16.6,M21.9,M41.7,44.5,51.1,47.1,52.2,49.5,41.8,38.0,31.9,24.3,23.5,20.4,17.8
2017/01/18,北站,O3,14.8,16.3,19.9,21.5,15.2,13.5,10.5,9.0,17.9,21.8,29.8,36.9,43.8,50.8,47.2,44.3,45.1,40.8,34.1,26.6,22.4,19.2,15.0,11.2
2017/01/19,北站,O3,10.9,9.6,7.4,4.3,5.7,2.9,2.9,3.9,7.8,16.4,27.0,39.7,52.5,48.9,52.0,46.3,44.8,37.1,34.8,28.8,21.6,18.3,17.2,12.2
2017/01/20,北站,O3,7.2,9.0,7.4,9.5,12.9,19.7,21.5,21.8,20.9,21.9,22.5,32.6,45.3,48.9,48.2,46.9,38.9,31.0,20.1,18.9,20.5,22.9,26.0,26.9
2017/01/21,北站,O3,29.2,32.7,32.5,31.0,29.9,27.8,27.1,25.8,26.9,26.7,25.0,25.4,28.4,37.7,43.9,52.3,48.0,42.7,34.5,23.3,19.3,17.0,15.4,17.3
2017/01/22,北站,O3,18.4,18.3,15.5,14.0,11.5,22.0,22.1,21.8,22.3,24.5,31.1,39.8,51.4,54.8,53.5,56.5,53.6,50.3,47.8,43.1,37.7,34.0,31.6,29.3
2017/01/23,北站,O3,29.8,25.2,27.8,23.7,20.0,14.9,15.8,19.7,15.3,18.5,28.2,35.1,49.7,65.7,67.9,64.9,56.1,46.9,38.3,27.8,22.0,16.4,14.1,11.8
2017/01/24,北站,O3,9.9,7.4,5.4,9.1,9.0,9.1,6.8,7.0,9.0,14.9,24.0,33.1,45.5,53.6,53.3,55.7,45.9,39.8,33.9,25.1,19.8,17.1,14.5,12.5
2017/01/25,北站,O3,14.6,16.2,15.4,16.4,17.0,15.6,13.6,14.1,16.1,16.6,22.1,30.2,29.8,34.1,44.4,55.9,48.2,41.3,31.5,26.3,24.6,25.7,26.6,26.2
2017/01/26,北站,O3,26.4,28.0,27.1,26.6,26.7,26.5,24.2,22.0,29.0,32.2,35.3,37.9,49.1,59.5,67.8,65.9,56.0,53.6,45.8,41.3,35.3,31.5,27.2,25.6
2017/01/27,北站,O3,23.0,19.0,12.0,9.3,8.4,4.7,4.9,7.6,14.3,23.7,38.2,47.8,52.9,54.0,54.6,54.0,49.9,46.1,40.8,34.1,29.9,26.6,23.3,14.8
2017/01/28,北站,O3,12.8,9.5,6.9,7.2,7.5,4.7,3.4,6.0,12.9,25.3,40.2,50.3,60.5,60.5,61.6,58.9,53.1,42.3,33.8,34.7,31.6,27.5,24.2,23.9
2017/01/29,北站,O3,22.1,17.9,14.0,7.4,6.3,6.2,10.9,16.2,17.6,18.0,29.6,46.4,52.8,58.6,61.4,60.0,53.8,46.6,45.9,42.0,32.9,28.4,22.1,27.6
2017/01/30,北站,O3,25.2,19.9,19.2,19.3,17.5,15.7,11.2,7.9,14.6,28.5,45.4,55.9,50.7,55.2,59.7,51.2,41.7,35.1,26.3,20.5,18.2,16.4,16.8,19.5
2017/01/31,北站,O3,20.9,24.6,24.8,26.3,24.9,24.8,23.8,26.0,28.4,29.0,30.4,36.0,42.0,46.6,46.6,44.3,40.6,36.9,31.6,25.5,22.8,19.5,18.2,17.7
2017/02/01,北站,O3,21.9,18.7,17.4,16.4,21.6,24.6,17.0,13.2,17.6,23.0,27.3,30.6,M35.1,41.3,41.2,37.5,35.6,31.9,28.9,24.6,22.1,24.4,23.8,23.9
2017/02/02,北站,O3,22.9,20.3,19.8,23.7,22.7,22.6,21.1,19.0,19.9,23.6,26.4,26.5,30.3,40.1,48.8,54.6,50.7,44.6,37.7,32.1,25.7,20.0,14.8,18.3
2017/02/03,北站,O3,16.9,13.0,11.8,10.8,5.9,3.6,4.1,6.3,11.7,20.8,30.1,49.4,59.5,55.8,52.2,56.8,51.0,47.6,39.7,34.4,29.3,25.4,26.6,25.4
2017/02/04,北站,O3,26.3,25.8,23.9,21.5,20.8,21.5,20.5,19.0,18.6,19.8,19.5,22.3,26.5,33.8,38.2,38.7,32.9,27.6,20.8,17.9,19.5,21.1,15.4,14.6
2017/02/05,北站,O3,13.5,8.7,5.3,5.2,6.8,7.3,7.1,7.9,11.9,19.5,30.4,33.6,37.2,35.0,32.6,35.5,35.8,35.2,p25.1,19.4,18.7,13.5,6.2,2.8
2017/02/06,北站,O3,5.1,3.8,3.5,4.0,4.5,6.1,5.7,6.0,9.7,18.4,24.1,32.2,45.9,61.0,69.9,72.2,64.9,54.2,46.3,40.1,33.7,26.9,20.8,20.0
2017/02/07,北站,O3,22.4,20.6,18.3,14.9,16.1,14.3,9.6,9.1,15.8,23.0,32.5,40.9,47.1,51.5,59.2,59.2,55.7,50.0,41.0,34.3,36.2,33.5,27.0,21.2
2017/02/08,北站,O3,23.1,21.7,16.3,13.0,8.9,10.5,9.8,15.4,19.5,27.1,37.4,47.7,51.1,53.3,56.6,55.9,52.8,48.3,42.6,32.7,24.6,20.0,18.8,22.2
2017/02/09,北站,O3,28.5,26.3,31.1,32.4,27.8,27.8,27.3,24.2,21.6,22.7,30.8,36.6,39.1,42.5,47.3,41.8,34.4,35.0,31.5,29.8,29.0,31.3,31.6,37.1
2017/02/10,北站,O3,42.0,41.6,41.1,39.6,38.5,34.3,35.2,32.2,31.3,34.7,36.3,39.8,48.0,53.5,58.6,55.1,47.8,38.9,34.0,29.9,30.4,28.2,30.6,33.3
2017/02/11,北站,O3,33.4,31.7,30.6,29.2,26.3,26.3,26.3,26.3,C21.7,19.4,19.0,23.9,23.5,22.5,19.6,19.0,20.4,14.4,8.9,10.6,6.3,12.2,19.3,17.1
2017/02/12,北站,O3,17.6,16.5,13.5,13.9,16.5,15.6,12.2,15.2,15.5,20.9,29.0,41.7,48.2,54.5,51.8,46.2,49.6,50.4,45.9,39.6,35.6,32.3,28.4,23.2
2017/02/13,北站,O3,24.1,22.5,18.7,12.7,11.2,5.0,2.8,4.8,9.8,19.1,34.7,46.0,51.8,M56.1,60.3,62.3,58.9,52.8,45.3,39.5,32.0,28.7,22.4,17.1
2017/02/14,北站,O3,6.4,8.7,7.8,5.3,2.5,2.1,2.0,3.5,6.7,16.8,40.3,57.3,63.2,71.5,72.6,71.1,68.3,60.6,51.0,46.3,42.1,38.3,32.1,31.7
2017/02/15,北站,O3,27.3,23.4,18.9,17.4,15.2,8.8,5.5,4.3,11.3,28.7,51.1,54.7,60.5,62.7,66.9,68.7,66.5,59.6,52.1,48.2,44.4,39.0,36.6,33.3
2017/02/16,北站,O3,28.5,24.3,20.0,16.3,14.2,18.1,18.4,15.0,14.7,18.2,28.3,43.2,55.2,60.7,65.3,64.8,64.6,60.6,51.3,36.2,26.4,22.6,12.4,17.1
2017/02/17,北站,O3,25.5,20.5,14.4,11.3,10.9,9.2,6.7,10.7,17.7,37.6,53.8,62.5,64.7,67.6,68.3,61.7,53.2,41.6,28.8,29.1,23.5,18.7,15.0,10.9
