日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2017/01/01,東站,O3,4.7,2.5,2.6,2.5,2.4,2.6,2.5,3.3,7.8,26.2,49.2,59.8,71.9,74.3,78.0,75.4,67.8,46.0,39.9,30.5,24.7,23.6,20.6,21.2
2017/01/02,東站,O3,23.8,22.3,15.5,13.0,19.2,13.6,17.8,16.2,16.7,27.9,42.7,58.1,71.6,72.2,58.4,49.5,46.7,39.7,32.1,24.7,23.2,18.9,14.7,14.4
2017/01/03,東站,O3,13.1,9.5,7.1,21.2,21.2,14.6,15.9,8.6,7.3,9.7,20.4,M43.6,60.9,59.9,62.7,69.2,54.4,46.8,36.2,25.6,22.2,19.0,11.2,8.3
2017/01/04,東站,O3,6.6,4.2,2.8,2.4,2.3,2.6,2.4,3.5,5.8,15.7,38.3,55.1,63.5,70.0,71.1,65.7,61.8,52.6,38.4,27.7,27.0,22.5,27.7,23.9
2017/01/05,東站,O3,22.1,21.3,21.7,27.8,22.7,10.4,6.7,6.6,7.8,26.5,44.3,46.7,49.6,51.3,51.4,50.1,45.8,46.2,41.3,27.3,19.6,20.8,18.3,15.3
2017/01/06,東站,O3,9.8,6.9,4.3,2.5,2.5,2.7,2.6,4.0,5.6,8.1,14.2,25.2,38.5,48.4,55.2,59.6,51.2,42.4,36.8,35.8,34.5,31.9,22.0,16.2
2017/01/07,東站,O3,14.4,16.0,10.7,7.7,5.4,5.0,4.8,5.4,10.9,18.1,33.3,42.5,59.0,56.0,55.9,51.6,51.5,51.6,45.5,33.6,20.9,14.2,11.1,6.1
2017/01/08,東站,O3,2.7,2.5,2.5,2.5,2.4,2.8,2.7,4.8,17.0,27.4,39.6,46.3,52.3,58.8,58.4,58.4,54.2,47.9,46.4,35.5,20.7,14.0,7.5,3.5
2017/01/09,東站,O3,2.8,2.9,2.5,2.5,2.6,3.6,3.3,6.0,10.0,18.4,22.3,34.7,45.2,52.7,62.9,64.7,58.8,46.2,34.5,27.6,21.1,10.3,6.8,5.8
2017/01/10,東站,O3,5.0,5.2,7.3,5.7,7.1,6.1,5.0,7.6,10.4,18.4,28.2,39.9,55.7,66.5,69.1,66.2,60.8,52.2,44.8,40.2,33.7,26.5,23.2,18.9
2017/01/11,東站,O3,12.6,8.6,6.8,3.8,2.5,3.7,2.4,3.8,8.3,17.5,34.6,48.6,64.4,79.7,79.5,72.2,63.0,56.4,45.0,39.2,32.2,28.5,30.4,28.4
2017/01/12,東站,O3,24.1,21.7,19.6,15.5,12.9,7.4,7.0,5.9,10.9,21.9,34.4,56.7,63.3,62.4,67.4,55.6,47.2,41.5,32.8,29.1,26.3,23.0,19.8,18.3
2017/01/13,東站,O3,16.9,14.3,15.5,15.9,15.6,14.7,14.8,12.7,13.2,18.0,23.8,33.1,48.3,61.0,54.9,38.0,26.2,11.7,11.8,10.5,9.4,11.5,12.4,11.2
2017/01/14,東站,O3,12.2,10.4,8.3,8.0,11.6,16.0,19.3,24.4,25.9,24.4,23.2,22.1,24.4,26.1,26.8,28.1,26.3,22.7,29.2,28.7,22.2,20.1,15.1,16.3
2017/01/15,東站,O3,18.9,15.6,13.0,12.5,16.3,16.1,13.6,12.7,14.0,15.7,22.1,29.6,38.3,42.2,50.4,48.3,48.5,39.3,27.1,19.3,12.3,11.8,15.8,14.7
2017/01/16,東站,O3,14.7,13.0,10.2,11.2,11.0,14.2,11.9,9.1,11.8,17.3,24.0,M27,35.6,46.0,43.3,39.3,36.9,33.0,28.0,22.2,15.2,10.6,5.8,3.5
2017/01/17,東站,O3,3.8,2.9,2.5,3.6,2.6,2.6,2.5,4.1,7.4,15.9,25.1,40.6,50.0,55.3,50.2,54.1,51.0,43.4,38.7,31.9,26.2,21.7,20.7,20.0
2017/01/18,東站,O3,15.0,13.7,17.5,15.8,14.0,12.4,8.6,7.0,17.0,23.9,30.8,C42.3,50.8,58.9,56.0,49.6,50.6,44.4,35.2,25.8,21.6,16.1,13.3,12.8
2017/01/19,東站,O3,9.9,6.2,4.0,3.9,3.6,3.7,2.6,4.7,8.1,18.4,31.6,41.7,59.2,59.8,56.5,52.0,47.9,39.2,36.3,29.7,22.3,19.6,15.3,12.0
2017/01/20,東站,O3,8.3,7.6,6.5,6.6,9.4,16.9,20.6,22.9,21.1,21.7,23.8,32.7,49.7,60.2,55.5,50.4,39.5,30.7,21.3,17.9,17.9,23.9,27.9,29.4
