日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2017/01/01,西站,O3,3.4,3.0,2.6,2.7,2.7,2.8,2.6,3.9,9.4,30.4,55.4,66.3,74.6,75.6,79.6,76.4,65.5,43.8,35.7,28.6,24.1,21.7,14.7,18.1
2017/01/02,西站,O3,17.4,20.6,13.3,15.0,19.1,16.0,17.0,15.9,16.4,24.5,40.7,58.2,70.2,70.2,59.1,48.0,42.2,32.9,33.0,26.7,19.7,19.3,13.5,8.4
2017/01/03,西站,O3,9.0,8.6,8.8,18.9,17.9,18.2,19.9,10.6,8.9,9.7,22.5,40.1,65.9,65.8,71.9,71.9,53.1,39.7,26.0,25.8,16.5,10.1,10.3,5.4
2017/01/04,西站,O3,5.0,3.7,3.1,2.9,2.7,3.8,3.5,3.7,6.4,14.9,31.3,51.2,62.1,71.2,M70.3,M64.6,60.7,53.9,33.8,23.5,27.2,28.2,29.2,23.1
2017/01/05,西站,O3,12.6,16.4,21.4,28.2,27.3,16.2,7.1,5.2,10.8,26.7,41.5,44.5,49.2,51.1,51.0,48.6,45.3,45.6,31.8,25.0,19.7,15.5,17.7,13.1
2017/01/06,西站,O3,8.5,6.2,5.8,3.3,3.0,3.0,2.7,4.2,5.7,7.8,15.8,24.8,36.2,47.1,56.7,60.7,50.1,41.6,36.2,29.5,25.0,29.6,19.4,15.5
2017/01/07,西站,O3,16.8,10.4,10.7,5.7,6.4,4.9,6.2,7.6,11.2,20.9,36.7,46.4,59.0,55.4,54.6,51.2,53.3,54.4,46.6,31.3,17.7,9.1,8.8,4.8
2017/01/08,西站,O3,2.9,2.7,3.0,2.8,2.8,3.1,5.1,8.6,14.7,30.2,38.5,45.4,52.8,58.7,59.2,59.8,54.1,47.1,39.5,29.1,17.0,13.6,6.2,3.1
2017/01/09,西站,O3,3.3,3.3,3.0,3.0,3.2,3.9,4.1,6.4,12.1,17.9,26.6,36.9,42.9,53.3,61.8,64.9,55.9,43.6,33.2,24.1,16.2,9.4,7.0,4.5
2017/01/10,西站,O3,4.8,6.6,6.4,5.1,5.4,5.6,5.2,5.7,10.5,18.9,27.8,40.7,52.6,65.6,63.9,64.1,60.3,51.4,36.6,32.5,30.5,25.7,22.2,11.9
2017/01/11,西站,O3,7.7,4.7,3.7,3.2,4.9,3.1,3.0,5.3,8.0,17.2,30.5,44.8,65.5,80.0,72.5,71.8,63.4,53.0,43.3,34.1,27.3,27.8,26.6,25.0
2017/01/12,西站,O3,26.3,26.3,22.9,10.5,15.7,9.9,6.4,6.2,11.7,21.2,34.5,55.1,59.7,61.2,65.1,54.2,46.1,35.5,28.3,25.1,24.4,20.2,15.2,14.2
2017/01/13,西站,O3,10.8,11.5,14.7,10.8,11.8,9.9,10.3,10.9,12.5,17.8,24.0,32.8,47.6,60.5,46.0,32.5,23.6,11.1,7.1,9.3,8.0,10.3,12.3,10.9
2017/01/14,西站,O3,10.8,8.6,8.5,10.2,10.9,15.1,17.4,23.0,24.6,23.7,23.5,22.3,25.2,28.6,28.9,28.4,27.3,22.7,29.4,23.1,17.6,16.5,14.5,14.4
2017/01/15,西站,O3,15.3,13.3,8.6,10.8,16.8,13.0,10.3,10.6,11.7,14.0,21.3,31.1,39.0,42.9,50.2,48.6,44.9,35.7,24.3,15.6,9.9,10.0,10.9,10.3
2017/01/16,西站,O3,10.9,11.4,10.7,9.8,10.5,13.1,11.5,9.5,12.5,18.5,25.2,29.4,38.1,43.2,39.5,38.3,36.7,32.0,24.6,16.7,15.3,8.6,6.1,4.4
2017/01/17,西站,O3,5.0,3.4,3.1,4.1,3.1,3.2,2.9,4.9,7.8,16.9,25.2,40.3,47.5,56.7,M50.4,49.2,45.7,39.3,34.7,27.0,21.8,22.0,18.3,17.2
2017/01/18,西站,O3,14.3,15.9,15.6,17.7,13.2,11.4,7.9,9.6,18.1,23.3,31.3,38.2,47.6,57.2,54.8,49.7,45.0,36.4,29.3,23.2,20.4,16.1,11.8,8.6
2017/01/19,西站,O3,7.9,7.4,5.2,4.4,5.4,3.3,3.5,5.0,8.8,16.6,29.5,41.0,58.5,56.3,55.7,50.6,47.4,36.2,30.5,23.1,15.0,13.3,11.4,8.3
2017/01/20,西站,O3,6.1,6.9,6.6,8.4,10.9,15.6,17.3,18.6,18.4,21.7,22.4,33.3,47.6,53.9,52.8,48.2,37.5,27.3,16.6,15.0,16.0,19.2,21.9,23.1
2017/01/21,西站,O3,24.3,26.3,26.3,24.7,24.8,23.2,21.2,20.9,24.1,26.1,24.2,25.4,27.6,37.7,43.2,53.4,46.2,40.3,30.5,18.5,16.1,14.5,11.4,14.2
2017/01/22,西站,O3,15.2,15.1,12.4,11.5,10.7,15.8,17.7,19.7,21.3,24.4,30.4,40.4,52.5,58.7,56.3,58.5,61.1,55.0,49.2,43.0,34.8,31.1,28.5,29.2
2017/01/23,西站,O3,26.4,26.7,23.2,16.4,16.1,16.8,15.9,17.8,13.2,16.4,26.4,33.0,52.1,70.7,72.6,72.0,58.8,45.4,35.3,23.5,20.4,14.1,13.7,9.5
2017/01/24,西站,O3,8.2,7.6,6.5,7.3,7.7,8.6,6.7,7.6,10.8,16.1,25.6,35.8,50.1,59.8,58.3,58.8,47.7,39.2,29.1,19.6,15.2,13.6,11.0,11.1
2017/01/25,西站,O3,11.8,11.5,11.4,13.6,12.5,12.1,12.9,12.9,15.7,16.7,22.9,30.5,33.7,35.5,43.4,54.3,46.8,38.1,26.6,22.7,20.0,19.8,21.7,20.7
2017/01/26,西站,O3,21.6,23.7,22.3,22.9,21.2,21.5,18.4,18.7,27.8,32.4,35.5,41.4,52.4,62.8,71.6,69.4,59.8,53.0,40.1,36.5,29.5,29.3,30.3,32.1
2017/01/27,西站,O3,27.0,13.9,12.3,9.8,8.5,4.8,5.0,7.7,16.2,24.8,39.6,49.5,55.0,57.0,54.5,53.7,49.5,40.4,35.6,31.2,27.1,27.7,23.2,17.7
2017/01/28,西站,O3,13.3,11.8,8.4,8.5,7.6,5.8,4.2,6.5,14.3,25.2,41.6,55.5,66.0,64.9,66.4,61.4,57.4,44.9,35.3,32.8,30.5,31.8,27.8,24.1
