日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2018/01/01,南站,O3,15.0,14.1,17.2,14.7,10.5,12.6,13.5,14.0,16.7,22.0,29.6,42.2,52.0,54.5,55.4,58.9,57.8,49.4,38.0,26.1,24.3,24.1,19.3,15.1
2018/01/02,南站,O3,11.7,12.2,10.1,6.6,8.2,5.2,4.6,5.3,10.4,15.9,27.0,39.9,50.9,58.9,55.0,50.7,45.5,37.6,34.9,33.1,27.8,25.4,19.5,16.1
2018/01/03,南站,O3,15.7,12.9,9.1,16.2,18.0,10.7,6.9,6.2,5.7,15.4,35.4,46.3,54.0,53.8,63.0,M60.8,56.5,55.0,55.0,29.0,38.0,31.9,27.2,24.7
2018/01/04,南站,O3,27.7,17.5,11.4,21.9,18.9,13.8,6.8,7.3,7.8,9.8,14.3,31.8,44.6,47.3,35.7,26.4,13.4,17.0,26.4,18.7,20.1,9.7,10.9,10.1
2018/01/05,南站,O3,7.9,5.6,4.0,5.6,7.7,9.3,5.3,3.6,4.0,7.4,12.4,15.8,24.9,24.9,18.6,13.7,10.9,7.6,4.9,4.0,3.8,5.1,4.1,3.9
2018/01/06,南站,O3,4.5,4.1,4.2,3.2,3.1,2.8,2.6,3.0,4.1,4.9,5.2,6.7,11.8,11.0,9.7,13.8,18.0,18.9,18.1,14.4,9.1,4.1,5.4,4.4
2018/01/07,南站,O3,12.4,13.8,13.1,17.9,15.7,13.4,9.5,13.0,11.4,23.3,19.4,23.4,23.5,29.1,32.2,30.3,26.0,23.9,19.7,15.7,10.9,4.4,5.9,3.1
2018/01/08,南站,O3,8.1,2.6,3.6,3.3,3.9,4.1,11.2,7.5,3.4,7.8,18.4,25.7,20.1,18.9,14.5,12.2,10.2,13.2,19.1,19.8,21.7,20.7,17.2,16.1
2018/01/09,南站,O3,18.2,9.3,10.7,12.6,12.2,8.2,9.6,8.7,10.2,12.0,12.7,14.7,11.3,15.0,15.9,16.2,10.7,10.7,8.8,6.2,7.0,12.9,13.6,16.8
2018/01/10,南站,O3,12.2,21.5,21.4,18.2,15.9,19.5,22.8,20.8,15.6,21.3,23.2,25.9,26.4,33.3,40.3,42.5,33.5,31.0,27.8,26.1,28.3,26.3,24.3,18.8
2018/01/11,南站,O3,19.8,21.5,28.9,18.2,21.4,12.0,18.7,18.9,19.1,18.8,22.8,24.7,23.8,19.1,23.2,22.2,33.4,36.0,33.1,29.5,28.2,20.0,26.5,21.7
2018/01/12,南站,O3,22.0,16.8,30.4,27.0,26.7,18.9,15.5,13.0,16.5,17.4,24.1,27.5,31.0,37.3,44.2,44.4,42.6,31.4,24.6,24.0,23.1,20.2,20.1,21.3
2018/01/13,南站,O3,21.3,18.4,16.9,15.6,9.5,5.8,3.7,5.6,9.9,11.4,22.8,39.6,52.0,56.2,60.8,60.7,57.5,48.3,32.0,25.7,23.6,15.1,9.2,5.3
2018/01/14,南站,O3,6.7,8.1,13.1,13.6,8.3,8.1,4.8,4.8,8.8,22.1,38.7,52.8,62.0,68.1,65.6,65.2,55.5,41.4,37.4,26.4,21.4,16.3,19.8,20.9
2018/01/15,南站,O3,17.5,12.5,10.0,11.6,10.0,7.4,5.8,5.6,7.4,15.3,21.9,33.1,42.1,52.3,P^,P^,P^,P^,P^,P^,P^,P^,P^,P^
2018/01/16,南站,O3,p^,p^,p^,p^,p^,p^,p^,p^,p^,p^,M27.3,M37.4,40.2,37.8,C40,38.2,33.4,24.1,15.6,8.5,5.6,4.4,3.9,3.4
2018/01/17,南站,O3,2.6,2.6,2.7,3.0,2.8,3.3,4.3,4.6,6.0,13.4,22.2,32.2,31.8,36.7,40.4,39.9,37.6,27.5,24.3,26.6,26.4,22.7,17.7,11.6
2018/01/18,南站,O3,9.5,10.5,12.2,7.8,8.0,5.6,4.8,4.6,7.4,9.6,20.7,30.6,36.6,45.9,49.5,48.4,38.9,32.7,29.6,26.7,22.5,19.2,19.4,21.6
2018/01/19,南站,O3,15.4,14.8,15.7,7.8,5.5,5.6,5.7,6.4,10.6,15.0,15.2,16.8,20.7,21.6,27.6,25.2,23.9,20.7,11.7,8.2,4.9,5.1,9.3,11.2
2018/01/20,南站,O3,19.6,21.8,23.8,21.0,19.7,15.3,13.0,9.1,9.0,16.1,19.9,31.3,42.7,50.5,57.9,63.3,49.1,48.8,47.4,42.1,36.5,29.0,25.2,20.8
2018/01/21,南站,O3,18.3,19.6,16.4,14.3,12.0,11.5,8.2,7.7,11.7,13.6,20.4,26.7,43.9,58.8,63.1,52.0,57.2,55.4,44.2,39.4,36.9,33.9,28.0,26.9
2018/01/22,南站,O3,23.5,19.8,22.5,14.3,15.3,9.7,9.0,9.0,8.7,13.2,20.3,24.0,34.4,41.0,40.9,39.5,42.0,44.4,48.4,41.0,35.1,25.3,18.5,17.3
2018/01/23,南站,O3,19.7,22.3,20.2,19.8,14.4,13.1,10.9,10.8,10.5,19.9,30.1,42.3,50.8,60.4,59.2,55.8,51.2,47.0,39.4,30.7,17.7,16.7,17.9,13.5
2018/01/24,南站,O3,10.6,9.2,10.8,4.3,3.7,3.5,3.5,4.7,7.8,16.7,27.9,43.5,43.5,58.9,65.6,70.1,61.0,50.4,42.7,32.9,24.7,18.9,18.0,17.9
2018/01/25,南站,O3,13.6,11.6,7.2,7.6,11.5,11.7,10.8,7.4,6.8,15.0,27.4,36.0,33.2,42.2,54.2,55.1,46.4,39.0,27.9,17.9,14.8,13.6,12.9,15.3
2018/01/26,南站,O3,12.4,10.1,10.1,7.7,7.6,10.6,11.6,12.3,15.2,18.8,23.5,27.5,38.7,43.4,41.4,40.7,34.0,26.7,20.4,18.3,16.0,16.2,13.7,11.6
2018/01/27,南站,O3,13.3,14.6,16.6,10.4,9.7,10.6,12.4,12.3,9.5,10.6,15.8,23.8,34.6,39.4,37.0,40.5,41.9,38.9,32.9,27.2,24.2,19.6,16.3,20.6
2018/01/28,南站,O3,16.0,16.5,10.3,11.8,11.0,14.7,12.3,10.3,10.8,13.0,21.1,23.5,23.5,32.8,40.4,37.6,27.1,16.5,14.0,12.7,9.6,5.8,6.9,8.4
2018/01/29,南站,O3,10.5,12.9,13.6,20.6,19.1,18.6,19.4,16.4,17.3,19.1,17.6,15.1,16.4,17.8,M15.4,16.6,16.9,12.0,13.8,8.5,9.8,10.6,11.4,10.7
2018/01/30,南站,O3,11.4,16.1,13.6,10.8,12.3,13.5,13.3,10.6,13.0,13.8,14.3,17.5,23.0,29.6,27.7,30.1,20.8,17.6,10.9,8.4,7.9,6.0,4.4,4.2
2018/01/31,南站,O3,3.6,2.7,3.2,2.7,2.6,2.5,2.6,3.4,5.3,7.8,12.9,17.5,23.2,25.2,31.2,34.8,32.1,27.5,24.8,22.3,22.0,20.0,19.6,23.4
2018/02/01,南站,O3,17.5,17.1,17.9,22.3,19.9,22.1,20.2,19.6,16.2,21.2,24.7,25.4,37.8,38.2,35.8,35.2,36.1,25.7,18.2,14.2,9.5,7.3,7.0,5.7
2018/02/02,南站,O3,4.8,6.7,5.6,6.3,8.7,15.4,10.8,9.0,12.9,19.2,28.0,39.9,46.0,47.3,42.7,40.1,36.0,34.1,30.0,22.4,23.7,29.5,14.6,21.7
2018/02/03,南站,O3,28.8,21.6,30.4,26.0,26.1,28.8,28.6,30.0,24.0,32.8,33.5,36.7,40.3,38.8,32.6,31.7,27.5,22.2,22.4,19.1,20.5,25.6,25.1,20.8
2018/02/04,南站,O3,25.4,25.3,24.6,26.9,25.7,27.2,21.9,18.8,23.6,23.3,20.0,22.1,26.7,25.7,28.9,25.8,24.9,27.4,24.6,23.1,23.1,21.7,21.8,21.0
2018/02/05,南站,O3,19.8,22.1,18.1,23.0,23.7,25.6,24.9,21.1,18.0,20.9,19.3,19.2,17.7,14.9,16.1,14.3,14.5,13.1,12.0,16.0,16.9,16.2,21.8,21.7
2018/02/06,南站,O3,25.4,20.8,22.0,22.8,12.7,12.8,12.5,9.9,13.3,15.9,19.5,25.3,30.8,32.6,30.6,31.7,37.7,31.6,24.5,18.3,15.7,18.8,19.9,23.0
2018/02/07,南站,O3,14.9,20.1,22.2,21.8,16.5,12.0,8.1,8.9,8.4,8.3,10.9,9.3,13.4,14.0,17.6,16.4,12.8,6.8,4.3,3.1,2.8,2.6,4.5,3.3
2018/02/08,南站,O3,2.8,9.1,9.9,10.3,16.5,12.4,15.2,15.3,8.0,9.4,13.6,14.2,17.8,18.3,19.0,20.0,17.6,13.5,8.4,5.3,8.8,9.0,10.7,9.4
2018/02/09,南站,O3,8.0,8.6,3.5,3.9,2.9,3.0,3.0,4.5,8.5,12.8,21.6,26.6,31.8,40.8,47.1,45.4,42.5,33.6,24.5,20.3,16.2,10.6,12.9,10.8
2018/02/10,南站,O3,7.1,5.9,6.4,10.2,11.2,7.8,6.8,9.4,10.6,15.1,14.3,17.5,27.2,43.6,46.8,38.3,35.0,29.3,23.7,24.5,21.2,17.4,18.6,18.3
2018/02/11,南站,O3,18.3,24.1,27.8,31.4,29.3,34.8,30.3,27.6,25.9,31.4,30.8,33.5,40.2,43.5,39.9,32.7,44.7,37.5,33.2,30.3,28.0,24.6,23.3,24.2
2018/02/12,南站,O3,27.8,25.9,19.3,23.6,17.0,16.6,26.1,22.3,17.4,22.7,23.3,24.6,28.5,31.0,M45.5,44.0,47.1,49.9,43.0,34.6,29.9,23.5,22.1,20.4
2018/02/13,南站,O3,24.2,27.0,20.2,19.9,24.9,22.3,21.0,14.9,18.6,27.6,33.2,40.7,59.3,69.9,69.8,66.4,64.4,57.7,45.5,35.5,36.5,26.7,22.4,21.0
2018/02/14,南站,O3,18.7,16.0,10.6,12.6,9.7,6.6,4.8,6.5,11.0,21.6,30.1,45.3,59.2,78.8,81.6,82.5,91.6,87.9,66.2,50.3,31.3,23.8,29.9,24.3
2018/02/15,南站,O3,22.6,16.9,29.0,29.1,24.5,13.8,11.0,17.0,22.6,26.0,32.8,36.2,38.0,39.8,59.0,61.6,41.3,35.0,59.5,49.3,42.8,30.1,25.1,20.4
2018/02/16,南站,O3,17.1,14.7,9.4,7.8,7.6,8.3,9.9,10.3,10.1,13.2,23.4,36.9,43.6,56.2,60.6,46.8,47.3,47.5,42.2,32.3,25.6,21.3,17.1,13.8
2018/02/17,南站,O3,13.1,15.7,21.5,18.6,10.2,10.1,11.9,15.9,16.6,18.1,19.2,27.4,37.5,47.3,58.3,57.4,53.4,51.1,47.0,43.6,40.9,39.2,38.4,35.0
2018/02/18,南站,O3,32.8,32.4,31.6,31.0,29.1,26.3,25.7,23.4,20.7,21.9,28.1,37.6,42.4,46.2,48.4,50.7,58.6,52.9,44.0,35.1,35.9,26.9,17.2,7.4
2018/02/19,南站,O3,13.9,20.5,19.3,19.3,12.1,7.1,5.4,9.3,14.4,24.3,40.0,55.1,55.6,62.3,74.1,69.9,62.1,49.6,40.9,36.2,22.1,20.5,20.1,13.2
2018/02/20,南站,O3,11.1,8.9,11.3,7.6,5.5,12.4,20.3,17.3,15.8,18.5,21.5,36.0,50.2,60.4,55.8,56.1,48.7,39.5,31.9,27.6,24.2,27.0,24.0,21.7
2018/02/21,南站,O3,20.2,13.3,12.3,10.8,7.8,5.8,7.1,8.5,8.9,12.4,18.3,24.9,44.5,52.2,52.2,51.5,50.5,46.3,38.0,31.1,22.2,18.4,19.1,18.8
2018/02/22,南站,O3,17.2,16.2,21.9,20.6,18.7,15.3,16.1,14.2,15.0,19.6,22.7,23.7,26.2,27.8,21.1,21.8,25.4,25.4,26.2,21.5,18.6,15.2,15.7,14.1
2018/02/23,南站,O3,13.3,13.2,14.7,11.1,12.0,15.6,14.8,17.7,15.9,18.8,25.1,34.1,47.3,53.3,59.5,55.8,56.7,53.7,49.0,40.3,32.0,26.6,15.6,17.7
2018/02/24,南站,O3,13.8,14.6,9.6,7.7,5.1,3.7,4.8,7.9,10.3,10.4,19.4,25.4,36.5,44.7,56.4,56.0,48.0,55.2,45.1,36.2,31.8,21.6,20.4,18.9
2018/02/25,南站,O3,16.2,11.1,9.8,4.6,3.8,3.8,3.1,5.2,11.6,19.1,31.4,37.7,46.4,47.7,49.2,47.3,47.6,45.5,35.4,27.7,24.2,20.6,17.8,16.5
2018/02/26,南站,O3,20.5,22.3,18.1,21.8,15.2,19.9,20.9,19.2,20.3,20.1,27.3,35.7,43.4,48.7,51.6,57.6,57.7,51.9,46.3,42.3,39.0,32.3,27.4,27.3
2018/02/27,南站,O3,23.0,22.7,21.1,23.5,13.6,10.7,10.4,13.3,18.2,28.4,37.7,45.7,48.8,52.9,M55.9,M55.1,54.9,53.8,45.9,37.8,25.4,19.1,14.1,12.4
2018/02/28,南站,O3,11.5,9.4,4.7,2.9,3.7,2.8,3.2,5.0,9.9,27.4,C48.8,53.4,55.6,72.8,68.9,60.4,50.7,38.0,29.3,25.4,22.2,20.9,10.2,4.2
2018/03/01,南站,O3,2.8,2.7,2.5,2.5,2.9,2.5,2.7,3.5,7.8,15.0,28.2,38.5,49.9,60.0,59.1,61.2,60.4,56.4,38.6,36.7,37.7,32.1,27.7,31.1
2018/03/02,南站,O3,24.7,24.8,28.0,21.4,13.1,10.4,9.3,6.4,11.3,18.9,32.7,48.5,57.2,66.8,68.8,65.8,59.5,47.2,37.4,33.9,32.6,25.7,24.3,15.5
2018/03/03,南站,O3,10.5,10.2,6.1,5.2,4.0,2.6,3.2,7.5,13.7,23.3,36.2,51.5,49.0,41.5,37.4,35.5,32.7,32.1,25.5,17.0,2.8,3.0,2.7,3.8
2018/03/04,南站,O3,7.6,7.1,3.6,8.5,8.8,6.7,4.7,6.5,11.2,25.0,43.1,56.3,65.1,47.5,34.2,28.7,31.6,33.0,31.0,28.6,21.5,19.6,16.3,12.4
2018/03/05,南站,O3,11.9,9.6,8.3,9.3,8.8,6.0,3.7,5.7,11.4,15.4,24.5,28.1,26.9,24.9,24.0,22.4,21.5,17.9,14.7,5.1,10.6,15.7,14.0,15.1
2018/03/06,南站,O3,13.8,15.8,14.5,18.8,20.1,16.2,19.5,15.0,16.0,18.5,20.9,23.9,32.3,38.2,42.9,50.7,46.2,38.4,28.1,23.2,20.5,15.4,14.1,13.1
2018/03/07,南站,O3,12.4,9.9,10.7,11.2,11.6,12.3,12.3,12.3,11.9,18.8,23.5,34.9,48.0,47.8,58.6,64.2,53.9,44.9,38.4,29.8,30.4,29.4,30.0,26.0
2018/03/08,南站,O3,25.4,18.0,17.3,8.9,12.5,12.7,19.1,20.0,22.6,24.5,23.7,19.7,24.7,18.1,16.6,17.7,17.5,17.6,27.8,30.8,26.7,33.4,27.4,30.9
2018/03/09,南站,O3,31.0,33.2,34.7,29.5,27.5,33.9,26.0,27.7,28.0,30.0,28.5,35.7,42.9,48.3,57.0,60.6,61.1,52.7,41.4,30.5,26.2,27.5,25.3,21.4
2018/03/10,南站,O3,18.9,14.2,10.9,7.6,6.0,7.1,6.1,8.5,16.2,24.7,40.7,53.8,71.5,81.4,73.8,72.9,69.4,59.0,52.2,45.5,32.5,33.4,29.4,23.6
2018/03/11,南站,O3,14.3,15.1,10.6,11.8,10.7,8.1,6.5,9.7,22.1,36.2,57.7,67.5,74.7,73.1,72.3,69.7,67.9,66.3,60.7,50.8,47.5,44.4,39.0,32.7
2018/03/12,南站,O3,30.0,23.7,21.7,18.7,12.8,8.8,6.3,7.5,16.2,44.2,51.8,58.5,63.0,64.1,63.1,63.4,61.1,58.1,52.2,50.5,40.9,32.5,28.3,24.6
2018/03/13,南站,O3,12.4,21.7,23.3,23.9,25.2,17.1,8.1,6.4,19.0,42.4,59.0,65.8,71.7,68.1,65.8,70.8,72.5,78.6,68.2,61.0,44.9,34.9,30.1,26.6
2018/03/14,南站,O3,26.3,26.9,22.3,22.4,23.9,18.8,14.2,16.1,11.8,22.9,34.4,55.9,66.2,69.8,74.2,78.9,83.0,62.3,42.7,34.1,6.6,7.7,13.0,32.6
2018/03/15,南站,O3,33.6,28.0,23.5,26.0,27.4,26.1,22.2,14.3,22.8,35.1,46.5,56.3,M67.4,63.2,70.0,72.1,58.6,53.0,46.4,39.3,25.5,28.1,26.6,27.3
2018/03/16,南站,O3,27.0,31.2,27.4,27.2,21.0,14.9,9.9,8.4,15.0,28.7,39.4,50.8,53.9,58.4,60.4,59.2,54.5,52.6,47.3,42.6,33.0,22.1,16.1,15.5
2018/03/17,南站,O3,20.3,19.6,19.4,19.1,16.7,17.4,16.7,15.5,18.8,25.3,41.8,53.0,60.0,61.3,66.4,67.4,66.5,59.2,53.7,47.6,41.1,35.0,23.8,19.6
2018/03/18,南站,O3,23.8,17.7,15.7,21.2,13.9,13.2,8.6,11.9,20.6,35.8,53.8,65.9,74.1,73.0,69.1,63.9,57.6,56.4,51.0,41.1,40.8,33.7,23.5,20.7
2018/03/19,南站,O3,16.3,15.8,12.7,9.8,8.7,10.5,12.6,9.9,23.9,44.8,47.0,53.5,69.6,66.2,62.8,47.5,37.2,27.9,19.4,23.9,22.7,24.1,24.8,23.6
2018/03/20,南站,O3,15.4,11.1,5.7,6.9,6.1,9.4,7.4,3.8,13.0,24.2,33.2,44.8,43.7,40.4,33.8,35.8,35.6,35.1,31.2,29.5,26.4,26.8,24.7,28.0
2018/03/21,南站,O3,25.7,19.1,28.1,25.2,23.0,20.4,15.6,17.2,20.0,28.4,34.8,40.2,44.0,50.6,56.0,61.2,61.7,48.2,42.9,36.7,38.1,37.2,35.4,26.8
2018/03/22,南站,O3,26.9,26.7,32.3,30.0,35.9,33.0,25.1,21.0,23.5,33.0,P26.4,P26.6,P47.7,67.4,67.9,70.4,72.4,69.8,59.2,51.3,42.4,36.8,25.2,24.9
2018/03/23,南站,O3,25.8,26.5,24.5,21.3,4.0,4.2,3.8,9.9,31.7,57.2,67.4,77.0,78.6,84.8,89.0,74.0,52.3,57.7,52.2,43.8,38.7,29.9,21.8,12.3
2018/03/24,南站,O3,17.9,26.5,35.6,39.7,40.1,40.9,34.3,29.4,35.7,52.2,66.3,78.3,85.6,92.1,89.3,90.9,94.6,86.1,67.7,50.6,56.5,55.7,48.7,42.4
2018/03/25,南站,O3,27.5,36.5,34.9,36.2,42.1,48.1,42.1,34.8,47.8,56.7,70.0,76.8,78.2,76.0,71.2,71.9,68.6,68.2,63.1,49.5,49.0,46.7,43.8,34.6
2018/03/26,南站,O3,26.1,39.5,40.1,37.0,29.5,20.6,13.3,13.3,35.8,58.5,69.4,85.6,85.3,83.0,78.2,72.9,66.6,60.2,51.3,47.1,38.3,31.7,24.7,20.5
2018/03/27,南站,O3,22.4,23.8,23.6,20.9,17.7,15.9,9.4,15.8,32.0,45.9,60.3,M0,72.1,66.2,61.6,62.5,60.8,52.3,49.2,40.6,24.5,26.2,27.4,20.2
2018/03/28,南站,O3,17.0,11.7,13.1,11.3,7.1,5.5,7.6,13.0,27.0,45.6,57.7,67.1,69.1,66.9,62.4,63.7,59.0,56.1,51.9,44.1,39.8,33.3,26.8,26.4
2018/03/29,南站,O3,23.3,21.6,20.9,17.2,13.5,8.2,9.0,13.9,27.9,37.8,50.8,59.9,62.9,62.7,62.2,59.1,54.9,50.7,48.9,45.6,42.1,49.4,43.2,29.7
2018/03/30,南站,O3,15.6,17.7,12.8,15.5,12.1,8.5,12.5,19.5,43.6,48.3,57.1,66.4,63.6,63.3,56.8,57.7,69.0,76.3,71.0,64.7,55.2,48.2,41.6,35.5
2018/03/31,南站,O3,31.7,31.3,30.0,27.2,24.7,23.7,19.3,24.1,36.2,47.5,57.0,68.4,67.4,51.0,52.0,53.4,56.6,53.4,43.4,40.6,39.0,36.8,35.3,31.1
2018/04/01,南站,O3,29.4,29.1,29.6,24.2,26.9,22.6,17.8,18.3,29.0,40.1,47.0,47.5,47.7,49.0,48.5,49.1,48.6,52.7,52.7,51.0,50.4,50.7,50.4,49.7
2018/04/02,南站,O3,47.5,40.3,29.9,27.7,23.0,19.1,13.5,15.5,32.6,41.3,51.9,51.3,51.5,53.7,49.7,46.8,45.4,40.9,35.7,33.1,26.8,31.1,18.7,15.9
2018/04/03,南站,O3,5.1,19.2,12.2,12.3,10.8,14.6,12.7,16.0,23.2,30.7,38.3,45.9,47.9,49.9,44.2,43.4,40.2,36.5,32.3,33.1,26.8,25.2,27.0,19.6
2018/04/04,南站,O3,12.6,13.3,10.8,6.0,4.0,5.1,8.2,15.3,26.1,39.8,51.7,60.4,63.0,62.3,59.4,54.4,50.9,44.7,35.0,32.9,32.8,25.9,20.8,16.5
2018/04/05,南站,O3,13.9,16.6,15.4,13.0,11.5,8.1,7.9,13.8,34.1,45.0,58.7,66.3,69.1,70.1,60.7,58.0,54.6,54.1,50.9,46.0,40.4,39.3,33.4,30.6
