hr,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
01,918.5,1497.8,19.7,18.7,94,0.3,160,2.1,130,0.0,0.0,...,0.00,...,0,...
02,918.3,1496.9,21.0,18.8,87,0.1,0,2.4,130,0.0,0.0,...,0.00,...,0,...
03,917.7,1490.4,20.6,19.0,91,0.2,0,2.9,190,0.0,0.0,...,0.00,...,0,...
04,917.4,1485.9,20.6,19.3,92,1.2,250,4.1,240,0.0,0.0,...,0.00,...,0,...
05,917.7,1488.0,20.3,19.1,93,0.7,170,2.5,240,0.0,0.0,...,0.00,25.0,0,10.0
06,917.8,1488.2,20.6,19.3,92,0.0,0,1.4,190,0.0,0.0,0.0,0.00,...,0,...
07,918.3,1493.3,21.5,20.0,91,0.8,200,1.8,200,0.0,0.0,0.0,0.44,...,0,...
08,918.5,1495.3,22.0,20.1,89,1.4,180,3.0,200,0.0,0.0,0.0,0.65,25.0,1,10.0
09,918.8,1497.8,22.2,20.5,90,1.3,190,3.4,210,0.0,0.0,0.0,0.90,10.0,2,10.0
10,918.7,1497.3,22.9,20.7,87,2.1,160,5.7,140,0.0,0.0,0.0,0.94,...,3,...
11,918.3,1494.3,23.5,21.7,90,0.6,210,3.7,150,0.0,0.0,0.0,0.94,10.0,3,10.0
12,917.8,1489.0,22.8,21.3,91,2.7,10,5.0,360,0.0,0.0,0.0,0.51,...,2,...
13,917.5,1486.3,23.0,20.9,88,2.4,350,5.2,350,0.0,0.0,0.0,1.62,...,6,...
14,916.5,1477.0,21.8,20.6,93,2.4,10,5.4,360,0.0,0.0,0.0,0.53,5.0,2,10.0
15,916.0,1472.3,22.2,20.6,91,4.3,10,10.4,350,0.0,0.0,0.0,0.61,...,2,...
16,916.0,1471.7,21.7,20.1,91,2.5,340,8.7,330,0.0,0.0,0.0,0.23,...,1,...
17,916.3,1473.5,21.1,19.9,93,2.9,340,7.2,350,0.0,0.0,0.0,0.00,12.0,0,10.0
18,916.5,1475.5,20.9,19.8,93,3.0,20,8.6,10,0.0,0.0,0.0,0.00,...,0,...
19,917.1,1481.8,20.6,19.8,95,2.9,30,9.0,30,0.0,0.0,0.0,0.00,...,0,...
20,917.6,1487.1,20.6,19.6,94,3.2,10,9.5,10,0.0,0.0,...,0.00,15.0,0,10.0
21,917.9,1490.4,20.8,19.8,94,1.2,110,9.2,350,0.0,0.0,...,0.00,10.0,0,10.0
22,917.9,1491.3,20.9,20.3,96,0.9,60,4.6,200,0.0,0.0,...,0.00,...,0,...
23,917.3,1486.5,21.1,20.7,98,2.0,170,7.0,140,0.0,0.0,...,0.00,...,0,...
24,917.0,1483.0,21.2,21.1,99,2.4,150,11.4,110,0.0,0.0,...,0.00,...,0,...
