GMT00    GMT08,Chiayi,YUSHAN,YONGKANG,Tainan,KAOHSIUNG,DAWU,HENGCHUN
01-22-00 01-22-08,15.1,-4,15.1,15.2,16.3,18.3,18.8
01-22-01 01-22-09,15.9,-2.6,16.5,16.7,18.1,22.5,19.7
01-22-02 01-22-10,16.1,0.6,17.5,17.7,19.3,23,20.9
01-22-03 01-22-11,16.4,3.3,18.1,17.7,20.7,23.6,21.4
01-22-04 01-22-12,16.8,3.3,17.4,17.7,22.2,24.8,21.5
01-22-05 01-22-13,17.9,2.3,18,18.2,21.9,24.8,21.9
01-22-06 01-22-14,18,2,19.2,18.8,21.6,22,23
01-22-07 01-22-15,17.8,1.6,19.5,19.2,21.5,21.9,22.4
01-22-08 01-22-16,17.8,-0.1,17.8,18.4,21.6,21.4,22
01-22-09 01-22-17,17,-2,17.2,17.8,20.2,21.3,22
01-22-10 01-22-18,15.7,-5,15.9,16.5,19.1,20.2,21.6
01-22-11 01-22-19,14.6,-5.4,14.8,15.5,18.8,19.9,21.1
01-22-12 01-22-20,13.8,-5.6,14.2,14.9,18.4,19.4,20.3
01-22-13 01-22-21,13.1,-5.4,13.6,14.6,17.3,19.4,20
01-22-14 01-22-22,12.7,-5.1,13.3,14,17.1,19.1,19.7
01-22-15 01-22-23,11.9,-4.6,12.8,13.5,16.8,19.1,19.4
01-22-16 01-22-24,11.5,-3.7,12.6,13.4,16.4,19,19.3
01-22-17 01-23-01,11.1,-5.5,12.3,13.3,15.8,18.9,19.3
01-22-18 01-23-02,10.8,-6,12,13.1,15.3,18.9,19.3
01-22-19 01-23-03,11,-6.4,11.7,12.7,14.7,18.8,19.2
01-22-20 01-23-04,10.9,-6,11.3,12.3,14.8,18,19.1
01-22-21 01-23-05,10.4,-6.3,11.1,12.1,15,17.9,19
01-22-22 01-23-06,10.2,-6.4,10.9,11.9,14.7,17.8,18.9
01-22-23 01-23-07,10.3,-5.7,11.1,12.2,14.8,18.5,19.2
01-23-00 01-23-08,12.5,-3.3,12.2,12.8,15.4,19.1,19.8
01-23-01 01-23-09,14.8,-2.1,14.9,15.2,17.1,19.9,20.4
01-23-02 01-23-10,17.6,-2.8,17.3,17,19.1,20.9,21.3
01-23-03 01-23-11,19.4,-1.3,20,19.6,21.6,21.2,21.8
