current_date,Chiayi,YUSHAN,YONGKANG,Tainan,KAOHSIUNG,DAWU,HENGCHUN
01-22_00,13.66,0.41,15.46,15.75,16.48,17.78,19.12
01-22_01,15.08,1.86,16.94,17.03,18.14,19.29,20.28
01-22_02,16.62,2.87,18.54,18.55,18.99,20.11,21.6
01-22_03,17.8,3.58,19.93,20.03,20.38,20.81,22.1
01-22_04,18.88,3.94,20.61,20.68,21.62,19.75,22.33
01-22_05,19.45,3.96,21.7,21.77,22.65,19.27,22.18
01-22_06,19.67,3.66,21.83,21.92,23.13,19.17,22.35
01-22_07,19.45,3.01,21.76,21.87,23.22,18.88,22.05
01-22_08,18.31,2.11,21.29,21.32,23.24,18.47,21.4
01-22_09,17.03,0.48,19.45,19.67,22.72,17.72,20.55
01-22_10,15.38,-0.66,18.08,18.38,21.52,16.91,19.74
01-22_11,14.7,-0.74,16.89,17.28,19.82,16.59,19.48
01-22_12,14.24,-0.77,16.31,16.6,18.57,16.28,18.73
01-22_13,13.77,-0.57,15.87,16.26,18.32,15.6,18.25
01-22_14,13.34,-0.36,15.42,15.83,17.58,15.36,17.78
01-22_15,12.88,-0.21,15.1,15.5,17.15,15.16,17.46
01-22_16,12.47,-0.23,14.73,15.17,16.8,14.8,17.21
01-22_17,12.21,-0.26,14.4,14.88,16.45,13.96,17.04
01-22_18,11.95,-0.23,14.09,14.63,16.33,13.66,16.99
01-22_19,11.67,-0.23,13.91,14.44,16.17,13.46,16.95
01-22_20,11.43,-0.24,13.55,14.48,16.03,13.35,17.03
01-22_21,11.34,-0.21,13.27,14.24,16.28,13.38,17.2
01-22_22,11.31,-0.24,13.23,14.3,16.59,13.32,17.25
01-22_23,11.39,0.39,13.33,14.35,16.98,14.07,17.31
01-23_00,12.68,2.82,14.27,15.13,17.79,16.69,18.58
01-23_01,14.52,4.45,15.96,16.39,18.77,18.16,19.6
01-23_02,16.06,5.33,17.87,18.18,19.58,19.28,20.54
01-23_03,17.71,5.74,19.44,19.87,20.11,19.71,21.21
01-23_04,18.97,5.7,20.76,21.09,20.6,20.17,21.77
01-23_05,20.06,5.56,21.93,22.13,21.01,20.31,22.19
01-23_06,20.75,5.08,22.56,22.64,21.3,20.12,22.16
01-23_07,21.35,4.25,22.41,22.3,21.69,19.54,21.78
01-23_08,20.93,2.99,21.74,21.85,21.87,18.99,21.1
01-23_09,18.91,0.8,20.93,21.26,21.61,18.08,20.31
01-23_10,17.16,0.15,19.47,20.17,21.28,17.56,19.77
01-23_11,16,0.44,18.83,19.4,21.29,16.97,19.53
01-23_12,15.76,0.44,17.77,18.39,21.03,15.61,19.42
01-23_13,15.56,0.37,17.3,17.88,20.35,15.84,18.77
01-23_14,15.49,0.15,17.08,17.68,19.62,14.69,18.51
01-23_15,15.32,-0.17,16.9,17.52,19.42,14.35,18.24
01-23_16,14.89,-0.53,16.78,17.46,19.28,15.05,18.08
01-23_17,14.56,-0.7,16.74,17.36,19.07,14.84,17.83
01-23_18,14.31,-0.84,16.7,17.31,18.92,15.23,17.64
01-23_19,14.27,-1.01,16.57,17.34,18.83,15.26,17.55
01-23_20,14.4,-1.18,16.35,17.38,18.73,14.32,17.94
01-23_21,14.55,-1.28,16.15,17.32,18.73,13.75,18.01
01-23_22,15.31,-1.17,16.17,17.32,18.8,13.54,17.6
01-23_23,15.34,-0.3,16.47,17.59,18.97,14.22,17.75
01-24_00,15.6,2.05,17.2,18.29,19.65,17.28,18.96
01-24_01,16.86,3.49,18.52,19.26,20.3,18.93,20.14
01-24_02,18.31,4.43,19.88,20.29,20.85,19.98,21.14
01-24_03,19.38,5.1,20.99,21.23,21.35,20.66,21.81
01-24_04,20.28,5.42,22.34,22.36,21.78,21.12,22.63
01-24_05,21.2,5.44,23.17,22.82,22.07,21.28,22.86
01-24_06,21.88,5.07,23.45,23.08,22.23,21.25,22.89
01-24_07,22.18,4.34,23.57,23.31,22.28,20.87,22.52
01-24_08,22.07,3.22,23.26,23.31,22.17,20.19,21.78
01-24_09,21.52,1.41,22.5,22.73,22.04,19.12,21.11
01-24_10,18.73,-1.85,21.05,21.56,21.85,17.43,20.48
01-24_11,17.44,0.03,20.01,20.71,21.93,16.74,20.32
01-24_12,16.92,0.41,19.1,19.77,22.02,16.16,20.31
01-24_13,16.77,0.34,18.62,19.29,22.03,15.82,20.15
01-24_14,16.46,0.22,18.35,18.94,21.49,15.43,19.82
01-24_15,16.33,0.06,18.25,18.87,21.07,15.14,19.54
01-24_16,16.45,-0.05,18.22,18.94,20.87,15.07,19.39
01-24_17,16.53,-0.46,18.14,18.97,20.68,14.86,19.34
01-24_18,16.6,-0.78,18.06,19.03,20.57,15.3,19.2
01-24_19,17.22,-0.96,17.96,19.15,20.46,15.31,19.08
01-24_20,17.41,-1.02,18.1,19.38,20.44,14.97,19.08
01-24_21,17.39,-1.06,17.91,19.38,20.41,14.84,19.09
01-24_22,16.98,-0.89,17.72,19.19,20.35,15.25,19.1
01-24_23,16.81,-0.14,17.87,19.15,20.34,16.61,19.18
01-25_00,16.84,1.78,18.52,19.59,20.87,19.03,20.1
01-25_01,18.38,3.11,19.8,20.53,21.61,21.26,22.25
01-25_02,19.55,4.04,21.47,21.64,23.03,22.04,23.31
01-25_03,20.82,4.57,22.83,22.94,24.14,22.53,23.66
01-25_04,21.87,4.74,23.67,23.86,24.96,22.91,24.25
01-25_05,22.65,4.76,24.36,24.47,25.22,22.95,24.62
01-25_06,23.29,4.52,24.9,24.94,25.14,22.82,24.59
01-25_07,23.24,3.64,24.82,24.79,24.97,22.32,24.23
01-25_08,22.21,2.41,24.12,24.19,24.51,21.43,23.64
01-25_09,20.66,0.43,22.62,22.81,24.15,20.64,22.87
01-25_10,18.75,-3.6,21.11,21.45,23.66,20.15,22.54
01-25_11,17.86,-0.66,19.98,20.45,23.18,19.73,22.23
01-25_12,17.39,-0.39,19.22,19.64,22.12,17.65,22.29
01-25_13,17.21,-0.92,18.75,19.17,21.28,17.37,21.97
01-25_14,16.69,-1.91,18.45,18.85,20.44,17.15,21.99
01-25_15,16.15,-3.87,18.1,18.64,19.93,16.96,20.95
01-25_16,15.82,-4.01,17.68,18.17,19.86,17.44,20.89
01-25_17,15.46,-4.1,17.39,17.81,19.28,16.42,20.44
01-25_18,14.92,-4.16,17.05,17.45,18.86,16.28,20.04
01-25_19,14.52,-4.21,16.53,16.96,18.63,16.42,19.81
01-25_20,14.33,-4.16,16.16,16.64,18.08,17,19.84
01-25_21,14.08,-4.3,15.9,16.4,17.68,17.05,19.32
01-25_22,13.78,-4.56,15.6,16.1,17.38,17,19.27
01-25_23,13.49,-1.55,15.38,15.84,17.35,16.78,19.02
01-26_00,14.27,2.03,16.13,16.42,17.99,17.31,18.93
01-26_01,15.98,3.25,17.65,18.04,19.24,17.6,19.36
01-26_02,18,4.28,19.26,19.4,20.44,18.79,18.88
01-26_03,19.24,4.68,20.93,20.98,21.77,18.09,19.22
01-26_04,20.57,4.76,22.06,22.16,22.75,17.86,19.27
01-26_05,20.83,4.69,22.92,22.96,22.7,17.49,19.42
01-26_06,20.42,4.45,23.3,23.47,23.15,17.47,19.29
01-26_07,19.61,3.75,22.97,23.25,23.18,17.61,18.98
01-26_08,18.72,2.55,21.27,21.7,22.36,16.66,18.9
01-26_09,17.6,0.46,20.14,20.52,21.84,16.21,18.24
01-26_10,15.43,-0.8,18.41,18.7,22.21,15.38,17.59
01-26_11,14.05,-0.28,16.75,17.11,20.91,14.93,17.31
01-26_12,13.28,-0.43,16.06,16.45,18.95,15.32,17.4
01-26_13,12.74,-0.49,15.31,15.69,18.71,15.25,17.12
01-26_14,12.45,-0.61,14.73,15.14,18.66,15.2,17.08
01-26_15,12.08,-0.86,14.2,14.65,17.92,14.94,17
01-26_16,11.82,-1.05,13.94,14.36,17.65,14.89,16.85
01-26_17,11.58,-1.08,13.73,14.28,17.45,14.81,16.94
01-26_18,11.24,-1.12,13.4,14.05,17.2,14.78,17.16
01-26_19,11.01,-1.2,13.08,13.93,17.08,14.74,17.03
01-26_20,10.96,-1.41,12.7,13.81,17.26,14.34,16.78
01-26_21,10.96,-1.58,12.72,13.81,17.61,14.33,16.72
01-26_22,11.14,-1.58,12.86,14,17.55,14.31,16.82
01-26_23,11.53,-0.87,12.97,14.14,17.13,14.14,16.88
01-27_00,12.55,1.12,14.15,15.01,17.6,16.35,17.85
01-27_01,14.2,2.31,16.01,16.73,18.58,17.69,18.95
01-27_02,15.9,3.25,17.73,18,19.46,18.72,19.84
01-27_03,17.22,3.96,19.22,19.6,20.14,19.47,20.55
01-27_04,18.57,4.13,20.35,20.55,20.69,19.85,20.99
01-27_05,19.73,4.22,21.57,21.81,21.03,19.62,21.32
01-27_06,20.46,4.03,22.23,22.3,21.23,19.19,21.34
01-27_07,20.99,3.29,22.13,22.11,21.45,18.89,20.93
01-27_08,20.57,2.12,21.3,21.43,21.5,18.14,20.53
01-27_09,18.73,0.53,20.68,20.89,21.37,17.63,19.96
01-27_10,17.21,-0.81,19.34,19.79,21.13,17.4,19.34
01-27_11,16.19,-0.3,18.57,19.14,21.07,17.29,19.18
01-27_12,15.86,-0.52,18.05,18.58,21.07,15.56,19.19
01-27_13,15.85,-0.6,17.73,18.26,20.25,14.91,19.27
01-27_14,15.79,-0.75,17.58,18.17,19.77,14.61,18.92
01-27_15,15.64,-1.05,17.52,18.13,19.24,14.42,18.54
01-27_16,15.51,-1.34,17.45,18.15,19.19,14.24,18.38
01-27_17,15.46,-1.64,17.36,18.16,19.18,14.09,18.31
