current_date,Chiayi,YUSHAN,YONGKANG,Tainan,KAOHSIUNG,DAWU,HENGCHUN
01-22_00,11.62,0.39,14.18,14.16,14.07,17.74,17.82
01-22_01,13.7,1.85,15.96,15.91,15.69,19.23,19.59
01-22_02,15.78,2.85,17.53,17.44,17.21,20.16,21.06
01-22_03,17.04,3.57,19.39,19.39,19.14,20.83,21.49
01-22_04,18.22,3.95,20.14,20.1,20.64,20.21,21.78
01-22_05,18.8,3.98,21.1,21.1,21.76,19.72,21.65
01-22_06,18.91,3.68,21.34,21.35,22.43,19.4,21.58
01-22_07,18.8,3.04,21.18,21.21,22.47,19.06,21.47
01-22_08,17.42,2.05,20.66,20.66,22.26,18.65,20.73
01-22_09,16.17,0.43,18.57,18.64,21.44,17.86,19.72
01-22_10,14.48,-0.71,17.07,17.16,19.98,16.95,18.59
01-22_11,13.41,-0.74,15.84,15.9,17.67,16.55,18.02
01-22_12,12.54,-0.75,15.09,15.17,16.54,16.23,17.55
01-22_13,11.81,-0.52,14.45,14.61,15.51,15.82,17.08
01-22_14,11.15,-0.36,13.87,14.04,14.95,15.32,16.72
01-22_15,10.6,-0.18,13.34,13.51,14.38,15.19,16.41
01-22_16,10.13,-0.25,12.79,13.02,13.91,14.94,16.29
01-22_17,9.72,-0.25,12.2,12.46,13.56,14.74,16.13
01-22_18,9.34,-0.23,11.73,11.98,12.92,14.72,15.96
01-22_19,8.93,-0.24,11.38,11.6,12.46,14.72,15.83
01-22_20,8.49,-0.23,11.11,11.24,11.85,13.65,15.89
01-22_21,7.64,-0.19,10.6,10.8,10.93,13.68,16.02
01-22_22,7.18,-0.29,9.42,9.57,10.36,13.57,16.06
01-22_23,7.58,0.38,9.88,10.16,10.8,14.15,16.22
01-23_00,9.2,2.83,11.59,11.61,12.13,16.77,17.57
01-23_01,12.09,4.51,13.67,13.61,14.84,18.15,18.81
01-23_02,14.66,5.36,15.97,15.85,17.37,19.33,19.97
01-23_03,16.39,5.74,18.23,18.29,18.99,19.71,20.86
01-23_04,18.17,5.76,20.08,20.01,19.75,20.11,21.48
01-23_05,19.46,5.57,21.2,21.21,20.29,20.18,21.79
01-23_06,20.12,5.1,21.84,21.72,20.64,20.14,21.85
01-23_07,20.6,4.27,21.65,21.5,20.88,19.77,21.52
01-23_08,20.34,3.03,21.02,20.99,21.04,19.08,20.66
01-23_09,18.14,0.75,20.19,20.21,20.52,17.98,19.75
01-23_10,16.26,0.06,18.52,18.75,19.94,17.26,18.79
01-23_11,14.86,0.41,17.64,17.86,19.68,16.76,18.46
01-23_12,14.32,0.39,16.53,16.82,18.59,15.68,18.28
01-23_13,13.89,0.3,15.84,16.05,17.59,15.94,17.55
01-23_14,13.35,0.06,15.37,15.62,16.58,14.8,17.09
01-23_15,12.66,-0.18,14.88,15.27,15.86,14.46,16.85
01-23_16,11.84,-0.51,14.56,14.87,15.26,14.37,16.69
01-23_17,11.01,-0.73,14.03,14.46,14.6,15.29,16.63
01-23_18,10.27,-0.86,12.6,13.85,13.8,15.3,16.51
01-23_19,9.6,-0.98,11.91,12.35,13.06,14.3,16.36
01-23_20,8.95,-1.17,11.37,11.68,12.61,14.04,16.18
01-23_21,8.32,-1.28,10.8,11.1,12.2,13.68,16.29
01-23_22,7.71,-1.18,10.29,10.73,11.82,13.61,16.35
01-23_23,7.63,-0.3,10.46,10.85,12.25,14.22,16.61
01-24_00,9.48,2.04,12.57,13.36,15.3,17.41,17.97
01-24_01,13.86,3.53,15.4,15.92,17.65,18.93,19.4
01-24_02,16.59,4.51,18.01,18.39,19.31,19.93,20.64
01-24_03,18.24,5.18,19.83,20.02,20.37,20.67,21.38
01-24_04,19.49,5.46,21.19,21.17,20.85,21.1,22.18
01-24_05,20.49,5.41,22.11,21.86,21.14,21.32,22.49
01-24_06,21.2,5.1,22.69,22.11,21.46,21.23,22.47
01-24_07,21.5,4.4,22.97,22.31,21.49,20.81,22.04
01-24_08,21.41,3.3,22.45,22.18,21.21,20.17,21.23
01-24_09,20.93,1.49,21.63,21.52,20.68,19.21,20.28
01-24_10,18.61,-1.28,19.86,19.78,20.21,17.37,19.54
01-24_11,16.5,0.14,18.51,18.84,20.08,16.65,19.37
01-24_12,15.54,0.46,17.56,17.88,19.32,16.13,19.19
01-24_13,14.75,0.34,16.94,17.13,18.39,15.8,18.89
01-24_14,14.21,0.22,16.35,16.64,17.45,15.47,18.62
01-24_15,13.68,0.05,15.79,16.1,16.49,15.3,18.15
01-24_16,12.91,-0.14,14.95,15.05,15.76,15.87,18.15
