GMT00    GMT08,Chiayi,YUSHAN,YONGKANG,Tainan,KAOHSIUNG,DAWU,HENGCHUN
03-16-00 03-16-08,19.6,0.6,20.6,21.2,22.8,22.1,21.8
03-16-01 03-16-09,22.2,1,22.3,22.6,23.7,22.8,22.6
03-16-02 03-16-10,24.2,1.2,23.6,23.8,25.1,23.5,24
03-16-03 03-16-11,24.3,1.8,25.5,25.1,25.4,24.1,24
03-16-04 03-16-12,23.8,1.7,25.2,25.2,26,24.9,24.6
03-16-05 03-16-13,23.8,1.8,25.8,25.2,26.7,24.8,24.6
03-16-06 03-16-14,24.1,1.9,25.2,25.2,26.1,24.7,25.1
03-16-07 03-16-15,24.2,1.9,25,24.8,25.4,24.4,24.8
03-16-08 03-16-16,23.7,1.2,24,24,25.1,23.4,24.6
03-16-09 03-16-17,23.1,1.5,23.7,23.9,24.5,23.2,23.7
03-16-10 03-16-18,21.9,0.9,23,23.7,24.1,22.8,22.9
03-16-11 03-16-19,21.9,0.5,22,22.7,23.9,22.5,22.9
03-16-12 03-16-20,21.3,0.1,21.8,22.6,24.1,22.3,22.7
03-16-13 03-16-21,21.1,0.1,21.8,22.5,23.8,22.1,22.8
03-16-14 03-16-22,20.3,0.2,21.7,22.4,23.3,22,22.3
03-16-15 03-16-23,21,0.2,21.2,22,23.7,22,21.8
03-16-16 03-16-24,20.4,0,21.2,22,22.9,21.8,21.9
03-16-17 03-17-01,20.1,0,21.1,21.9,23,20.2,21.6
03-16-18 03-17-02,19.7,0.2,21.1,21.7,23.1,19.4,21.9
03-16-19 03-17-03,19.6,0.2,20.9,21.7,22.7,19.2,22
03-16-20 03-17-04,19.5,0.3,20.6,21.2,22.3,19.3,22.1
03-16-21 03-17-05,19.4,0.2,20.5,21,21.5,19.3,21.4
03-16-22 03-17-06,19.6,0.2,19.8,20.7,21.5,18.7,21.1
03-16-23 03-17-07,19.7,0.3,19.9,20.8,22,19.4,21.5
03-17-00 03-17-08,20.9,0.8,20.9,21.7,22.9,21.6,23.7
03-17-01 03-17-09,23,1.1,22.9,23.2,25.5,24.8,25.8
03-17-02 03-17-10,24.9,2.8,24.2,24.7,25.3,25.4,26.4
03-17-03 03-17-11,26.1,3,25.2,25.3,26.3,26.3,27.2
03-17-04 03-17-12,27.3,4.5,26.5,25.8,26.9,26.4,27.4
03-17-05 03-17-13,27.3,3.7,26.9,25.6,26.5,26.6,28
03-17-06 03-17-14,26.7,3.1,26.6,25.9,27,26.4,27.6
