current_date,Chiayi,YUSHAN,YONGKANG,Tainan,KAOHSIUNG,DAWU,HENGCHUN
03-16_00,17.64,3.85,17.76,17.24,17.5,17.72,20.04
03-16_01,19.68,3.92,18.64,18.31,18.2,18.93,21.22
03-16_02,21.41,4.25,20.08,19.78,19.5,20.92,22.18
03-16_03,22.78,4.36,21.59,21.51,22.14,21.62,22.94
03-16_04,23.3,4.31,23.11,23.55,23.07,22.1,23.54
03-16_05,23.71,4.36,24.75,24.69,24.45,22.26,23.8
03-16_06,24.43,4.43,24.86,23.96,24.2,22.24,23.8
03-16_07,24.64,4.35,24.71,24.29,24.36,21.98,23.49
03-16_08,24,4.18,24.63,23.99,23.83,21.54,23.09
03-16_09,22.81,3.93,24.08,23.58,23.25,20.74,22.33
03-16_10,21.25,3.75,22.86,22.6,22.53,19.23,21.35
03-16_11,20.62,3.62,22.32,22.06,22.22,18.38,20.98
03-16_12,20.45,3.6,22.18,22.1,21.88,17.9,20.76
03-16_13,20.28,3.52,21.95,22,20.99,17.61,20.18
03-16_14,20.05,3.51,21.93,21.93,20.43,17.25,19.9
03-16_15,19.96,3.5,22.2,21.83,19.89,17.05,19.72
03-16_16,19.78,3.41,21.9,20.82,18.93,17.36,19.66
03-16_17,19.6,3.44,20.21,19.9,18.31,17.41,19.63
03-16_18,19.31,3.32,19.26,19.06,17.9,16.95,19.61
03-16_19,19.05,3.27,18.49,18.52,17.41,16.75,19.67
03-16_20,18.67,3.26,17.8,17.84,17,16.6,19.7
03-16_21,18.28,3.26,17.31,17.36,16.46,16.81,19.68
03-16_22,18.16,3.22,16.86,16.93,16.21,16.74,19.7
03-16_23,18.24,3.46,18.23,18.47,18.14,19.83,20.97
03-17_00,18.55,3.97,20.95,21.23,20.9,22.36,22.79
03-17_01,18.91,4.2,22.69,22.88,23.3,23.72,24.25
03-17_02,19.34,4.57,24.05,24.14,24.73,24.46,25.34
03-17_03,20.25,4.92,25.32,25.25,25.79,24.82,25.94
03-17_04,22.04,4.99,26.34,26.49,26.25,25.09,26.47
03-17_05,23.77,4.92,27.02,27.15,26.53,25,26.86
03-17_06,24.97,5.09,27.61,27.62,26.48,24.88,26.55
03-17_07,25.45,5.17,27.73,27.65,26.24,23.86,25.97
03-17_08,25.95,5.1,26.87,26.56,25.59,23.16,25.4
03-17_09,25.05,5.09,25.53,25.37,24.71,22.62,24.72
03-17_10,23.54,3.54,24.05,23.91,23.79,22.14,23.49
03-17_11,21.79,3.4,22.76,22.76,23.41,21.93,22.87
03-17_12,20.66,3.46,22.05,22.18,23.36,21.66,22.8
03-17_13,19.87,3.35,21.62,21.87,23.17,20.95,22.56
03-17_14,19.27,3.19,21.09,21.34,22.74,21.1,22.51
03-17_15,18.82,3.16,20.64,20.77,22.35,21.03,22.34
03-17_16,18.51,3.08,20.23,20.41,22.09,20.89,22.15
03-17_17,18.46,3.04,19.93,20.27,21.65,20.82,21.89
03-17_18,18.28,3.04,19.51,20,21.03,19.33,21.49
03-17_19,18.38,3.11,19.23,19.58,20.48,18.93,21.19
03-17_20,18.35,3.06,19.03,19.48,20.05,18.55,20.98
03-17_21,18.04,3,18.72,19.08,19.62,18.29,20.86
03-17_22,17.66,3.07,18.46,18.7,19.08,18.03,20.61
03-17_23,17.67,4.37,18.73,19.51,20.18,21.5,21.97
03-18_00,19.61,5.7,20.75,21.15,22.14,23.11,23.86
03-18_01,21.51,6.8,22.97,23.33,24.15,24.22,24.73
03-18_02,23.16,7.6,24.65,24.68,25.34,25.16,25.14
03-18_03,23.43,6.91,26.24,26.27,26.1,25.5,25.03
03-18_04,24.98,6.94,27.34,27.4,26.56,26.13,25.93
03-18_05,26.39,7.01,28.35,28.23,26.74,26.58,26.37
03-18_06,27.2,6.68,28.49,28.41,26.78,27.05,26.64
03-18_07,27.77,6.41,28.22,28.09,26.47,27.29,26.59
03-18_08,27.26,6.11,27.29,27.27,26.13,26.64,26.01
03-18_09,25.64,5.84,26.03,26.06,25.48,25.09,24.91
03-18_10,23.58,5.05,24.6,24.59,24.39,23.26,24
03-18_11,22.14,5.01,23.34,23.29,23.99,22.49,23.49
03-18_12,21.33,4.44,22.65,22.76,23.72,21.95,23.27
03-18_13,20.93,4.5,22.29,22.43,23.46,21.52,23.08
03-18_14,20.74,4.46,21.9,22.15,23.34,20.96,22.9
03-18_15,20.4,4.4,21.74,21.93,23.04,20.4,22.79
03-18_16,20.03,4.32,21.51,21.8,22.75,20.14,22.44
03-18_17,19.43,4.28,21.29,21.58,22.5,20.09,22.12
03-18_18,18.66,4.27,20.87,21.27,22.24,20.01,21.61
03-18_19,18.35,4.24,20.35,20.91,21.91,19.82,21.76
03-18_20,18.19,4.22,20.02,20.45,21.43,19.5,21.72
03-18_21,17.86,4.26,19.85,20.2,20.97,19.22,20.98
03-18_22,17.3,4.21,19.65,20,20.51,19.06,20.67
03-18_23,17.75,5.55,20.17,20.6,21.27,22.53,22.98
03-19_00,20.05,7.01,22.01,22.32,23.15,24.48,24.91
03-19_01,22.42,8.58,23.81,23.87,24.59,25.59,26.29
03-19_02,24.67,9.36,26.31,26.37,26.84,26.16,27.6
03-19_03,26.31,9.9,27.76,27.73,27.86,26.56,28.4
03-19_04,27.47,10.1,29.08,29.12,28.07,25.85,28.96
03-19_05,28.55,10.15,30.04,29.99,27.87,25.65,28.99
03-19_06,29.31,10.02,30.64,30.36,27.78,25.49,28.63
03-19_07,29.75,9.45,30.88,29.83,27.79,25.22,28.21
03-19_08,29.52,8.54,29.12,28.8,27.07,24.78,26.9
03-19_09,27.83,7.27,27.27,27.48,26.28,24.06,26.04
03-19_10,25.17,5.07,25.72,26.06,25.58,23.23,24.78
03-19_11,22.84,5.44,24.36,24.57,25.25,23.14,24.21
03-19_12,22.02,5.39,23.49,23.94,24.99,22.9,23.94
03-19_13,21.46,5.37,22.85,23.37,24.72,21.66,23.85
03-19_14,20.93,5.36,22.5,22.72,24.46,21.38,23.66
03-19_15,20.51,5.45,22.16,22.39,24.02,20.95,23.51
03-19_16,20.07,5.39,21.63,22.15,23.38,20.65,23.16
03-19_17,19.66,5.52,21.21,21.68,22.77,20.74,22.92
03-19_18,19.22,5.43,20.88,21.26,22.14,20.6,22.79
03-19_19,18.71,5.23,20.54,20.89,21.6,20.08,22.81
03-19_20,18.66,4.85,20.32,20.54,21.1,20.05,22.78
03-19_21,18.12,4.46,19.88,20.14,20.65,19.4,22.75
03-19_22,17.6,4.08,19.47,19.75,20.21,19.23,22.62
03-19_23,18.02,8.08,20.24,20.82,21.63,22.93,23.65
03-20_00,20.37,10.1,22.36,22.87,23.69,24.36,24.9
03-20_01,22.17,11.45,24.43,24.62,24.96,24.72,26.01
03-20_02,24.15,12.26,26.32,26.55,26.42,25.37,26.84
03-20_03,25.75,12.66,28.04,27.69,28.18,26.36,27.26
03-20_04,27.28,12.75,29.15,28.25,28.54,26.76,27.72
03-20_05,28.6,12.57,29.86,29.16,28.49,26.8,28.01
03-20_06,29.17,12.19,30.43,29.58,28.62,26.59,28.15
03-20_07,29.32,11.63,30.48,29.66,28.5,26.45,27.81
03-20_08,29.67,10.86,29.95,29.02,27.92,25.97,27.33
03-20_09,28.84,9.55,28.99,27.99,27.14,25.12,26.5
03-20_10,27.36,7.35,27.41,26.52,26.15,23.51,25.32
03-20_11,26.07,7.49,26.47,25.73,25.72,22.54,24.79
03-20_12,24.82,7.38,25.98,25.35,25.52,21.81,24.42
03-20_13,23.61,7.34,25.57,25.28,25.26,21.78,24.34
03-20_14,22.64,7.3,25.16,25.1,24.91,21.53,24.19
03-20_15,22.58,7.22,24.81,24.64,24.68,21.27,24
03-20_16,22.36,6.83,24.38,24.22,24.58,21.05,23.83
03-20_17,22.08,6,24.01,23.91,24.88,20.88,23.72
03-20_18,21.62,4.4,23.7,23.65,24.48,20.66,23.61
03-20_19,21.13,2.57,23.3,23.32,23.93,20.53,22.76
03-20_20,20.68,2.16,22.67,22.54,23.36,20.59,22.43
03-20_21,20.31,1.86,21.96,21.98,22.68,21.19,22.13
03-20_22,19.61,1.75,21.54,21.39,22.07,21.28,21.88
03-20_23,21.32,7.87,22.46,22.17,23.11,23.62,23.91
03-21_00,23.26,10.3,24.66,24.62,25.09,26.02,25.74
03-21_01,24.64,11.44,26.5,26.43,26.34,28.58,26.82
03-21_02,26.09,12.18,28.76,28.43,27.24,30.8,27.62
03-21_03,28.3,12.51,29.98,29.29,27.66,32.45,28.15
03-21_04,29.29,12.59,30.88,29.75,27.63,33.65,28.59
03-21_05,31.02,12.47,31.14,29.72,27.53,34.28,28.35
03-21_06,31.57,12.1,30.75,29.2,27.41,34.3,27.96
03-21_07,31.18,11.46,30.11,28.56,27.13,33.69,27.72
03-21_08,29.96,10.46,28.97,27.96,26.87,32.34,27.16
03-21_09,28.24,9.13,28.07,26.94,26.22,30.07,26.22
03-21_10,26.06,4.86,26.08,25.47,25.36,26.72,24.82
03-21_11,24.28,5.24,25.31,24.94,24.99,25.56,24.28
03-21_12,23.44,6.15,24.93,24.66,24.76,24.51,23.91
03-21_13,22.73,6.23,24.74,24.45,24.56,23.04,23.57
03-21_14,22.26,6.25,24.66,24.32,24.37,22.19,23.24
03-21_15,21.79,6.28,24.44,24.03,24.11,21.54,22.94
03-21_16,21.35,5.93,24.06,23.72,23.84,21.09,22.79
03-21_17,20.95,5.49,23.55,23.74,23.68,20.59,22.79
03-21_18,20.69,2.39,22.44,22.34,23.23,20.01,22.72
03-21_19,20.12,3.87,21.13,21.09,22.68,20.92,22.59
03-21_20,20.09,4.18,20.75,20.66,22.26,19.93,22.46
03-21_21,18.68,4.05,20.29,20.35,21.74,19.62,21.91
03-21_22,17.96,4.25,19.72,19.94,20.94,19.27,20.75
03-21_23,17.68,6.54,19.41,19.98,20.5,23.37,22.89
