UTC,台北,板橋,新竹,宜蘭,花蓮,梧棲,台中,嘉義,永康,台南,台東,高雄,恆春
07-01_00,30.16709677419355,30.270322580645153,29.856774193548386,29.912258064516127,30.216129032258067,30.365806451612908,29.822580645161292,28.619999999999997,30.16322580645161,30.21870967741935,30.327741935483875,30.8116129032258,29.880967741935482
07-01_01,31.506451612903227,31.552580645161285,31.071935483870963,31.151290322580635,31.030322580645166,31.537741935483872,31.05032258064516,29.6541935483871,31.282258064516125,31.14967741935483,31.02064516129031,31.35193548387097,30.577741935483875
07-01_02,32.66064516129032,32.715483870967745,31.930322580645164,32.07096774193548,31.408709677419353,32.06483870967741,32.3883870967742,30.634516129032264,32.163870967741936,31.98935483870968,31.49064516129032,31.898064516129025,31.18258064516129
07-01_03,33.63354838709678,33.612903225806456,32.42741935483871,32.55129032258065,31.60322580645162,32.36129032258064,33.295806451612904,31.44096774193549,33.050645161290326,32.54,31.71741935483871,32.127741935483876,31.571935483870963
07-01_04,34.25322580645161,34.32548387096774,32.692903225806454,32.76677419354839,31.830322580645166,32.49709677419355,34.30064516129032,32.10322580645161,33.45290322580645,32.81677419354838,32.04548387096774,32.319354838709685,31.860645161290314
07-01_05,34.22774193548386,34.49645161290322,32.75032258064516,32.79516129032258,31.736774193548385,32.57516129032258,34.585806451612896,32.82741935483871,33.64064516129032,32.93677419354839,32.170322580645156,32.39967741935484,32.01903225806452
07-01_06,34.20290322580645,34.33709677419355,32.638064516129035,32.46645161290322,31.726451612903226,32.586129032258064,34.62419354838709,32.75709677419355,33.67354838709678,32.98096774193549,32.19096774193548,32.45032258064516,31.90161290322581
07-01_07,33.57096774193548,33.61258064516129,32.194193548387084,31.84774193548387,31.62709677419355,32.361290322580636,34.43064516129032,32.457741935483874,33.29064516129032,32.66935483870968,32.06838709677419,32.27709677419355,31.686774193548395
07-01_08,32.82161290322581,32.807096774193546,31.578709677419354,31.20806451612904,31.323548387096782,31.81064516129031,33.69516129032258,31.80387096774194,32.80258064516129,32.232580645161285,31.741290322580642,32.01451612903226,31.296129032258065
07-01_09,31.728387096774185,31.95322580645162,30.947741935483876,30.67967741935484,30.985483870967744,31.32870967741936,32.82387096774195,30.78225806451613,31.95645161290323,31.581612903225803,31.374838709677427,31.74483870967742,30.86290322580646
07-01_10,30.880000000000003,31.001290322580644,30.209999999999997,29.930967741935486,30.55516129032258,30.918709677419358,32.027096774193545,30.12032258064516,31.185161290322576,30.847741935483878,30.78548387096774,31.383225806451613,30.239354838709676
07-01_11,30.101612903225803,30.21967741935484,29.58419354838709,29.090645161290322,30.14161290322581,30.41483870967742,31.143548387096775,29.244516129032256,30.483225806451614,30.261612903225807,30.331612903225814,31.047096774193545,29.754193548387097
07-01_12,29.68548387096774,29.687096774193556,29.303548387096775,28.56,29.87354838709677,30.14548387096774,30.64774193548387,28.822580645161295,30.124838709677423,30.016774193548386,30.01225806451613,30.96741935483871,29.547419354838702
07-01_13,29.439354838709686,29.375483870967745,29.121612903225806,28.30548387096774,29.620645161290327,29.890645161290323,30.224516129032256,28.53096774193549,29.919032258064515,29.787096774193554,29.762903225806454,30.831290322580642,29.320967741935483
07-01_14,29.200645161290325,29.10322580645161,28.77290322580645,28.085483870967742,29.36870967741936,29.668709677419354,29.8141935483871,28.156129032258068,29.756129032258062,29.66806451612903,29.51935483870968,30.559354838709684,29.066129032258072
07-01_15,29.032580645161296,28.828064516129032,28.407096774193548,27.856774193548382,29.108709677419355,29.443225806451615,29.44032258064517,27.751935483870977,29.515806451612896,29.443225806451604,29.189354838709672,30.265161290322578,28.75806451612904
07-01_16,28.815806451612907,28.597096774193542,28.053225806451618,27.621935483870963,28.878387096774187,29.08129032258064,29.06096774193549,27.35258064516129,29.11032258064517,29.106129032258075,28.875483870967738,29.978064516129034,28.450645161290325
07-01_17,28.521935483870966,28.37451612903226,27.78612903225806,27.451290322580647,28.717419354838714,28.99387096774194,28.762258064516125,27.181935483870962,28.837096774193547,28.91645161290323,28.679032258064517,29.859354838709674,28.355483870967742
07-01_18,28.274838709677418,28.08806451612903,27.49225806451613,27.28870967741935,28.459999999999994,28.780645161290327,28.40064516129032,26.890000000000004,28.496451612903225,28.63548387096775,28.416129032258063,29.623548387096776,28.108064516129033
07-01_19,28.04709677419356,27.87903225806452,27.287096774193547,27.13612903225806,28.225483870967743,28.63322580645161,28.187096774193556,26.732903225806453,28.100322580645162,28.33645161290323,28.329032258064522,29.506451612903216,28.01225806451613
07-01_20,27.674193548387095,27.558709677419355,27.020322580645164,26.95806451612903,28.198709677419355,28.389677419354836,27.883225806451613,26.523548387096774,27.81935483870968,28.120322580645166,28.16354838709677,29.29193548387096,27.840322580645154
07-01_21,27.4974193548387,27.319032258064514,26.796129032258058,26.780322580645155,28.166451612903227,28.220967741935485,27.686774193548384,26.39451612903226,27.58096774193549,27.92677419354839,28.06709677419356,29.229354838709675,27.82548387096774
07-01_22,27.829032258064515,27.77096774193548,27.184193548387093,27.27612903225807,28.437741935483867,28.3741935483871,27.87870967741936,26.644193548387097,27.65516129032258,28.01612903225806,28.239677419354834,29.41709677419355,28.071612903225805
07-01_23,28.896774193548385,28.963225806451614,28.58806451612903,28.631290322580647,29.350322580645162,29.245806451612903,28.735806451612905,27.528387096774196,28.900000000000002,29.15709677419355,29.357741935483872,30.133870967741938,29.01193548387096
