GMT00    GMT08,台中,嘉義,永康,台南,高雄
12-01-00 12-01-08,22.4,21.6,21.3,21.5,23.3
12-01-01 12-01-09,23.5,22.3,23.4,22.9,25.3
12-01-02 12-01-10,24.2,24,23.2,23.4,26.4
12-01-03 12-01-11,24.1,24.4,24.2,24.3,27.6
12-01-04 12-01-12,24.6,25,24.9,24.7,27.9
12-01-05 12-01-13,24.2,26.2,25.7,25.1,28.6
12-01-06 12-01-14,23.9,25.4,25.5,25.7,28.3
12-01-07 12-01-15,22.9,24.9,24.6,24.7,27.8
12-01-08 12-01-16,21.3,22.8,23.5,23.7,27.5
12-01-09 12-01-17,20.3,20.9,21.3,21.7,25.8
12-01-10 12-01-18,19.8,20.4,20.3,20.7,24.7
12-01-11 12-01-19,19.6,19.8,19.7,20.3,23.1
12-01-12 12-01-20,19.5,19.3,19.2,19.7,22.6
12-01-13 12-01-21,19.3,18.9,18.8,19.3,21.9
12-01-14 12-01-22,19.3,18.7,18.6,19.1,21.5
12-01-15 12-01-23,19.3,19,18.4,18.9,21.1
12-01-16 12-01-24,19.1,19.1,18.2,18.7,20.9
12-01-17 12-02-01,19.1,18.7,18,18.5,20.6
12-01-18 12-02-02,18.9,18.5,18,18.5,21
12-01-19 12-02-03,18.9,18.4,18,18.4,20.7
12-01-20 12-02-04,19.1,18.8,18.2,18.5,20.8
12-01-21 12-02-05,19.1,18.9,18.4,18.6,20.7
12-01-22 12-02-06,18.9,18.7,18.4,19,21
12-01-23 12-02-07,19.3,18.7,18.7,19,21.6
12-02-00 12-02-08,20.2,19.5,19.3,19.7,21.8
12-02-01 12-02-09,21.6,21.7,20.2,20.4,23.3
12-02-02 12-02-10,23,23,21.5,21.6,24.5
12-02-03 12-02-11,24.6,24.5,23.2,22.6,25.5
12-02-04 12-02-12,25.5,25.8,24.2,24.3,25.9
12-02-05 12-02-13,26.3,25.7,24.9,24.7,26.6
12-02-06 12-02-14,26.7,26.5,24.8,24.9,26.9
12-02-07 12-02-15,25.1,26.3,24.9,25.2,27.5
12-02-08 12-02-16,24.2,24.5,24.5,24.8,26.7
12-02-09 12-02-17,22.6,23.1,22.8,23.2,26
12-02-10 12-02-18,22.1,21.7,22.1,22.5,25.6
12-02-11 12-02-19,21.3,21.1,21.4,21.6,25.1
12-02-12 12-02-20,21,20.3,20.8,21.3,24.1
12-02-13 12-02-21,20.2,19.4,20.2,20.6,23.5
12-02-14 12-02-22,20,19.1,19.8,20.3,22.9
12-02-15 12-02-23,19.8,19.1,19.4,19.8,22.5
12-02-16 12-02-24,19.5,18.7,19,19.5,21.8
12-02-17 12-03-01,19.3,18.6,18.7,19.2,21.5
12-02-18 12-03-02,19.4,18.4,18.5,18.9,21.2
12-02-19 12-03-03,19.1,18.1,18.2,18.9,20.9
12-02-20 12-03-04,19,18.1,18.1,18.5,20.8
12-02-21 12-03-05,19,18.3,18,18.6,20.7
12-02-22 12-03-06,18.9,17.9,18,18.5,21
12-02-23 12-03-07,19.1,18.3,18.2,18.7,21
12-03-00 12-03-08,20.6,20.6,19.3,19.6,22
12-03-01 12-03-09,21.7,21.9,21,21.4,23.6
12-03-02 12-03-10,23.4,23.2,22.9,23.1,25.9
12-03-03 12-03-11,24.7,25.1,24.6,24.5,26.7
12-03-04 12-03-12,25.5,27.1,25.7,25.9,26.8
12-03-05 12-03-13,26.4,27.4,26.1,26.4,27
12-03-06 12-03-14,27.3,27.7,26.8,27.1,27.6
12-03-07 12-03-15,25.8,27.7,26.3,26.4,27.2
12-03-08 12-03-16,24.9,25.6,25,25.3,26.8
12-03-09 12-03-17,23.4,24,23.7,24.1,25.8
12-03-10 12-03-18,22.5,22.8,22.7,23.3,25.3
12-03-11 12-03-19,22.1,22,22.1,22.5,24.9
12-03-12 12-03-20,21.7,21.5,21.5,22.2,24.4
12-03-13 12-03-21,21.5,20.9,21.2,21.8,24.1
12-03-14 12-03-22,21.6,20.7,21,21.6,23.7
12-03-15 12-03-23,21.8,20.4,20.8,21.3,23.4
12-03-16 12-03-24,22,19.9,20.6,21.2,22.9
12-03-17 12-04-01,21.7,19.8,20.5,21.1,22.8
12-03-18 12-04-02,20.7,19.4,20.3,20.9,22.7
12-03-19 12-04-03,20.3,19.3,20,20.7,22.5
12-03-20 12-04-04,20.9,19.6,19.9,20.4,22.4
12-03-21 12-04-05,20.7,19.7,19.7,20.3,22.2
12-03-22 12-04-06,20.1,19.6,19.9,20.4,22.2
12-03-23 12-04-07,19.9,19.5,19.8,20.1,22.2
12-04-00 12-04-08,21.4,20.2,19.8,20.2,23.4
12-04-01 12-04-09,23.9,21.8,21.9,22.2,25.4
12-04-02 12-04-10,25.5,25.2,24.5,24.1,26.7
12-04-03 12-04-11,26.6,26.7,25.6,25.4,27.6
12-04-04 12-04-12,27,27.8,26.4,26.1,27.3
12-04-05 12-04-13,27.9,28.3,26.7,26.4,28.3
12-04-06 12-04-14,26.8,29.4,27.9,27.5,28.7
12-04-07 12-04-15,26.6,28,27,26.4,28.7
12-04-08 12-04-16,25,26.7,24.7,24.7,26.8
12-04-09 12-04-17,24.6,24.9,24.3,24.6,25.8
12-04-10 12-04-18,24,23.9,23.5,23.6,25.7
12-04-11 12-04-19,23.4,23.5,23.4,23.9,25.6
12-04-12 12-04-20,22.7,23,22.8,23.1,25.4
12-04-13 12-04-21,22.4,22.9,22.4,22.8,25
12-04-14 12-04-22,22.7,22.6,22.1,22.6,24.5
12-04-15 12-04-23,22.5,22.4,21.8,22.3,24.4
12-04-16 12-04-24,22.4,22.2,21.6,22.1,24.4
12-04-17 12-05-01,22.1,21.5,21.3,22,24.2
12-04-18 12-05-02,21.6,21.1,21.2,21.8,23.8
12-04-19 12-05-03,20.9,20.6,20.9,21.6,23.9
12-04-20 12-05-04,21.1,20.4,20.9,21.3,23.9
12-04-21 12-05-05,21.2,21.3,20.7,21.3,23.9
12-04-22 12-05-06,20.2,21.3,20.6,21.2,23.8
12-04-23 12-05-07,20.6,21.3,20.9,21.6,23.7
12-05-00 12-05-08,22,21.4,20.8,21.7,24.6
12-05-01 12-05-09,23.8,22.6,21.4,22.4,26.4
12-05-02 12-05-10,26,25.7,21.7,23.6,27.5
12-05-03 12-05-11,27.5,27.5,24.5,25,27.9
12-05-04 12-05-12,28,28.5,25.9,26.1,28.8
12-05-05 12-05-13,28.2,29.8,27.7,27.7,28.9
12-05-06 12-05-14,26.8,29.6,28.3,27.6,29.3
12-05-07 12-05-15,24.9,27.7,26.6,26.8,27.6
12-05-08 12-05-16,25.2,25.8,25.3,25.6,27.2
12-05-09 12-05-17,24.4,25.1,24.5,25,26.2
12-05-10 12-05-18,23.7,23.7,23.9,24.4,26.3
12-05-11 12-05-19,23,23.4,23.2,23.9,26.4
12-05-12 12-05-20,22.6,22.5,22.6,23.1,25.9
12-05-13 12-05-21,22.3,22.2,22.3,23,25.6
12-05-14 12-05-22,21.7,21.8,22,22.4,25.4
12-05-15 12-05-23,21.9,21.6,21.7,22.1,25.2
