current_date,台中,嘉義,永康,台南,高雄
12-01_00,21.88,18.87,21.94,21.86,21.76
12-01_01,23.08,21.19,23.33,23.34,22.57
12-01_02,24.28,22.82,24.49,24.53,23.55
12-01_03,25.1,23.96,26.3,26.14,25.29
12-01_04,25.2,24.87,26.86,27,27.01
12-01_05,24.94,25.25,27.31,27.38,28.17
12-01_06,24.53,24.99,27.33,27.46,28.71
12-01_07,24.04,24.22,26.89,27.01,28.28
12-01_08,22.28,22.14,25.94,26.23,27.39
12-01_09,20.47,20.64,22.84,23.1,26.44
12-01_10,20.13,18.88,21.82,21.89,25.33
12-01_11,19.5,17.8,20.79,20.84,23.09
12-01_12,19.25,17.49,20.09,20.09,22
12-01_13,19.21,17.17,19.79,19.85,21.11
12-01_14,19.12,16.8,19.51,19.76,20.19
12-01_15,18.94,16.51,19.07,19.29,19.86
12-01_16,18.87,16.64,18.74,18.95,19.61
12-01_17,18.77,16.78,18.52,18.68,19.25
12-01_18,18.61,16.46,18.36,18.53,19.1
12-01_19,18.48,16.56,18.2,18.41,18.79
12-01_20,18.52,16.54,18.02,18.21,18.47
12-01_21,18.35,16.29,17.96,18.16,18.2
12-01_22,18.21,16.29,17.75,17.98,18.15
12-01_23,18.46,16.61,18.18,18.33,18.24
12-02_00,20.08,17.35,19.86,19.83,19.56
12-02_01,20.73,18.68,21.05,21.13,21.04
12-02_02,23.54,20.8,22.41,22.59,23.19
12-02_03,25.67,22.4,24.29,24.33,25.15
12-02_04,26.8,22.55,25.2,25.35,26.25
12-02_05,27.15,22.92,25.83,26.19,26.94
12-02_06,27.05,23.6,26.31,26.41,27.25
12-02_07,26.58,24.65,26.4,26.43,27.34
12-02_08,25,24.19,25.76,25.6,27.23
12-02_09,22.86,21.55,23.75,23.72,26.33
12-02_10,21.37,20.36,22.25,22.41,25.07
12-02_11,20.35,19.24,21.43,21.66,23.61
12-02_12,19.82,18.56,20.94,21.16,22.49
12-02_13,19.61,18,20.47,20.68,21.9
12-02_14,19.58,17.51,19.91,20.21,21.39
12-02_15,19.42,17.05,19.52,19.79,20.94
12-02_16,19.26,16.6,19.19,19.41,20.56
12-02_17,19.03,16.11,18.91,19.18,20.18
12-02_18,18.73,15.78,18.62,18.98,19.84
12-02_19,18.45,15.52,18.27,18.64,19.25
12-02_20,17.7,15.29,17.97,18.3,18.84
12-02_21,17.33,14.35,17.78,18.2,18.26
12-02_22,16.88,13.99,17.27,17.94,18.04
12-02_23,18.2,15.23,17.72,18.12,18.42
12-03_00,20.07,17.11,19.49,19.75,19.66
