UTC,台北,板橋,新竹,宜蘭,花蓮,梧棲,台中,嘉義,永康,台南,台東,高雄,恆春
03-01_00,16.956129032258072,17.122903225806454,16.79806451612903,18.528064516129035,20.026129032258066,17.691612903225806,18.011935483870964,16.539677419354838,18.096451612903223,18.463548387096772,21.050967741935487,20.67612903225806,21.84064516129032
03-01_01,18.19,18.139677419354843,17.997096774193544,19.31741935483871,20.769354838709674,18.6,19.43548387096774,17.773225806451613,19.42064516129032,19.790967741935486,22.004516129032258,21.743225806451612,22.6341935483871
03-01_02,19.03870967741936,18.991290322580642,19.040322580645164,19.947741935483876,21.229032258064514,19.469032258064516,20.75548387096774,19.383225806451613,21.09064516129033,21.296451612903226,22.683548387096774,22.878064516129037,23.485483870967737
03-01_03,19.854193548387098,19.91903225806451,19.497741935483873,20.322258064516127,21.4883870967742,20.038387096774194,21.71870967741936,20.50838709677419,22.262258064516125,22.399354838709673,23.00451612903226,23.651612903225807,24.021290322580644
03-01_04,20.456129032258065,20.497741935483866,19.41,20.405483870967743,21.68258064516129,20.18354838709677,22.3341935483871,21.406451612903233,23.16709677419355,23.14,23.060645161290317,24.156451612903222,24.390322580645165
03-01_05,20.56322580645162,20.715483870967745,19.637419354838705,20.39032258064516,21.658064516129024,20.02193548387097,22.645806451612906,21.964838709677416,23.67935483870967,23.53709677419355,23.142258064516135,24.478387096774192,24.710000000000004
03-01_06,20.4583870967742,20.708064516129035,19.613225806451602,20.223225806451616,21.43903225806452,19.914516129032254,22.717096774193543,22.081290322580646,23.82967741935484,23.657096774193555,22.949032258064516,24.626129032258063,24.498709677419356
03-01_07,20.108709677419352,20.408709677419356,19.440322580645155,19.961612903225813,21.19161290322581,19.60451612903226,22.321612903225805,21.782258064516125,23.561612903225804,23.371290322580638,22.673870967741937,24.479032258064514,24.32387096774194
03-01_08,19.571290322580648,19.837741935483866,19.048064516129028,19.64161290322581,20.97645161290323,19.13225806451613,21.714193548387097,21.243870967741934,23.011935483870968,22.98612903225806,22.36967741935484,24.133225806451616,23.849032258064522
03-01_09,18.912258064516127,19.039677419354838,18.375161290322584,19.220967741935485,20.664193548387093,18.643870967741936,20.834838709677424,20.286451612903225,22.18903225806451,22.18645161290323,22.039677419354838,23.70612903225806,23.100322580645162
03-01_10,18.075483870967744,18.175161290322578,17.56935483870968,18.526774193548384,20.242903225806455,18.01290322580645,19.662258064516127,19.340000000000003,21.132903225806448,21.155806451612904,21.63193548387097,23.276129032258062,22.245161290322585
03-01_11,17.56,17.645806451612902,16.973225806451612,18.174193548387098,19.97612903225807,17.641290322580645,18.95741935483871,18.48935483870968,20.310645161290328,20.40032258064516,21.26387096774193,22.884516129032257,21.829354838709683
03-01_12,17.187096774193552,17.22225806451613,16.53483870967742,17.89516129032258,19.834516129032263,17.496129032258064,18.59322580645161,18.001290322580644,19.78774193548387,19.93322580645161,20.940967741935484,22.67516129032258,21.549677419354843
03-01_13,16.826129032258066,16.828709677419358,16.195483870967742,17.519677419354835,19.648387096774194,17.32677419354839,18.37129032258065,17.642580645161292,19.42516129032258,19.548709677419353,20.799677419354847,22.35032258064516,21.33451612903226
03-01_14,16.508709677419354,16.47290322580645,16.004516129032258,17.062580645161287,19.451290322580643,17.10516129032258,18.134516129032257,17.241935483870968,19.02612903225806,19.161935483870963,20.506774193548388,21.95806451612904,21.100322580645166
03-01_15,16.221290322580643,16.18225806451613,15.798064516129037,16.75903225806452,19.272258064516137,16.96193548387097,17.784193548387098,16.763870967741934,18.633548387096774,18.76709677419355,20.368387096774196,21.520322580645164,20.856451612903225
03-01_16,15.99451612903226,16.01258064516129,15.65290322580645,16.53935483870968,19.076774193548385,16.836451612903225,17.466129032258067,16.313548387096777,18.230967741935483,18.31451612903226,20.142903225806446,21.0216129032258,20.682258064516123
03-01_17,15.693870967741935,15.741935483870972,15.361612903225808,16.278709677419357,18.811935483870972,16.67,17.10516129032258,16.077741935483875,17.861290322580647,17.978709677419356,19.937096774193556,20.641935483870963,20.593548387096774
03-01_18,15.47258064516129,15.382258064516131,15.187741935483869,16.075806451612905,18.554516129032258,16.482258064516127,16.781612903225806,15.855161290322586,17.479677419354843,17.582903225806447,19.82677419354839,20.32354838709678,20.434193548387093
03-01_19,15.148064516129033,15.117096774193548,14.982258064516131,15.939677419354837,18.357096774193547,16.3141935483871,16.545161290322582,15.666129032258063,17.133548387096774,17.19451612903226,19.853225806451615,20.020322580645157,20.348064516129035
03-01_20,14.951612903225806,14.945806451612908,14.679354838709678,15.652580645161288,18.22064516129033,16.273225806451613,16.336774193548386,15.34806451612903,16.88064516129032,16.958709677419353,19.608709677419352,19.69290322580645,20.246774193548383
03-01_21,14.873225806451611,14.851612903225808,14.507096774193547,15.384516129032257,18.171290322580642,16.06032258064516,16.157741935483873,15.224516129032258,16.622258064516128,16.719677419354838,19.44322580645162,19.537741935483865,20.133870967741938
03-01_22,14.68967741935484,14.749677419354844,14.475483870967745,15.402903225806448,17.99967741935484,15.906774193548392,15.928387096774197,15.248064516129032,16.38612903225806,16.459999999999997,19.267096774193547,19.448387096774194,20.181290322580647
03-01_23,15.806774193548387,16.168387096774193,15.837096774193542,17.514193548387095,19.302258064516135,16.859354838709677,16.927741935483873,15.629677419354838,17.16548387096774,17.434516129032257,20.21,19.882903225806455,20.846129032258073
