UTC,台北,板橋,新竹,宜蘭,花蓮,梧棲,台中,嘉義,永康,台南,台東,高雄,恆春
03-01_00,16.48709677419355,15.993548387096778,15.816129032258065,17.122580645161293,18.025806451612898,16.616129032258065,17.116129032258065,17.203225806451613,17.603225806451615,18.17096774193548,19.164516129032258,20.529032258064518,22.44193548387097
03-01_01,17.538709677419362,17.02258064516129,16.761290322580646,18.374193548387094,18.99032258064516,17.403225806451612,18.458064516129035,18.658064516129034,19.00322580645161,19.32903225806452,20.109677419354842,21.909677419354832,23.283870967741933
03-01_02,18.73225806451613,18.367741935483863,17.583870967741934,19.32258064516129,20.15806451612903,17.96774193548388,19.57741935483871,19.951612903225804,20.49677419354839,20.596774193548388,21.19677419354839,22.79032258064516,23.85161290322581
03-01_03,19.45483870967742,19.2258064516129,18.15483870967742,19.909677419354836,20.67419354838709,18.56774193548387,20.661290322580644,20.787096774193543,21.88709677419355,21.806451612903228,21.680645161290325,23.374193548387094,24.487096774193542
03-01_04,19.812903225806455,19.651612903225807,18.6,20.01290322580645,20.916129032258066,18.638709677419353,21.077419354838714,21.522580645161284,22.593548387096774,22.387096774193548,22.067741935483873,23.690322580645166,24.880645161290314
03-01_05,19.84516129032258,19.887096774193548,18.661290322580644,20.070967741935483,20.951612903225808,18.867741935483867,21.43548387096774,22.219354838709677,22.9741935483871,22.806451612903224,22.093548387096774,23.822580645161285,24.858064516129033
03-01_06,19.783870967741937,19.66774193548387,18.567741935483873,20.054838709677423,20.80645161290322,18.983870967741936,21.519354838709674,22.296774193548394,22.790322580645164,22.729032258064517,21.912903225806453,23.79354838709677,24.84193548387097
03-01_07,19.480645161290326,19.39032258064517,18.493548387096773,19.76774193548387,20.651612903225804,18.722580645161294,21.23548387096774,22.109677419354846,22.56451612903226,22.448387096774194,21.735483870967748,23.767741935483873,24.529032258064515
03-01_08,19.161290322580644,19.02903225806451,18.0258064516129,19.506451612903227,20.267741935483873,18.53548387096774,20.583870967741937,21.522580645161288,22.038709677419348,21.97741935483871,21.470967741935485,23.377419354838707,24.10322580645161
03-01_09,18.461290322580645,18.422580645161286,17.719354838709684,19.003225806451614,19.89677419354838,17.932258064516127,19.932258064516127,20.85483870967742,21.27419354838709,21.364516129032257,20.9741935483871,23.019354838709678,23.403225806451616
03-01_10,17.938709677419357,17.751612903225805,17.174193548387095,18.490322580645163,19.63548387096774,17.34193548387097,19.25161290322581,19.796774193548387,20.390322580645158,20.56774193548387,20.59032258064516,22.390322580645165,22.72258064516129
03-01_11,17.664516129032258,17.306451612903224,16.832258064516132,18.012903225806454,19.419354838709673,17.164516129032258,18.66129032258064,19.167741935483868,19.635483870967736,19.96129032258065,20.280645161290327,22.000000000000004,22.274193548387096
03-01_12,17.387096774193544,17.077419354838714,16.538709677419355,17.567741935483873,19.187096774193545,17.061290322580643,18.229032258064514,18.503225806451614,19.145161290322587,19.574193548387097,20.041935483870965,21.75483870967742,22.109677419354846
03-01_13,17.31612903225807,16.964516129032262,16.306451612903224,17.361290322580647,18.916129032258066,16.84193548387097,17.835483870967742,18.11935483870968,18.799999999999997,19.27741935483871,19.870967741935484,21.56129032258064,21.89354838709677
03-01_14,17.174193548387098,16.716129032258063,16.164516129032254,17.061290322580643,18.700000000000003,16.777419354838706,17.519354838709678,17.758064516129032,18.580645161290324,19.016129032258057,19.641935483870967,21.287096774193547,21.767741935483865
03-01_15,16.95483870967742,16.454838709677418,15.958064516129031,16.75483870967742,18.480645161290322,16.712903225806453,17.216129032258067,17.345161290322583,18.109677419354842,18.66129032258064,19.5258064516129,21.125806451612906,21.75161290322581
03-01_16,16.648387096774194,16.064516129032263,15.841935483870966,16.506451612903227,18.267741935483865,16.629032258064516,17.03870967741936,17.135483870967743,17.909677419354836,18.477419354838712,19.322580645161295,20.690322580645166,21.69677419354839
03-01_17,16.332258064516132,15.83548387096774,15.580645161290322,16.20645161290323,18.054838709677416,16.50645161290323,16.751612903225805,16.932258064516127,17.65806451612903,18.238709677419358,19.074193548387093,20.370967741935484,21.51290322580645
03-01_18,16.222580645161294,15.729032258064516,15.54838709677419,16.074193548387097,17.761290322580642,16.458064516129035,16.61935483870968,16.71290322580645,17.467741935483872,18.103225806451615,18.93225806451613,20.145161290322577,21.47741935483871
03-01_19,15.99032258064516,15.503225806451615,15.419354838709678,15.903225806451612,17.67741935483871,16.287096774193547,16.454838709677418,16.496774193548386,17.261290322580642,17.85161290322581,18.712903225806457,19.874193548387098,21.425806451612903
03-01_20,15.851612903225808,15.435483870967742,15.32258064516129,15.738709677419354,17.512903225806454,16.106451612903225,16.203225806451613,16.287096774193547,17.109677419354842,17.741935483870968,18.590322580645157,19.64516129032258,21.325806451612902
03-01_21,15.806451612903231,15.312903225806455,15.238709677419356,15.62258064516129,17.416129032258066,16.000000000000004,16.135483870967743,16.19677419354839,16.964516129032262,17.567741935483873,18.487096774193546,19.590322580645164,21.23548387096774
03-01_22,15.696774193548388,15.277419354838706,15.112903225806452,15.703225806451611,17.264516129032256,15.980645161290324,15.996774193548385,15.990322580645161,16.870967741935484,17.448387096774198,18.42258064516129,19.42258064516129,21.23225806451613
03-01_23,15.74516129032258,15.461290322580641,15.29032258064516,16.116129032258062,17.496774193548386,16.12258064516129,16.403225806451616,16.31612903225807,17.009677419354837,17.61935483870968,18.64838709677419,19.725806451612907,21.645161290322584
