UTC,台北,板橋,新竹,宜蘭,花蓮,梧棲,台中,嘉義,永康,台南,台東,高雄,恆春
03-01_00,16.979677419354836,17.19741935483871,16.88225806451613,18.421290322580642,20.03677419354839,17.699032258064516,18.110000000000003,16.596129032258066,18.09709677419355,18.53483870967742,21.06096774193548,20.73548387096774,21.794516129032257
03-01_01,18.16225806451613,18.078064516129032,17.943225806451615,19.31483870967742,20.775806451612905,18.60096774193548,19.466774193548396,17.887741935483866,19.35645161290323,19.769354838709678,22.00032258064516,21.798387096774192,22.529677419354837
03-01_02,19.087419354838712,18.97193548387097,18.972580645161294,19.971612903225804,21.239354838709676,19.429999999999996,20.720645161290324,19.34032258064516,21.08612903225806,21.284838709677413,22.61483870967742,22.89935483870968,23.448709677419355
03-01_03,19.94516129032258,19.964193548387097,19.510645161290327,20.296774193548384,21.560645161290317,20.004193548387097,21.65483870967742,20.40290322580645,22.409032258064517,22.48516129032258,22.85,23.633225806451613,24.1
03-01_04,20.47129032258064,20.555483870967738,19.522580645161288,20.42322580645161,21.739999999999995,20.111612903225808,22.277419354838706,21.365806451612908,23.200000000000006,23.16483870967741,23.017419354838708,24.09322580645162,24.44451612903226
03-01_05,20.53516129032258,20.721290322580646,19.641612903225806,20.383870967741935,21.726129032258065,20.049032258064514,22.703225806451613,21.91322580645161,23.73903225806452,23.513548387096765,23.135806451612908,24.361612903225808,24.596129032258062
03-01_06,20.312903225806448,20.629032258064512,19.672580645161293,20.206129032258062,21.46709677419355,19.918709677419354,22.78451612903226,22.041290322580643,23.942258064516132,23.75903225806452,23.04225806451613,24.56032258064516,24.494838709677417
03-01_07,20.002258064516127,20.290645161290325,19.48290322580645,19.947741935483872,21.22354838709677,19.64548387096774,22.406451612903236,21.756774193548384,23.69741935483871,23.545483870967743,22.76645161290322,24.447096774193554,24.371612903225806
03-01_08,19.467096774193553,19.773548387096774,19.05645161290322,19.6583870967742,21.03322580645161,19.17129032258065,21.83225806451613,21.214516129032255,23.06645161290322,23.059677419354834,22.419677419354834,24.139032258064518,23.863225806451613
03-01_09,18.845483870967747,19.03516129032258,18.38129032258064,19.22806451612903,20.712580645161292,18.673870967741934,20.877741935483872,20.335806451612907,22.245483870967742,22.22612903225807,22.085806451612907,23.69935483870967,23.101935483870975
03-01_10,18.066129032258065,18.169677419354837,17.55741935483871,18.542580645161287,20.260645161290316,18.00451612903226,19.680000000000003,19.346451612903227,21.16290322580645,21.224516129032263,21.668387096774197,23.235806451612902,22.231290322580637
03-01_11,17.520645161290318,17.576451612903227,16.944516129032266,18.13225806451613,20.00193548387097,17.64064516129032,19.002258064516127,18.390322580645165,20.32677419354839,20.402580645161287,21.275806451612905,22.867096774193545,21.806129032258067
03-01_12,17.19709677419355,17.121290322580645,16.50129032258064,17.83290322580645,19.831612903225807,17.468064516129033,18.611935483870973,17.991935483870968,19.79258064516129,19.9358064516129,21.009032258064515,22.660967741935483,21.54096774193548
03-01_13,16.786774193548386,16.779999999999998,16.26677419354839,17.39096774193548,19.724516129032256,17.357096774193547,18.43612903225807,17.64129032258064,19.388387096774192,19.570967741935483,20.791290322580647,22.31677419354838,21.33806451612903
03-01_14,16.448387096774198,16.434838709677418,16.04258064516129,17.043548387096774,19.49903225806451,17.193548387096776,18.214516129032255,17.19516129032258,19.098709677419354,19.2041935483871,20.570645161290322,21.85161290322581,21.09225806451613
03-01_15,16.20709677419355,16.182580645161288,15.839999999999996,16.83709677419355,19.37709677419355,16.999677419354835,17.84322580645162,16.718387096774197,18.644516129032258,18.794838709677418,20.355806451612906,21.478387096774195,20.843225806451613
03-01_16,15.90322580645162,15.994516129032258,15.656774193548385,16.581290322580646,19.135806451612904,16.84967741935484,17.556451612903224,16.313548387096777,18.213225806451614,18.346774193548388,20.12548387096774,20.90967741935483,20.63935483870968
03-01_17,15.627419354838706,15.671612903225808,15.395483870967741,16.280322580645162,18.857096774193547,16.653225806451612,17.11935483870968,16.052258064516128,17.751290322580648,17.938064516129035,19.985161290322583,20.621612903225806,20.614838709677418
03-01_18,15.434838709677416,15.417741935483873,15.276774193548388,16.052580645161292,18.590645161290325,16.497741935483873,16.778387096774193,15.822580645161294,17.44161290322581,17.586129032258064,19.83677419354839,20.3,20.434193548387096
03-01_19,15.229354838709677,15.225483870967741,14.984193548387095,15.846774193548388,18.43258064516129,16.38548387096774,16.520967741935486,15.62258064516129,17.089032258064517,17.243870967741934,19.878064516129033,20.025161290322572,20.385483870967743
03-01_20,14.993225806451612,15.065483870967741,14.79645161290323,15.606774193548386,18.235806451612902,16.258064516129036,16.382903225806455,15.349677419354837,16.831290322580646,16.959677419354836,19.643548387096775,19.61258064516129,20.219354838709677
03-01_21,14.852258064516132,14.857096774193549,14.578709677419353,15.401612903225807,18.190645161290316,16.127741935483872,16.142580645161285,15.24774193548387,16.626451612903224,16.80548387096774,19.50548387096774,19.4216129032258,20.176129032258064
03-01_22,14.754516129032261,14.775806451612906,14.475806451612904,15.312903225806453,18.065806451612893,15.888387096774192,15.897741935483866,15.203225806451613,16.38,16.511935483870968,19.275483870967737,19.377419354838707,20.16290322580645
03-01_23,15.827419354838709,16.224516129032256,15.87096774193548,17.430967741935486,19.35870967741936,16.90548387096774,16.91483870967742,15.58064516129032,17.171935483870968,17.491290322580642,20.201612903225808,19.90548387096774,20.858709677419352
