UTC,台北,板橋,新竹,宜蘭,花蓮,梧棲,台中,嘉義,永康,台南,台東,高雄,恆春
11-01_00,22.080000000000002,21.603333333333328,21.816666666666663,21.65666666666667,22.436666666666664,22.006666666666668,22.459999999999997,22.39666666666667,22.35666666666667,23.003333333333334,23.596666666666668,24.77,25.473333333333336
11-01_01,23.219999999999995,22.52,23.156666666666663,22.509999999999998,23.66666666666666,23.023333333333333,23.836666666666666,24.08,23.949999999999992,24.236666666666668,24.850000000000005,26.169999999999995,26.486666666666668
11-01_02,23.843333333333337,23.623333333333335,24.233333333333338,23.333333333333336,24.533333333333335,23.940000000000005,25.036666666666665,25.386666666666667,25.24666666666667,25.500000000000007,25.730000000000004,26.86333333333334,27.019999999999996
11-01_03,24.533333333333328,24.530000000000005,24.77666666666666,23.63333333333333,25.06666666666667,24.260000000000005,25.939999999999998,26.426666666666662,26.37333333333334,26.566666666666663,26.279999999999998,27.200000000000003,27.333333333333332
11-01_04,24.533333333333335,24.876666666666665,25.100000000000005,23.860000000000003,25.256666666666664,24.559999999999995,26.733333333333334,27.310000000000002,27.120000000000005,27.253333333333334,26.45333333333333,27.483333333333334,27.46333333333333
11-01_05,24.743333333333336,24.87333333333333,24.826666666666664,23.853333333333335,25.113333333333333,24.75,26.84666666666666,27.743333333333336,27.476666666666667,27.573333333333334,26.553333333333338,27.63666666666667,27.529999999999998
11-01_06,24.529999999999998,24.49333333333334,24.36666666666667,23.689999999999998,24.91333333333334,24.663333333333338,26.81333333333333,27.65,27.336666666666677,27.34333333333333,26.160000000000004,27.60000000000001,27.36333333333334
11-01_07,24.173333333333343,24.31333333333334,23.916666666666668,23.526666666666674,24.68,24.283333333333335,26.169999999999998,27.11333333333333,26.990000000000002,27.003333333333334,25.630000000000006,27.49666666666667,26.920000000000005
11-01_08,23.576666666666668,23.580000000000002,23.44,22.993333333333336,24.296666666666667,23.730000000000004,25.339999999999996,26.189999999999994,26.106666666666666,26.41666666666667,25.08999999999999,27.050000000000004,26.310000000000002
11-01_09,23.033333333333328,23.03333333333334,22.790000000000003,22.436666666666667,23.899999999999995,23.05,24.48333333333334,24.946666666666662,25.199999999999996,25.573333333333327,24.536666666666665,26.519999999999996,25.576666666666664
11-01_10,22.723333333333336,22.543333333333337,22.410000000000004,22.033333333333335,23.600000000000005,22.6,23.759999999999994,23.82,24.406666666666663,24.90333333333333,24.050000000000008,26.3,25.133333333333333
11-01_11,22.530000000000005,22.310000000000002,22.223333333333333,21.773333333333344,23.37333333333333,22.399999999999995,23.333333333333332,23.14333333333333,23.930000000000003,24.44333333333334,23.733333333333334,26.106666666666666,25.04333333333334
11-01_12,22.31333333333334,22.110000000000003,21.92666666666667,21.61,23.15333333333334,22.21,22.926666666666673,22.69,23.45,24.093333333333327,23.550000000000004,25.893333333333334,25.073333333333338
11-01_13,22.199999999999996,22.01,21.766666666666666,21.393333333333327,22.856666666666666,22.016666666666666,22.593333333333337,22.253333333333337,23.083333333333332,23.776666666666667,23.309999999999995,25.639999999999997,24.973333333333333
11-01_14,22.083333333333332,21.80666666666666,21.49666666666666,21.136666666666663,22.61333333333333,21.896666666666665,22.266666666666673,21.89333333333333,22.76,23.436666666666664,23.066666666666663,25.33666666666667,24.893333333333334
11-01_15,21.910000000000007,21.520000000000003,21.33333333333333,21.006666666666664,22.356666666666666,21.776666666666664,22.11666666666667,21.65666666666667,22.483333333333334,23.17666666666667,22.86666666666667,25.076666666666664,24.726666666666663
11-01_16,21.69666666666667,21.40666666666667,21.093333333333327,20.896666666666658,22.14,21.580000000000005,21.94666666666667,21.39,22.276666666666667,22.94,22.64333333333333,24.866666666666674,24.646666666666665
11-01_17,21.536666666666672,21.173333333333332,20.9,20.716666666666665,21.99,21.490000000000002,21.740000000000002,21.230000000000008,22.110000000000003,22.779999999999998,22.54666666666667,24.60666666666667,24.65333333333334
11-01_18,21.383333333333336,21.053333333333327,20.766666666666666,20.55333333333333,21.816666666666663,21.396666666666665,21.503333333333327,21.123333333333335,21.909999999999993,22.62666666666666,22.43333333333334,24.403333333333332,24.516666666666666
11-01_19,21.269999999999996,20.95333333333334,20.62333333333334,20.503333333333334,21.583333333333332,21.259999999999994,21.496666666666663,20.86666666666667,21.613333333333333,22.326666666666664,22.30666666666667,24.156666666666663,24.506666666666664
11-01_20,21.23,20.95666666666666,20.569999999999997,20.363333333333333,21.54666666666667,21.19666666666667,21.236666666666668,20.653333333333332,21.509999999999998,22.186666666666667,22.23,24.019999999999996,24.40666666666667
11-01_21,21.160000000000004,20.813333333333336,20.43666666666667,20.446666666666665,21.470000000000002,21.09666666666666,21.05,20.589999999999996,21.379999999999995,22.089999999999996,22.150000000000002,23.83333333333333,24.316666666666666
11-01_22,21.063333333333336,20.65,20.37,20.230000000000008,21.380000000000003,20.946666666666665,20.839999999999996,20.479999999999997,21.31666666666667,22.053333333333335,22.14666666666666,23.696666666666662,24.35333333333334
11-01_23,21.29,20.820000000000004,20.650000000000002,20.483333333333338,21.500000000000004,21.063333333333333,21.19666666666667,20.853333333333335,21.49,22.163333333333334,22.26,23.826666666666668,24.480000000000004
