current_date,台中,嘉義,永康,台南,高雄
12-01_00,22.78,20.52,22.5,22.55,22.31
12-01_01,24.39,22.17,23.58,23.93,24.5
12-01_02,25.72,23.81,23.62,24.23,26.23
12-01_03,26.53,25.07,27,27.21,27.95
12-01_04,26.74,25.99,27.8,27.97,28.95
12-01_05,26.58,26.47,28.04,28.17,29.69
12-01_06,26.27,25.95,28.08,28.3,29.45
12-01_07,25.45,24.75,27.62,27.77,28.8
12-01_08,23.59,23.2,26.26,26.55,27.7
12-01_09,21.28,20.93,23.57,23.92,26.37
12-01_10,20.43,19.28,22.01,22.21,25.35
12-01_11,19.88,18.38,20.98,21.14,23.61
12-01_12,19.72,17.97,20.25,20.4,22.59
12-01_13,19.73,17.8,19.92,20,21.7
12-01_14,19.59,17.44,19.72,19.8,20.84
12-01_15,19.36,17.18,19.41,19.49,20.3
12-01_16,19.3,16.95,19.12,19.23,19.94
12-01_17,19.25,16.82,18.87,19,19.74
12-01_18,19.14,16.65,18.69,18.81,19.43
12-01_19,19.08,16.88,18.53,18.63,19.18
12-01_20,19.01,17,18.38,18.52,19.04
12-01_21,19.2,17.04,18.41,18.47,18.84
12-01_22,19.22,17.09,18.35,18.43,18.65
12-01_23,19.32,17.27,18.84,18.95,19.01
12-02_00,20.98,18.84,20.53,20.61,21.01
12-02_01,22.16,19.87,21.86,22.07,22.4
12-02_02,25.55,22.21,23.8,24.16,25.14
12-02_03,27.47,23.75,25.33,25.63,26.85
12-02_04,28.56,23.14,26.42,27.02,27.88
12-02_05,29.08,23.38,27.05,27.35,28.37
12-02_06,28.98,24.64,27.28,27.46,28.25
12-02_07,28,25.67,27.16,27.19,28.08
12-02_08,26.48,24.55,26.05,25.9,27.51
12-02_09,23.88,22.1,23.8,23.7,25.76
12-02_10,22.33,20.9,22.52,22.54,24.33
12-02_11,21.33,19.88,21.7,21.79,23.24
12-02_12,20.67,19.23,21.1,21.16,22.38
12-02_13,20.27,18.65,20.59,20.66,21.74
12-02_14,19.97,18.21,20.14,20.22,21.17
12-02_15,19.81,17.79,19.74,19.82,20.69
12-02_16,19.65,17.47,19.43,19.47,20.36
12-02_17,19.51,17.2,19.18,19.24,20.05
12-02_18,19.36,16.96,18.94,19.03,19.72
12-02_19,19.23,16.72,18.71,18.84,19.29
12-02_20,19.13,16.54,18.5,18.65,18.91
12-02_21,19.03,16.42,18.29,18.47,18.64
12-02_22,18.95,16.26,18.02,18.22,18.42
12-02_23,19.51,16.67,18.44,18.7,18.81
12-03_00,21.61,18.36,20.26,20.63,20.9
12-03_01,24.27,20.88,22.4,22.64,23.59
12-03_02,26.6,23.29,24.52,25.13,26.19
12-03_03,28.55,24.82,26.48,26.67,27.84
12-03_04,29.44,26.63,27.88,28.41,28.71
12-03_05,30,27.46,28.88,29.05,28.96
12-03_06,29.4,27.45,29.07,29.18,28.99
12-03_07,28.18,26.9,28.72,28.71,28.48
12-03_08,26.47,25.09,27.78,27.51,27.36
12-03_09,23.96,23.31,25.3,25.13,25.84
12-03_10,23.04,21.93,23.84,23.78,24.9
12-03_11,22.29,20.76,22.94,22.95,24.15
12-03_12,21.9,20.17,22.16,22.24,23.54
12-03_13,21.67,19.8,21.68,21.71,22.89
12-03_14,21.41,19.53,21.27,21.29,22.32
12-03_15,21.14,19.24,20.87,20.9,21.86
12-03_16,20.91,18.95,20.55,20.58,21.41
12-03_17,20.69,18.7,20.29,20.32,21.04
12-03_18,20.51,18.53,20.1,20.15,20.65
12-03_19,20.34,18.32,19.97,20.07,20.37
12-03_20,20.19,18.1,19.78,19.91,20.12
12-03_21,20.64,18.03,19.57,19.68,20.1
12-03_22,20.42,18.12,19.84,19.92,20.06
12-03_23,20.82,18.03,20.04,20.18,20.58
12-04_00,23.18,18.76,20.89,21.64,22.37
12-04_01,25.1,22.05,23.57,24.02,24.31
12-04_02,26.06,23.93,25.52,25.78,26.89
12-04_03,26.83,25.82,26.78,27.02,28.68
12-04_04,28.54,27.18,28.53,28.82,29.74
12-04_05,29.04,27.8,29.35,29.5,30.2
12-04_06,29.04,28.04,29.66,29.85,30.08
12-04_07,28.03,27.24,29.28,29.21,29.48
12-04_08,26.83,25.44,27.66,27.58,28.37
12-04_09,24.73,23.73,25.42,25.42,26.65
12-04_10,23.24,22.25,24.11,24.15,25.56
12-04_11,22.67,21.09,23.4,23.46,24.96
12-04_12,22.32,20.56,22.8,22.85,24.33
12-04_13,22.18,20.21,22.16,22.28,23.74
12-04_14,21.95,19.87,21.69,21.77,23.13
12-04_15,21.69,19.56,21.31,21.38,22.55
12-04_16,21.48,19.27,20.94,20.99,22.07
12-04_17,21.29,19.01,20.65,20.67,21.68
12-04_18,21.15,18.74,20.39,20.42,21.33
12-04_19,21.03,18.53,20.16,20.22,21.05
12-04_20,20.9,18.69,19.99,20.02,20.8
12-04_21,20.78,18.4,20.35,20.24,20.58
12-04_22,20.64,18.28,20.54,20.7,20.33
12-04_23,21.09,18.4,20.5,20.5,20.58
12-05_00,23.06,19.31,20.83,20.93,21.74
12-05_01,25.65,21.7,22,22.47,23.7
12-05_02,27.83,24.33,24.31,25.1,26.32
12-05_03,29.38,26.12,26.7,26.93,27.91
12-05_04,30.24,27.41,28.41,28.65,29.07
12-05_05,30.36,28.39,29.28,29.39,29.69
12-05_06,29.55,28.34,29.45,29.5,29.63
12-05_07,28.43,27.56,29.11,29.01,29.29
12-05_08,26.92,25.73,28.05,27.71,28.55
12-05_09,24.61,23.78,25.82,25.61,26.52
12-05_10,23.44,21.91,24.4,24.27,25.3
12-05_11,22.61,20.95,23.05,23.17,24.39
12-05_12,22.07,20.43,22.18,22.19,23.66
12-05_13,21.76,19.94,21.68,21.65,22.87
12-05_14,21.68,19.65,21.5,21.46,22.21
12-05_15,21.4,19.4,21.23,21.19,21.67
12-05_16,21.1,19.18,21.01,20.95,21.26
