UTC,台北,板橋,新竹,宜蘭,花蓮,梧棲,台中,嘉義,永康,台南,台東,高雄,恆春
01-01_00,16.032258064516128,15.709677419354838,15.3483870967742,16.28064516129032,17.829032258064515,15.596774193548388,16.54516129032258,16.241935483870968,16.393548387096775,16.622580645161293,19.112903225806452,19.08709677419355,22.28709677419355
01-01_01,16.50645161290323,16.264516129032256,16.096774193548384,16.929032258064517,18.60322580645161,16.261290322580646,17.609677419354842,17.125806451612902,17.593548387096778,17.60967741935484,20.06129032258065,20.006451612903223,23.09354838709677
01-01_02,16.954838709677418,16.799999999999997,16.664516129032254,17.367741935483874,19.099999999999998,16.945161290322584,18.422580645161293,18.096774193548384,18.716129032258067,18.564516129032263,20.809677419354834,20.783870967741933,23.777419354838706
01-01_03,17.261290322580646,17.322580645161292,17.077419354838714,17.719354838709677,19.57096774193549,17.229032258064514,19.058064516129026,18.98064516129032,19.538709677419355,19.506451612903223,21.383870967741938,21.309677419354834,23.812903225806448
01-01_04,17.380645161290325,17.506451612903227,17.212903225806453,18.032258064516125,19.774193548387093,17.36774193548387,19.522580645161284,19.82903225806452,20.400000000000002,20.29032258064516,21.654838709677424,21.651612903225804,23.841935483870966
01-01_05,17.36451612903226,17.361290322580643,17.03870967741935,18.170967741935485,19.887096774193544,17.21935483870968,19.55806451612904,20.083870967741937,20.60967741935484,20.403225806451612,21.670967741935485,22.045161290322582,23.316129032258058
01-01_06,17.22258064516129,17.170967741935478,16.858064516129033,18.129032258064512,19.670967741935478,17.05483870967742,19.203225806451616,19.93548387096774,20.209677419354836,20.129032258064512,21.474193548387095,22.106451612903232,23.287096774193547
01-01_07,17.04516129032258,16.96451612903226,16.52903225806451,17.738709677419358,19.490322580645163,16.670967741935478,18.596774193548388,19.280645161290323,19.306451612903224,19.438709677419347,20.951612903225808,21.76129032258065,23.01612903225806
01-01_08,16.75483870967742,16.641935483870967,16.206451612903226,17.293548387096774,19.083870967741937,16.241935483870964,17.761290322580646,18.361290322580643,18.47096774193549,18.6,20.303225806451614,21.00322580645161,22.4741935483871
01-01_09,16.538709677419345,16.409677419354836,15.79032258064516,16.887096774193544,18.877419354838707,15.948387096774189,17.070967741935487,17.51935483870968,17.67419354838709,17.864516129032257,19.88709677419355,20.25806451612903,22.022580645161284
01-01_10,16.425806451612903,16.26774193548387,15.625806451612904,16.603225806451615,18.63548387096774,15.816129032258065,16.703225806451613,17.070967741935487,17.148387096774194,17.40967741935484,19.561290322580643,19.729032258064517,21.819354838709682
01-01_11,16.36774193548387,16.212903225806453,15.532258064516125,16.40967741935484,18.306451612903224,15.696774193548384,16.545161290322582,16.693548387096772,16.73870967741936,17.070967741935483,19.3,19.351612903225806,21.690322580645155
01-01_12,16.267741935483873,16.15483870967742,15.493548387096773,16.167741935483875,18.09032258064516,15.603225806451608,16.33225806451613,16.44193548387097,16.506451612903227,16.809677419354838,19.125806451612906,18.990322580645163,21.512903225806454
01-01_13,16.112903225806452,16.051612903225806,15.367741935483869,16.016129032258068,17.83225806451613,15.577419354838709,16.167741935483868,16.283870967741937,16.329032258064522,16.651612903225807,18.948387096774194,18.72258064516129,21.483870967741932
01-01_14,16.10967741935484,15.887096774193546,15.248387096774191,15.893548387096773,17.558064516129033,15.425806451612903,16.06451612903226,16.093548387096774,16.145161290322584,16.480645161290322,18.741935483870968,18.53870967741936,21.400000000000002
01-01_15,15.951612903225808,15.725806451612906,15.14838709677419,15.764516129032257,17.40967741935484,15.322580645161294,15.883870967741936,15.912903225806451,16.029032258064515,16.309677419354838,18.66129032258064,18.251612903225805,21.322580645161292
01-01_16,15.72258064516129,15.529032258064513,14.958064516129033,15.616129032258064,17.322580645161295,15.23225806451613,15.751612903225805,15.770967741935483,15.929032258064519,16.225806451612904,18.58387096774194,17.983870967741932,21.129032258064523
01-01_17,15.561290322580644,15.345161290322581,14.78709677419355,15.567741935483872,17.14516129032258,15.070967741935483,15.58064516129032,15.583870967741936,15.709677419354842,16.02903225806451,18.37096774193548,17.87741935483871,21.05806451612903
01-01_18,15.393548387096773,15.177419354838708,14.654838709677424,15.470967741935489,17.09677419354839,14.964516129032257,15.451612903225802,15.451612903225806,15.561290322580646,15.832258064516125,18.20967741935484,17.690322580645166,21.01290322580645
01-01_19,15.245161290322583,15.04516129032258,14.506451612903223,15.467741935483875,16.935483870967737,14.851612903225808,15.329032258064514,15.387096774193548,15.44516129032258,15.706451612903228,18.08387096774194,17.49677419354839,21.02903225806452
01-01_20,15.167741935483873,15.122580645161289,14.28064516129032,15.39032258064516,16.938709677419357,14.774193548387098,15.174193548387096,15.280645161290328,15.361290322580649,15.677419354838712,18.000000000000004,17.393548387096775,20.909677419354836
01-01_21,15.206451612903225,15.06774193548387,14.151612903225802,15.274193548387096,16.951612903225804,14.693548387096774,15.045161290322584,15.174193548387096,15.290322580645162,15.606451612903227,17.977419354838705,17.29032258064516,20.816129032258065
01-01_22,15.193548387096778,14.94193548387097,14.087096774193546,15.309677419354834,16.967741935483872,14.606451612903228,14.964516129032258,15.17741935483871,15.225806451612899,15.516129032258064,17.922580645161293,17.277419354838713,20.867741935483863
01-01_23,15.396774193548387,15.13548387096774,14.480645161290328,15.619354838709674,17.225806451612904,14.832258064516125,15.561290322580646,15.506451612903222,15.648387096774192,15.832258064516132,18.39677419354838,17.745161290322578,21.49032258064516
