UTC,台北,板橋,新竹,宜蘭,花蓮,梧棲,台中,嘉義,永康,台南,台東,高雄,恆春
01-01_00,15.530322580645159,15.57451612903226,15.308387096774194,16.429354838709678,19.240645161290328,15.585161290322578,15.573548387096778,14.240645161290322,15.750000000000004,16.013870967741937,20.248709677419352,18.437741935483874,21.08967741935484
01-01_01,16.32032258064516,16.328709677419354,15.970000000000002,17.289999999999996,19.836129032258064,16.34806451612903,16.86935483870968,15.384516129032258,16.828387096774197,17.118387096774196,21.041935483870965,19.42741935483871,21.93935483870968
01-01_02,17.02387096774194,17.02935483870968,16.860967741935482,17.875161290322577,20.335483870967742,17.150967741935485,18.223870967741934,16.728064516129034,18.074516129032258,18.318064516129034,21.73580645161291,20.48580645161291,22.609677419354842
01-01_03,17.62741935483871,17.55322580645161,17.678064516129027,18.2441935483871,20.653225806451612,17.85161290322581,19.374516129032262,17.784193548387094,19.101612903225803,19.32193548387097,22.190322580645162,21.367741935483878,22.978064516129034
01-01_04,18.07774193548387,18.00387096774194,17.98516129032258,18.418387096774197,20.853548387096772,18.161612903225805,20.140000000000004,18.71709677419355,19.728387096774192,19.955806451612904,22.359677419354835,22.06612903225807,23.36322580645161
01-01_05,18.153870967741938,18.152903225806448,18.085806451612907,18.458064516129035,20.789677419354838,18.193870967741937,20.50645161290322,19.224838709677417,20.47709677419355,20.665161290322576,22.726451612903222,22.497741935483873,23.700000000000006
01-01_06,17.964193548387097,17.91903225806452,18.106451612903225,18.271612903225805,20.634838709677418,18.268064516129026,20.658064516129034,19.48193548387097,20.85387096774193,21.001612903225805,22.646451612903228,22.63064516129032,23.69709677419355
01-01_07,17.677096774193547,17.705483870967743,17.795806451612904,18.00935483870968,20.43967741935484,17.972580645161297,20.289677419354835,19.38838709677419,20.746129032258068,20.8841935483871,22.372580645161293,22.63612903225807,23.35580645161291
01-01_08,17.17096774193548,17.199032258064516,17.19709677419355,17.690967741935488,20.11935483870968,17.46483870967742,19.674193548387095,18.731935483870966,20.019354838709678,20.188709677419357,22.065806451612907,22.514193548387095,22.88838709677419
01-01_09,16.62516129032258,16.649354838709677,16.51483870967742,17.15774193548387,19.932580645161288,16.828709677419354,18.588387096774195,17.69258064516129,19.107419354838708,19.309354838709684,21.55032258064516,22.13096774193549,22.31645161290323
01-01_10,16.137096774193548,16.166774193548385,15.939354838709681,16.739354838709676,19.720967741935485,16.468064516129033,17.531935483870964,16.800967741935484,18.240645161290324,18.47483870967742,21.08129032258065,21.777419354838706,21.829677419354834
01-01_11,15.918387096774191,15.810967741935485,15.67741935483871,16.371612903225813,19.54,16.289677419354838,17.14354838709677,16.156451612903226,17.68161290322581,17.89032258064516,20.690967741935488,21.396129032258056,21.546451612903226
01-01_12,15.783870967741931,15.608387096774194,15.489032258064515,16.179032258064513,19.342580645161295,16.23,16.91838709677419,15.776451612903225,17.244838709677417,17.50806451612903,20.46032258064516,20.96870967741935,21.38806451612903
01-01_13,15.645161290322582,15.403548387096773,15.411612903225807,16.00741935483871,19.213870967741936,16.126451612903224,16.588709677419356,15.4741935483871,16.915806451612898,17.21225806451613,20.219032258064516,20.386451612903222,21.12483870967742
01-01_14,15.293548387096775,15.087419354838708,15.275161290322583,15.773548387096776,19.100967741935488,15.976451612903224,16.286129032258067,15.149354838709682,16.626451612903228,16.882258064516126,20.08129032258065,19.82903225806452,20.879032258064516
01-01_15,15.10967741935484,14.861290322580649,15.03451612903226,15.64903225806452,18.93870967741935,15.874838709677421,16.061935483870972,14.789354838709675,16.37677419354839,16.56290322580646,19.891935483870967,19.283548387096772,20.62516129032258
01-01_16,14.961935483870967,14.794838709677423,14.85903225806452,15.51806451612903,18.668709677419354,15.7058064516129,15.862580645161291,14.419032258064513,15.962580645161294,16.191290322580652,19.5883870967742,18.7241935483871,20.388709677419353
01-01_17,14.852580645161295,14.602258064516127,14.709677419354836,15.467096774193548,18.651935483870968,15.619032258064518,15.576774193548387,14.208709677419355,15.75806451612903,15.948387096774193,19.419032258064508,18.357096774193547,20.33903225806452
01-01_18,14.65096774193548,14.492903225806455,14.489032258064512,15.11225806451613,18.46483870967742,15.333548387096773,15.257096774193547,13.918387096774195,15.590322580645157,15.719032258064521,19.302258064516124,17.952903225806455,20.122580645161293
01-01_19,14.354516129032257,14.324516129032258,14.365161290322582,15.198064516129032,18.4116129032258,15.113548387096778,15.076774193548388,13.77258064516129,15.404838709677419,15.462258064516128,19.140645161290326,17.723870967741938,20.176451612903225
01-01_20,14.20483870967742,14.147096774193548,14.139677419354838,14.951612903225806,18.08193548387097,14.976451612903226,14.645806451612902,13.571290322580642,15.111935483870965,15.225806451612906,18.809677419354838,17.409999999999993,20.108709677419352
01-01_21,14.236129032258065,14.17225806451613,14.159354838709676,14.800322580645162,17.99741935483871,14.770645161290323,14.448064516129033,13.301612903225804,14.780645161290325,14.958709677419357,18.86967741935484,17.20193548387097,20.07161290322581
01-01_22,14.157741935483871,14.14967741935484,14.130967741935486,14.832258064516127,18.11806451612904,14.656129032258068,14.378064516129035,13.317419354838712,14.746129032258063,14.949354838709674,18.924193548387098,17.24193548387097,20.198387096774198
01-01_23,14.569677419354834,14.490322580645163,14.32,15.110322580645162,18.44483870967742,14.81838709677419,14.711612903225804,13.404838709677417,14.961935483870972,15.18483870967742,19.376774193548385,17.58483870967742,20.409032258064517
