UTC,台北,板橋,新竹,宜蘭,花蓮,梧棲,台中,嘉義,永康,台南,台東,高雄,恆春
06-01_00,29.913333333333334,29.938,29.527,29.358333333333327,29.984666666666673,29.92733333333333,29.704000000000008,28.715666666666664,30.278000000000002,30.24866666666667,30.174333333333337,30.808666666666667,29.764666666666674
06-01_01,31.116666666666667,31.11899999999999,30.498000000000008,30.448666666666668,30.604999999999993,30.764333333333337,30.809,29.61133333333334,31.22933333333333,31.107000000000003,30.915999999999993,31.37033333333334,30.42699999999999
06-01_02,32.21033333333334,32.17166666666667,30.956333333333344,31.216,30.993000000000006,31.288000000000004,32.136,30.549333333333337,32.19866666666666,31.862000000000013,31.428,31.885,30.996000000000002
06-01_03,32.883,32.99733333333334,31.300333333333324,31.742666666666675,31.189999999999998,31.522000000000006,32.87066666666667,31.552333333333326,32.946,32.323,31.742000000000008,32.26900000000001,31.466666666666672
06-01_04,33.089666666666666,33.49733333333333,31.483666666666668,31.805,31.304333333333332,31.592333333333336,33.298666666666655,32.058,33.217333333333336,32.46333333333334,31.899333333333338,32.539,31.72633333333334
06-01_05,32.98433333333333,33.425666666666665,31.40933333333334,31.587,31.25333333333333,31.601000000000006,33.46433333333333,32.42966666666667,33.465,32.62966666666667,32.07366666666666,32.591,31.820333333333327
06-01_06,32.68866666666666,33.074,31.189666666666668,31.140666666666664,31.216000000000008,31.355666666666668,33.32166666666667,32.37733333333333,33.25933333333333,32.43266666666666,31.999000000000002,32.529666666666664,31.796666666666663
06-01_07,31.966,32.42466666666667,30.751666666666665,30.605666666666668,30.90033333333334,31.25266666666666,32.892,31.842333333333332,32.89066666666666,32.17066666666667,31.731,32.34133333333334,31.495333333333335
06-01_08,31.132333333333342,31.285000000000004,30.377000000000006,29.971333333333334,30.475999999999996,30.92166666666666,32.349000000000004,31.217666666666663,32.37266666666666,31.77766666666667,31.522333333333336,32.05533333333334,31.137
06-01_09,30.592333333333332,30.697666666666667,29.908,29.319666666666663,30.109666666666666,30.54366666666667,31.63166666666667,30.52033333333333,31.785666666666668,31.295666666666666,31.161999999999985,31.675666666666665,30.65033333333333
06-01_10,30.067333333333337,30.205333333333332,29.435999999999996,28.778,29.773666666666667,30.19200000000001,30.950666666666667,29.821000000000005,31.111,30.636666666666667,30.637666666666668,31.327666666666662,30.046333333333337
06-01_11,29.632999999999996,29.65266666666666,28.978999999999996,28.156,29.414333333333335,29.78933333333334,30.307666666666666,29.097333333333335,30.369999999999997,30.004333333333324,30.051,30.896,29.49866666666668
06-01_12,29.255666666666663,29.205999999999996,28.725666666666665,27.91033333333333,29.199333333333332,29.625333333333334,29.84333333333333,28.782999999999998,30.049000000000003,29.71033333333333,29.66133333333334,30.685999999999996,29.265666666666668
06-01_13,29.131333333333334,28.97233333333334,28.557333333333336,27.789333333333335,29.033666666666658,29.556333333333335,29.605,28.451000000000004,29.779999999999998,29.487333333333336,29.38466666666667,30.47033333333334,29.027666666666665
06-01_14,28.921666666666667,28.805333333333333,28.442,27.606,28.83666666666667,29.38666666666666,29.322,28.101000000000003,29.581333333333323,29.281666666666673,29.16933333333333,30.221333333333337,28.766
06-01_15,28.615000000000002,28.518333333333334,28.22533333333333,27.357666666666663,28.59333333333333,29.12,28.972666666666676,27.717333333333332,29.313666666666663,29.06933333333334,28.853666666666665,29.964666666666666,28.479666666666663
06-01_16,28.41633333333333,28.242000000000004,27.935666666666666,27.116666666666667,28.384666666666664,28.834999999999994,28.647333333333336,27.18066666666667,29.057,28.89533333333334,28.591,29.67833333333333,28.146333333333345
06-01_17,28.290999999999997,28.057999999999996,27.701999999999995,27.028999999999993,28.228666666666673,28.603333333333335,28.340666666666667,27.115,28.81933333333334,28.750333333333337,28.456999999999997,29.61733333333333,28.065
06-01_18,28.02833333333333,27.810666666666673,27.421333333333333,26.842,28.053,28.383333333333333,28.044,26.840666666666664,28.44233333333333,28.511000000000003,28.247333333333334,29.430333333333337,27.838000000000005
06-01_19,27.906666666666663,27.65066666666667,27.195000000000004,26.73766666666667,27.965333333333337,28.22133333333333,27.862666666666662,26.649,28.147666666666666,28.368666666666673,28.058000000000003,29.327666666666666,27.768333333333334
06-01_20,27.521333333333335,27.380666666666663,27.013666666666666,26.531000000000002,27.779,28.017000000000003,27.639333333333337,26.342666666666666,27.855333333333327,28.157666666666675,27.87066666666667,29.089666666666673,27.60966666666667
06-01_21,27.275000000000002,27.203666666666667,26.826333333333334,26.37,27.734,27.899333333333338,27.447666666666667,26.272000000000002,27.66933333333333,27.95866666666667,27.807666666666666,29.042000000000005,27.566
06-01_22,27.735999999999997,27.650999999999996,27.172333333333334,26.936,28.11933333333333,28.129666666666672,27.711666666666677,26.578333333333333,27.875333333333337,28.129,28.146000000000004,29.31466666666666,27.96833333333333
06-01_23,28.655666666666665,28.640333333333324,28.36066666666666,28.108333333333334,29.017666666666663,28.974666666666664,28.56666666666667,27.569333333333326,28.981666666666666,29.097,29.240000000000006,30.020666666666664,28.888666666666666
