UTC,台北,板橋,新竹,宜蘭,花蓮,梧棲,台中,嘉義,永康,台南,台東,高雄,恆春
07-01_00,30.029032258064507,29.645161290322587,30.50322580645161,29.738709677419358,29.412903225806446,29.9,29.05806451612903,30.28064516129032,29.63870967741935,30.000000000000004,30.841935483870966,30.416129032258063,30.17741935483871
07-01_01,31.832258064516136,31.52258064516129,31.887096774193544,31.2258064516129,30.290322580645164,30.71290322580645,30.59032258064516,31.200000000000003,30.81935483870968,30.835483870967742,31.700000000000006,31.080645161290327,30.864516129032257
07-01_02,33.35161290322579,32.851612903225806,32.84193548387097,32.058064516129036,30.799999999999997,31.29677419354839,31.725806451612904,31.9741935483871,31.52903225806452,31.351612903225803,31.983870967741932,31.325806451612902,31.464516129032262
07-01_03,34.18709677419355,33.81612903225806,33.312903225806444,32.593548387096774,31.125806451612906,31.496774193548386,32.26129032258064,32.55161290322581,31.941935483870974,31.709677419354843,32.07096774193548,31.780645161290323,31.974193548387095
07-01_04,34.71612903225807,34.1,33.34193548387097,32.645161290322584,31.20645161290323,31.635483870967743,32.70967741935484,33.01935483870968,32.34193548387098,32.07419354838709,32.63548387096775,32.12258064516129,32.29354838709677
07-01_05,33.70322580645162,33.56774193548387,33.37419354838709,32.558064516129036,31.44193548387097,31.57096774193548,32.9258064516129,33.42580645161291,32.52258064516129,32.0,32.8516129032258,32.21935483870968,32.45161290322581
07-01_06,33.14516129032258,33.03548387096774,33.40322580645161,32.02258064516129,31.40322580645162,31.496774193548386,32.83548387096774,33.22580645161292,32.56451612903226,31.964516129032255,32.84193548387096,32.1741935483871,32.39677419354839
07-01_07,32.39354838709678,32.2,32.81612903225806,31.141935483870967,31.16129032258064,31.303225806451607,32.23225806451613,32.40322580645162,32.03548387096774,31.641935483870963,32.6,31.7741935483871,32.038709677419355
07-01_08,31.819354838709682,31.645161290322587,32.41290322580645,30.419354838709673,30.690322580645166,31.087096774193554,32.08064516129032,31.480645161290322,31.554838709677416,31.2,31.95806451612904,31.40322580645162,31.558064516129026
07-01_09,30.909677419354836,31.112903225806445,31.854838709677416,29.887096774193548,30.219354838709677,30.787096774193547,30.925806451612903,30.193548387096772,30.845161290322583,30.799999999999997,31.174193548387098,31.07096774193549,31.238709677419358
07-01_10,30.39677419354839,30.26451612903226,30.906451612903222,29.29032258064516,29.63870967741935,30.012903225806443,30.04516129032258,29.62258064516129,30.032258064516128,30.248387096774188,30.300000000000004,30.396774193548378,30.26774193548387
07-01_11,29.806451612903224,29.56129032258065,30.24516129032258,28.81612903225807,29.36129032258065,29.258064516129036,29.077419354838714,28.874193548387098,29.477419354838702,29.85483870967742,29.825806451612902,30.009677419354837,29.770967741935486
07-01_12,29.458064516129028,29.21612903225807,29.819354838709675,28.464516129032262,29.158064516129034,29.08064516129032,28.58387096774193,28.493548387096773,29.196774193548386,29.561290322580643,29.670967741935485,29.861290322580647,29.480645161290322
07-01_13,29.296774193548387,28.990322580645156,29.477419354838705,28.106451612903232,28.990322580645163,28.89999999999999,28.225806451612904,28.296774193548387,28.838709677419356,29.332258064516132,29.274193548387093,29.83548387096774,29.116129032258065
07-01_14,29.112903225806452,28.64193548387097,29.22258064516129,27.858064516129037,28.80322580645161,28.896774193548385,28.16129032258065,28.138709677419353,28.716129032258067,29.206451612903223,29.116129032258062,29.70645161290323,29.012903225806447
07-01_15,28.841935483870966,28.351612903225806,28.770967741935486,27.558064516129026,28.403225806451616,28.696774193548386,27.85483870967742,27.987096774193546,28.545161290322586,28.987096774193546,28.81935483870968,29.480645161290326,28.78709677419355
07-01_16,28.603225806451615,28.096774193548384,28.529032258064515,27.35806451612903,27.977419354838716,28.64838709677419,27.64516129032258,27.60967741935484,28.293548387096774,28.667741935483864,28.480645161290326,29.245161290322585,28.52258064516129
07-01_17,28.345161290322576,27.71290322580645,28.3483870967742,27.064516129032263,27.493548387096773,28.441935483870967,27.39032258064516,27.23225806451613,28.083870967741944,28.57741935483872,28.28709677419355,29.15806451612903,28.396774193548385
07-01_18,28.05806451612903,27.422580645161286,28.132258064516122,26.861290322580643,27.270967741935483,28.196774193548382,27.18064516129032,26.89032258064517,27.938709677419364,28.39354838709678,28.035483870967735,28.98709677419356,28.33225806451613
07-01_19,27.845161290322586,27.125806451612902,27.806451612903224,26.53870967741936,26.94193548387096,27.958064516129035,27.016129032258064,26.79032258064516,27.696774193548393,28.20967741935484,27.761290322580642,28.66774193548387,28.225806451612907
07-01_20,27.63225806451613,26.974193548387095,27.587096774193547,26.399999999999995,26.76774193548387,27.83548387096775,26.870967741935488,26.467741935483875,27.53548387096775,28.16774193548387,27.52903225806452,28.506451612903227,28.077419354838703
07-01_21,27.51612903225806,26.89354838709678,27.44516129032259,26.212903225806453,26.60645161290322,27.790322580645157,26.66129032258064,26.34838709677419,27.37741935483871,27.98064516129033,27.42903225806452,28.35483870967742,27.951612903225808
07-01_22,27.61290322580646,27.019354838709678,27.493548387096773,26.609677419354835,26.683870967741935,27.9,26.72258064516129,26.570967741935487,27.351612903225806,27.999999999999996,27.596774193548388,28.358064516129033,28.0
07-01_23,28.419354838709673,28.203225806451616,28.74516129032258,28.2258064516129,27.925806451612903,28.816129032258058,27.54193548387097,28.429032258064517,28.083870967741937,28.82903225806451,28.841935483870962,29.145161290322577,29.074193548387104
