UTC,台北,板橋,新竹,宜蘭,花蓮,梧棲,台中,嘉義,永康,台南,台東,高雄,恆春
07-01_00,30.241612903225803,30.31903225806452,30.015483870967746,29.858709677419355,30.149032258064512,30.29032258064516,29.92548387096774,28.653225806451605,30.24935483870968,30.33935483870968,30.283225806451608,30.846129032258062,29.910322580645158
07-01_01,31.61483870967742,31.6641935483871,31.08580645161291,30.933548387096785,31.028709677419357,31.33193548387097,31.148709677419347,29.76354838709678,31.330322580645166,31.16096774193549,30.892903225806457,31.39064516129032,30.612903225806445
07-01_02,32.803870967741936,32.81483870967742,31.90193548387096,31.48322580645161,31.427741935483862,31.970967741935482,32.5141935483871,30.88,32.12354838709677,31.806774193548385,31.398064516129036,31.888387096774196,31.14548387096775
07-01_03,33.68967741935484,33.714193548387094,32.36838709677419,31.858709677419355,31.613225806451613,32.27483870967742,33.32870967741935,31.638709677419353,32.95258064516129,32.490322580645156,31.654838709677417,32.189354838709676,31.56677419354838
07-01_04,34.222258064516126,34.34419354838709,32.62096774193548,32.08516129032258,31.777096774193556,32.45741935483871,34.164838709677426,32.30161290322581,33.215806451612906,32.6283870967742,31.918064516129036,32.31677419354839,31.82064516129031
07-01_05,34.33064516129032,34.55451612903226,32.70129032258064,32.16548387096774,31.73580645161291,32.38870967741936,34.42935483870968,32.84677419354839,33.419032258064526,32.7541935483871,32.08193548387097,32.449354838709674,31.96580645161291
07-01_06,34.210645161290316,34.31741935483871,32.655806451612904,31.850645161290323,31.707741935483874,32.33387096774194,34.48161290322581,32.686129032258066,33.37096774193548,32.73967741935484,32.085161290322574,32.43870967741936,31.82258064516129
07-01_07,33.66903225806452,33.637419354838705,32.22354838709677,31.25,31.589354838709678,32.16483870967742,33.90064516129031,32.23935483870967,33.07032258064516,32.44516129032258,31.985161290322583,32.2941935483871,31.616451612903226
07-01_08,32.83451612903226,32.912903225806446,31.58258064516129,30.743870967741938,31.292580645161284,31.654516129032256,33.35096774193548,31.457419354838706,32.48935483870967,31.947741935483876,31.667419354838717,31.99096774193547,31.2941935483871
07-01_09,31.839677419354842,31.97161290322581,30.99741935483871,30.455806451612904,30.91774193548387,31.25451612903226,32.55838709677419,30.62451612903226,31.818709677419363,31.23354838709677,31.22,31.74096774193549,30.865161290322572
07-01_10,30.978709677419356,31.14322580645162,30.303225806451607,29.720645161290317,30.472258064516133,30.77387096774193,31.753225806451614,29.920645161290317,30.98322580645162,30.59258064516129,30.677096774193544,31.394193548387086,30.275161290322583
07-01_11,30.323870967741943,30.50129032258064,29.781612903225806,28.864838709677418,30.062580645161283,30.292258064516126,30.96451612903226,29.137096774193548,30.4367741935484,30.163870967741932,30.180322580645164,31.06451612903225,29.75161290322581
07-01_12,29.948709677419362,29.99129032258065,29.479354838709686,28.421290322580653,29.805483870967734,30.008387096774193,30.444838709677416,28.74935483870967,29.989354838709676,29.92354838709677,29.95709677419355,30.988064516129022,29.55548387096774
07-01_13,29.682903225806445,29.628064516129033,29.270322580645157,28.14967741935484,29.53290322580646,29.81709677419355,29.98032258064516,28.422580645161293,29.858709677419352,29.749677419354835,29.696774193548393,30.856129032258053,29.32677419354838
07-01_14,29.532580645161282,29.347741935483867,29.04645161290323,28.081612903225803,29.278709677419357,29.527419354838706,29.630967741935482,28.166774193548388,29.760322580645166,29.669999999999998,29.48322580645161,30.598387096774196,29.08741935483872
07-01_15,29.203548387096777,29.12032258064516,28.753225806451617,27.8458064516129,28.981290322580634,29.351612903225806,29.331612903225814,27.776129032258066,29.495483870967735,29.426774193548386,29.1883870967742,30.375806451612895,28.783870967741937
07-01_16,29.024516129032257,28.820645161290322,28.343225806451613,27.61645161290323,28.79096774193548,29.048064516129035,29.05774193548387,27.3458064516129,29.167741935483868,29.156129032258058,28.90129032258065,30.066774193548387,28.47387096774194
07-01_17,28.86903225806451,28.602258064516136,28.085806451612903,27.498709677419352,28.62838709677419,28.84193548387097,28.759032258064515,27.20645161290323,28.82580645161291,28.94935483870968,28.595483870967744,29.959032258064525,28.389032258064518
07-01_18,28.54,28.375483870967738,27.806129032258063,27.311290322580653,28.426451612903218,28.743225806451612,28.49290322580645,26.91516129032258,28.496129032258068,28.707741935483863,28.376129032258067,29.724838709677417,28.138064516129038
07-01_19,28.309032258064523,28.1341935483871,27.48999999999999,27.227741935483873,28.337741935483876,28.562580645161294,28.21322580645161,26.77354838709677,28.149677419354838,28.414838709677415,28.261290322580646,29.60774193548387,28.025161290322583
07-01_20,28.002580645161295,27.810000000000006,27.157096774193548,27.014516129032263,28.13290322580646,28.34870967741935,27.951935483870972,26.526129032258073,27.870322580645162,28.18322580645161,28.102903225806454,29.408064516129027,27.901290322580646
07-01_21,27.763870967741934,27.571612903225812,26.92451612903226,26.88193548387097,28.133225806451616,28.235483870967737,27.799999999999997,26.420322580645163,27.624193548387098,27.959677419354836,28.06000000000001,29.3241935483871,27.848387096774193
07-01_22,28.015483870967742,27.95387096774194,27.359677419354842,27.360322580645168,28.392580645161296,28.40193548387096,28.02387096774193,26.576129032258066,27.734193548387093,28.06709677419355,28.204516129032257,29.50225806451613,28.096451612903223
07-01_23,29.050967741935487,29.079677419354844,28.826451612903224,28.636129032258065,29.2758064516129,29.256129032258066,28.892580645161296,27.569032258064517,28.90806451612903,29.18870967741935,29.343870967741932,30.188387096774196,29.039354838709688
