times,馬祖,彭佳嶼,鞍部,淡水,竹子湖,基隆,臺北,新屋,板橋,新竹,宜蘭,蘇澳,金門,梧棲,台中,花蓮,日月潭,澎湖,阿里山,嘉義,玉山,東吉島,七股,成功,永康,台南,台東,高雄,大武,蘭嶼,恆春
2017-01-01 01:00:00,999.9,999.9,13.5,20.6,15.4,19.8,20.5,20.4,20.2,18.7,18.2,18.6,999.9,18.0,17.5,18.9,14.7,999.9,8.1,15.7,3.4,999.9,999.9,19.8,17.8,18.6,20.8,20.6,22.4,999.9,23.0
2017-01-01 02:00:00,999.9,999.9,13.4,20.4,15.4,19.8,20.7,19.9,20.3,17.9,18.2,18.3,999.9,17.1,17.0,19.0,14.7,999.9,7.3,16.3,3.3,999.9,999.9,19.5,17.8,18.4,20.9,20.5,22.4,999.9,22.9
2017-01-01 03:00:00,999.9,999.9,13.6,20.6,15.4,19.6,20.7,19.4,20.5,17.4,18.5,18.5,999.9,17.3,16.6,19.2,14.0,999.9,6.1,15.2,3.1,999.9,999.9,19.1,17.5,18.2,20.0,20.2,21.3,999.9,22.6
2017-01-01 04:00:00,999.9,999.9,13.7,20.6,15.5,19.7,20.5,18.9,20.4,16.7,18.3,18.2,999.9,17.7,16.5,18.8,13.9,999.9,4.9,15.4,3.2,999.9,999.9,18.6,17.3,18.2,19.5,19.9,19.9,999.9,22.5
2017-01-01 05:00:00,999.9,999.9,13.8,20.9,15.6,19.7,20.2,18.5,20.2,16.3,18.4,18.2,999.9,17.0,16.2,19.0,13.4,999.9,5.6,14.3,3.3,999.9,999.9,18.9,16.9,17.9,19.1,19.6,21.5,999.9,22.6
2017-01-01 06:00:00,999.9,999.9,13.8,20.6,15.4,20.0,20.0,17.9,20.3,16.1,18.3,18.2,999.9,17.1,16.0,19.5,14.1,999.9,5.1,14.5,3.2,999.9,999.9,19.1,16.9,18.1,19.0,19.6,20.8,999.9,22.6
2017-01-01 07:00:00,999.9,999.9,13.9,21.0,15.6,19.9,20.5,17.2,20.1,16.4,18.3,18.3,999.9,17.0,15.8,19.2,13.6,999.9,5.8,13.9,4.2,999.9,999.9,19.5,16.9,18.2,19.2,19.6,21.6,999.9,22.8
2017-01-01 08:00:00,999.9,999.9,14.2,21.3,16.3,21.2,20.8,19.9,20.7,17.6,18.6,18.4,999.9,17.8,16.8,20.5,17.5,999.9,6.4,16.5,7.4,999.9,999.9,20.4,17.4,19.1,20.3,20.5,22.0,999.9,23.4
2017-01-01 09:00:00,999.9,999.9,16.2,23.2,17.9,21.7,21.8,22.9,21.8,20.7,19.6,19.1,999.9,19.4,19.5,20.6,18.6,999.9,9.2,18.7,8.4,999.9,999.9,21.2,19.9,20.8,20.9,22.6,22.6,999.9,24.5
2017-01-01 10:00:00,999.9,999.9,17.3,24.0,18.9,22.8,24.2,24.1,23.8,22.1,21.5,20.8,999.9,21.6,22.3,20.4,20.0,999.9,11.2,22.2,11.6,999.9,999.9,20.5,22.5,22.7,22.9,24.6,21.5,999.9,24.6
2017-01-01 11:00:00,999.9,999.9,18.4,25.2,20.5,24.1,25.7,24.7,25.2,23.8,23.4,22.0,999.9,21.9,24.5,21.8,20.8,999.9,12.9,23.6,13.3,999.9,999.9,21.7,23.9,23.6,23.0,25.2,22.5,999.9,24.7
