times,馬祖,彭佳嶼,鞍部,淡水,竹子湖,基隆,臺北,新屋,板橋,新竹,宜蘭,蘇澳,金門,梧棲,台中,花蓮,日月潭,澎湖,阿里山,嘉義,玉山,東吉島,七股,成功,永康,台南,台東,高雄,大武,蘭嶼,恆春
2016-05-03 01:00:00,999.9,999.9,1.5,1.9,0.9,1.2,1.0,10.8,0.2,1.4,1.5,1.6,999.9,4.2,1.5,2.5,2.3,999.9,1.5,1.1,2.9,999.9,999.9,1.1,1.3,1.4,1.2,0.8,1.1,999.9,1.9
2016-05-03 02:00:00,999.9,999.9,1.9,1.0,1.9,1.4,0.1,9.6,0.1,2.6,1.6,1.8,999.9,3.5,0.2,2.0,1.8,999.9,0.8,0.2,3.8,999.9,999.9,0.4,0.5,0.9,1.6,0.3,1.2,999.9,1.8
2016-05-03 03:00:00,999.9,999.9,3.3,0.7,3.0,1.2,1.3,10.4,1.0,2.2,1.3,2.2,999.9,3.4,1.1,2.7,2.5,999.9,2.0,0.1,4.7,999.9,999.9,2.5,0.8,0.6,0.8,0.3,0.5,999.9,1.6
2016-05-03 04:00:00,999.9,999.9,2.3,2.4,2.5,2.6,1.4,10.4,0.1,1.6,1.0,2.4,999.9,3.8,0.0,2.3,1.4,999.9,1.4,0.9,5.8,999.9,999.9,2.2,0.3,0.0,1.0,0.2,3.3,999.9,1.6
2016-05-03 05:00:00,999.9,999.9,4.7,2.5,1.9,1.5,1.4,11.3,2.2,2.1,1.5,2.6,999.9,3.4,0.8,1.8,1.2,999.9,1.3,0.0,7.4,999.9,999.9,2.3,0.6,0.0,3.5,1.2,2.8,999.9,2.2
2016-05-03 06:00:00,999.9,999.9,5.7,3.8,3.2,1.4,1.6,10.8,2.1,2.7,0.8,2.2,999.9,3.7,0.5,1.1,2.5,999.9,1.9,0.8,6.8,999.9,999.9,3.2,1.3,0.5,2.6,1.5,4.0,999.9,0.7
2016-05-03 07:00:00,999.9,999.9,1.7,1.2,1.9,2.3,2.8,10.4,5.7,2.4,0.1,2.1,999.9,3.7,0.0,1.3,2.3,999.9,1.2,1.5,8.8,999.9,999.9,2.5,0.1,0.1,3.9,2.1,4.3,999.9,1.6
2016-05-03 08:00:00,999.9,999.9,4.3,1.0,0.8,1.2,1.6,9.1,3.8,1.7,4.5,1.9,999.9,4.1,0.6,2.5,1.4,999.9,1.6,0.7,10.1,999.9,999.9,5.1,1.3,2.4,2.4,2.5,3.0,999.9,1.5
2016-05-03 09:00:00,999.9,999.9,4.9,3.7,2.6,1.3,1.4,9.6,2.1,2.4,2.8,3.2,999.9,4.7,3.2,4.6,1.4,999.9,1.8,2.3,6.0,999.9,999.9,5.1,1.8,2.1,3.4,3.5,3.4,999.9,2.7
2016-05-03 10:00:00,999.9,999.9,5.1,2.8,3.5,2.7,1.2,10.3,3.6,4.0,3.4,3.1,999.9,4.5,2.5,2.5,1.0,999.9,1.6,3.2,6.1,999.9,999.9,5.3,1.1,1.6,4.2,3.1,2.6,999.9,3.0
